symbol,Short Name,Long Name,GICS Sector,GICS Sub-Industry,Headquarters Location
Founded,N/A,N/A,,,
MMM,3M Company,3M Company,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota"
AOS,A.O. Smith Corporation,A. O. Smith Corporation,Industrials,Building Products,"Milwaukee, Wisconsin"
ABT,Abbott Laboratories,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois"
ABBV,AbbVie Inc.,AbbVie Inc.,Health Care,Biotechnology,"North Chicago, Illinois"
ACN,Accenture plc,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland"
ADBE,Adobe Inc.,Adobe Inc.,Information Technology,Application Software,"San Jose, California"
AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.",Information Technology,Semiconductors,"Santa Clara, California"
AES,The AES Corporation,The AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia"
AFL,AFLAC Incorporated,Aflac Incorporated,Financials,Life & Health Insurance,"Columbus, Georgia"
A,"Agilent Technologies, Inc.","Agilent Technologies, Inc.",Health Care,Life Sciences Tools & Services,"Santa Clara, California"
APD,"Air Products and Chemicals, Inc","Air Products and Chemicals, Inc.",Materials,Industrial Gases,"Upper Macungie Township, Pennsylvania"
ABNB,"Airbnb, Inc.","Airbnb, Inc.",Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California"
AKAM,"Akamai Technologies, Inc.","Akamai Technologies, Inc.",Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts"
ALB,Albemarle Corporation,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina"
ARE,Alexandria Real Estate Equities,"Alexandria Real Estate Equities, Inc.",Real Estate,Office REITs,"Pasadena, California"
ALGN,"Align Technology, Inc.","Align Technology, Inc.",Health Care,Health Care Supplies,"Tempe, Arizona"
ALLE,Allegion plc,Allegion plc,Industrials,Building Products,"Dublin, Ireland"
LNT,Alliant Energy Corporation,Alliant Energy Corporation,Utilities,Electric Utilities,"Madison, Wisconsin"
ALL,Allstate Corporation (The),The Allstate Corporation,Financials,Property & Casualty Insurance,"Northbrook, Illinois"
GOOGL,Alphabet Inc.,Alphabet Inc.,Communication Services,Interactive Media & Services,"Mountain View, California"
GOOG,Alphabet Inc.,Alphabet Inc.,Communication Services,Interactive Media & Services,"Mountain View, California"
MO,"Altria Group, Inc.","Altria Group, Inc.",Consumer Staples,Tobacco,"Richmond, Virginia"
AMZN,"Amazon.com, Inc.","Amazon.com, Inc.",Consumer Discretionary,Broadline Retail,"Seattle, Washington"
AMCR,Amcor plc,Amcor plc,Materials,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom"
AEE,Ameren Corporation,Ameren Corporation,Utilities,Multi-Utilities,"St. Louis, Missouri"
AEP,American Electric Power Company,"American Electric Power Company, Inc.",Utilities,Electric Utilities,"Columbus, Ohio"
AXP,American Express Company,American Express Company,Financials,Consumer Finance,"New York City, New York"
AIG,"American International Group, I","American International Group, Inc.",Financials,Multi-line Insurance,"New York City, New York"
AMT,American Tower Corporation (REI,American Tower Corporation,Real Estate,Telecom Tower REITs,"Boston, Massachusetts"
AWK,"American Water Works Company, I","American Water Works Company, Inc.",Utilities,Water Utilities,"Camden, New Jersey"
AMP,"Ameriprise Financial, Inc.","Ameriprise Financial, Inc.",Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota"
AME,"AMETEK, Inc.","AMETEK, Inc.",Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania"
AMGN,Amgen Inc.,Amgen Inc.,Health Care,Biotechnology,"Thousand Oaks, California"
APH,Amphenol Corporation,Amphenol Corporation,Information Technology,Electronic Components,"Wallingford, Connecticut"
ADI,"Analog Devices, Inc.","Analog Devices, Inc.",Information Technology,Semiconductors,"Wilmington, Massachusetts"
AON,Aon plc,Aon plc,Financials,Insurance Brokers,"London, United Kingdom"
APA,APA Corporation,APA Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
APO,"Apollo Global Management, Inc. ","Apollo Global Management, Inc.",Financials,Asset Management & Custody Banks,"New York City, New York"
AAPL,Apple Inc.,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California"
AMAT,"Applied Materials, Inc.","Applied Materials, Inc.",Information Technology,Semiconductor Materials & Equipment,"Santa Clara, California"
APP,Applovin Corporation,AppLovin Corporation,Information Technology,Application Software,"Palo Alto, California"
APTV,Aptiv PLC,Aptiv PLC,Consumer Discretionary,Automotive Parts & Equipment,"Dublin, Ireland"
ACGL,Arch Capital Group Ltd.,Arch Capital Group Ltd.,Financials,Property & Casualty Insurance,"Hamilton, Bermuda"
ADM,Archer-Daniels-Midland Company,Archer-Daniels-Midland Company,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois"
ANET,"Arista Networks, Inc.",Arista Networks Inc,Information Technology,Communications Equipment,"Santa Clara, California"
AJG,Arthur J. Gallagher & Co.,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois"
AIZ,"Assurant, Inc.","Assurant, Inc.",Financials,Multi-line Insurance,"Atlanta, Georgia"
T,AT&T Inc.,AT&T Inc.,Communication Services,Integrated Telecommunication Services,"Dallas, Texas"
ATO,Atmos Energy Corporation,Atmos Energy Corporation,Utilities,Gas Utilities,"Dallas, Texas"
ADSK,"Autodesk, Inc.","Autodesk, Inc.",Information Technology,Application Software,"San Francisco, California"
ADP,"Automatic Data Processing, Inc.","Automatic Data Processing, Inc.",Industrials,Human Resource & Employment Services,"Roseland, New Jersey"
AZO,"AutoZone, Inc.","AutoZone, Inc.",Consumer Discretionary,Automotive Retail,"Memphis, Tennessee"
AVB,"AvalonBay Communities, Inc.","AvalonBay Communities, Inc.",Real Estate,Multi-Family Residential REITs,"Arlington, Virginia"
AVY,Avery Dennison Corporation,Avery Dennison Corporation,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio"
AXON,"Axon Enterprise, Inc.","Axon Enterprise, Inc.",Industrials,Aerospace & Defense,"Scottsdale, Arizona"
BKR,Baker Hughes Company,Baker Hughes Company,Energy,Oil & Gas Equipment & Services,"Houston, Texas"
BALL,Ball Corporation,Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado"
BAC,Bank of America Corporation,Bank of America Corporation,Financials,Diversified Banks,"Charlotte, North Carolina"
BAX,Baxter International Inc.,Baxter International Inc.,Health Care,Health Care Equipment,"Deerfield, Illinois"
BDX,"Becton, Dickinson and Company","Becton, Dickinson and Company",Health Care,Health Care Equipment,"Franklin Lakes, New Jersey"
BRK.B,N/A,N/A,Financials,Multi-Sector Holdings,"Omaha, Nebraska"
BBY,"Best Buy Co., Inc.","Best Buy Co., Inc.",Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota"
TECH,Bio-Techne Corp,Bio-Techne Corporation,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota"
BIIB,Biogen Inc.,Biogen Inc.,Health Care,Biotechnology,"Cambridge, Massachusetts"
BLK,"BlackRock, Inc.","BlackRock, Inc.",Financials,Asset Management & Custody Banks,"New York City, New York"
BX,Blackstone Inc.,Blackstone Inc.,Financials,Asset Management & Custody Banks,"New York City, New York"
XYZ,"Block, Inc.","Block, Inc.",Financials,Transaction & Payment Processing Services,none
BK,The Bank of New York Mellon Cor,The Bank of New York Mellon Corporation,Financials,Asset Management & Custody Banks,"New York City, New York"
BA,Boeing Company (The),The Boeing Company,Industrials,Aerospace & Defense,"Arlington, Virginia"
BKNG,Booking Holdings Inc. Common St,Booking Holdings Inc.,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut"
BSX,Boston Scientific Corporation,Boston Scientific Corporation,Health Care,Health Care Equipment,"Marlborough, Massachusetts"
BMY,Bristol-Myers Squibb Company,Bristol-Myers Squibb Company,Health Care,Pharmaceuticals,"New York City, New York"
AVGO,Broadcom Inc.,Broadcom Inc.,Information Technology,Semiconductors,"Palo Alto, California"
BR,"Broadridge Financial Solutions,","Broadridge Financial Solutions, Inc.",Industrials,Data Processing & Outsourced Services,"Lake Success, New York"
BRO,"Brown & Brown, Inc.","Brown & Brown, Inc.",Financials,Insurance Brokers,"Daytona Beach, Florida"
BF.B,N/A,N/A,Consumer Staples,Distillers & Vintners,"Louisville, Kentucky"
BLDR,"Builders FirstSource, Inc.","Builders FirstSource, Inc.",Industrials,Building Products,"Irving, Texas"
BG,Bunge Limited,Bunge Global SA,Consumer Staples,Agricultural Products & Services,"Chesterfield, Missouri"
BXP,"BXP, Inc.","BXP, Inc.",Real Estate,Office REITs,"Boston, Massachusetts"
CHRW,"C.H. Robinson Worldwide, Inc.","C.H. Robinson Worldwide, Inc.",Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota"
CDNS,"Cadence Design Systems, Inc.","Cadence Design Systems, Inc.",Information Technology,Application Software,"San Jose, California"
CPT,Camden Property Trust,Camden Property Trust,Real Estate,Multi-Family Residential REITs,"Houston, Texas"
CPB,The Campbell's Company,The Campbell's Company,Consumer Staples,Packaged Foods & Meats,"Camden, New Jersey"
COF,Capital One Financial Corporati,Capital One Financial Corporation,Financials,Consumer Finance,"Tysons Corner, Virginia"
CAH,"Cardinal Health, Inc.","Cardinal Health, Inc.",Health Care,Health Care Distributors,"Dublin, Ohio"
KMX,CarMax Inc,"CarMax, Inc.",Consumer Discretionary,Automotive Retail,"Richmond, Virginia"
CCL,Carnival Corporation,Carnival Corporation & plc,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida"
CARR,Carrier Global Corporation,Carrier Global Corporation,Industrials,Building Products,"Palm Beach Gardens, Florida"
CAT,"Caterpillar, Inc.",Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas"
CBOE,"Cboe Global Markets, Inc.","Cboe Global Markets, Inc.",Financials,Financial Exchanges & Data,"Chicago, Illinois"
CBRE,CBRE Group Inc,"CBRE Group, Inc.",Real Estate,Real Estate Services,"Dallas, Texas"
CDW,CDW Corporation,CDW Corporation,Information Technology,Technology Distributors,"Vernon Hills, Illinois"
COR,"Cencora, Inc.","Cencora, Inc.",Health Care,Health Care Distributors,"Conshohocken, Pennsylvania"
CNC,Centene Corporation,Centene Corporation,Health Care,Managed Health Care,"St. Louis, Missouri"
CNP,"CenterPoint Energy, Inc (Holdin","CenterPoint Energy, Inc.",Utilities,Multi-Utilities,"Houston, Texas"
CF,"CF Industries Holdings, Inc.","CF Industries Holdings, Inc.",Materials,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois"
CRL,Charles River Laboratories Inte,"Charles River Laboratories International, Inc.",Health Care,Life Sciences Tools & Services,"Wilmington, Massachusetts"
SCHW,Charles Schwab Corporation (The,The Charles Schwab Corporation,Financials,Investment Banking & Brokerage,"Westlake, Texas"
CHTR,"Charter Communications, Inc.","Charter Communications, Inc.",Communication Services,Cable & Satellite,"Stamford, Connecticut"
CVX,Chevron Corporation,Chevron Corporation,Energy,Integrated Oil & Gas,"Houston, Texas"
CMG,"Chipotle Mexican Grill, Inc.","Chipotle Mexican Grill, Inc.",Consumer Discretionary,Restaurants,"Newport Beach, California"
