symbol,Short Name,Long Name,Sector,Industry,Country
LVMH.PA,LVMH Moët Hennessy Louis Vuitton,N/A,,,France
NOVO-B.CO,Novo Nordisk B A/S,Novo Nordisk A/S,Healthcare,Drug Manufacturers - General,Denmark
ASML.AS,ASML HOLDING,ASML Holding N.V.,Technology,Semiconductor Equipment & Materials,Netherlands
SAPG.DE,SAP SE,N/A,,,Germany
NESN.S,Nestlé S.A.,N/A,,,Switzerland
RMS.PA,HERMES INTL,Hermès International Société en commandite par actions,Consumer Cyclical,Luxury Goods,France
ROG.S,Roche Holding AG,N/A,,,Switzerland
NOVN.S,Novartis AG,N/A,,,Switzerland
AZN.L,ASTRAZENECA PLC ORD SHS $0.25,AstraZeneca PLC,Healthcare,Drug Manufacturers - General,United Kingdom
SHEL.L,SHELL PLC ORD EUR0.07,Shell plc,Energy,Oil & Gas Integrated,United Kingdom
TTE.PA,TOTALENERGIES,TotalEnergies SE,Energy,Oil & Gas Integrated,France
HSBA.L,HSBC HOLDINGS PLC ORD $0.50 (UK,HSBC Holdings plc,Financial Services,Banks - Diversified,United Kingdom
OR.PA,L'OREAL,L'Oréal S.A.,Consumer Defensive,Household & Personal Products,France
SIE.DE,SIEMENS AG                    N,Siemens Aktiengesellschaft,Industrials,Specialty Industrial Machinery,Germany
ULVR.L,UNILEVER PLC ORD 3 1/9P,Unilever PLC,Consumer Defensive,Household & Personal Products,United Kingdom
AIR.PA,AIRBUS SE,Airbus SE,Industrials,Aerospace & Defense,France
SAN.PA,SANOFI,Sanofi,Healthcare,Drug Manufacturers - General,France
ITX.MC,INDUSTRIA DE DISE...O TEXTIL S.,"Industria de Diseño Textil, S.A.",Consumer Cyclical,Apparel Retail,Spain
ALV.DE,Allianz SE                    v,Allianz SE,Financial Services,Insurance - Diversified,Germany
ENEL.MI,ENEL,Enel SpA,Utilities,Utilities - Diversified,Italy
BP.L,BP PLC $0.25,BP p.l.c.,Energy,Oil & Gas Integrated,United Kingdom
UBSG.S,UBS Group AG,N/A,,,Switzerland
DTE.DE,DEUTSCHE TELEKOM AG           N,Deutsche Telekom AG,Communication Services,Telecom Services,Germany
ADYEN.AS,ADYEN,Adyen N.V.,Technology,Software - Infrastructure,Netherlands
MC.PA,LVMH,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",Consumer Cyclical,Luxury Goods,France
VOW3.DE,VOLKSWAGEN AG                 V,Volkswagen AG,Consumer Cyclical,Auto Manufacturers,Germany
PHIA.AS,KON.PHILIPS N.V.,Koninklijke Philips N.V.,Healthcare,Medical Devices,Netherlands
REL.L,RELX PLC ORD 14 51/116P,RELX PLC,Industrials,Specialty Business Services,United Kingdom
ZURN.S,Zurich Insurance Group AG,N/A,,,Switzerland
BNP.PA,BNP PARIBAS ACT.A,BNP Paribas SA,Financial Services,Banks - Regional,France
ORA.PA,ORANGE,Orange S.A.,Communication Services,Telecom Services,France
BAYN.DE,Bayer AG                      N,Bayer Aktiengesellschaft,Healthcare,Drug Manufacturers - General,Germany
RNO.PA,RENAULT,Renault SA,Consumer Cyclical,Auto Manufacturers,France
CRH.L,CRH PLC ORD EUR 0.32 (DI),CRH plc,Basic Materials,Building Materials,Ireland
ISP.MI,INTESA SANPAOLO,Intesa Sanpaolo S.p.A.,Financial Services,Banks - Regional,Italy
STAN.L,STANDARD CHARTERED PLC ORD USD0,Standard Chartered PLC,Financial Services,Banks - Diversified,United Kingdom
SGE.L,THE SAGE GROUP PLC ORD 1 4/77P,The Sage Group plc,Technology,Software - Application,United Kingdom
DANO.PA,Danone SA,N/A,,,France
EADSY.DE,Airbus SE (Germany listing),N/A,,,Germany
KNEBV.HE,KONE Corporation,KONE Oyj,Industrials,Specialty Industrial Machinery,Finland
ENI.MI,ENI,Eni S.p.A.,Energy,Oil & Gas Integrated,Italy
AENA.MC,"AENA, S.M.E., S.A.","Aena S.M.E., S.A.",Industrials,Airports & Air Services,Spain
BMW.DE,BAYERISCHE MOTOREN WERKE AG   S,Bayerische Motoren Werke Aktiengesellschaft,Consumer Cyclical,Auto Manufacturers,Germany
SU.PA,SCHNEIDER ELECTRIC SE,Schneider Electric S.E.,Industrials,Specialty Industrial Machinery,France
TTEF.DE,TotalEnergies SE (Germany listing),N/A,,,Germany
PRU.L,PRUDENTIAL PLC ORD 5P,Prudential plc,Financial Services,Insurance - Life,United Kingdom
CPG.L,COMPASS GROUP PLC ORD 11 1/20P,Compass Group PLC,Consumer Cyclical,Restaurants,United Kingdom
SAND.ST,Sandvik AB,Sandvik AB (publ),Industrials,Specialty Industrial Machinery,Sweden
GSK.L,GSK PLC ORD 31 1/4P,GSK plc,Healthcare,Drug Manufacturers - General,United Kingdom
ABI.BR,AB INBEV,Anheuser-Busch InBev SA/NV,Consumer Defensive,Beverages - Brewers,Belgium
VOD.L,VODAFONE GROUP PLC ORD USD0.20 ,Vodafone Group Public Limited Company,Communication Services,Telecom Services,United Kingdom
