symbol,shortName,longName,currency,circulatingSupply,maxSupply
BTC-USD,BTC,Bitcoin,USD,,
ETH-USD,ETH,Ethereum,USD,,
USDT-USD,USDT,Tether,USD,,
BNB-USD,BNB,BNB,USD,,
XRP-USD,XRP,XRP,USD,,
SOL-USD,SOL,Solana,USD,,
USDC-USD,USDC,USDC,USD,,
STETH-USD,STETH,Lido Staked Ether,USD,,
DOGE-USD,DOGE,Dogecoin,USD,,
TRX-USD,TRX,TRON,USD,,
ADA-USD,ADA,Cardano,USD,,
WSTETH-USD,WSTETH,Wrapped stETH,USD,,
WBTC-USD,WBTC,Wrapped Bitcoin,USD,,
WBETH-USD,WBETH,Wrapped Beacon ETH,USD,,
LINK-USD,LINK,Chainlink,USD,,
BCH-USD,BCH,Bitcoin Cash,USD,,
WEETH-USD,WEETH,Wrapped eETH,USD,,
XLM-USD,XLM,Stellar,USD,,
LEO-USD,LEO,LEO Token,USD,,
HBAR-USD,HBAR,Hedera,USD,,
WETH-USD,WETH,WETH,USD,,
AVAX-USD,AVAX,Avalanche,USD,,
LTC-USD,LTC,Litecoin,USD,,
USDT0-USD,USDT0,USDT0,USD,,
WBT-USD,WBT,WhiteBIT Coin,USD,,
XMR-USD,XMR,Monero,USD,,
ZEC-USD,ZEC,Zcash,USD,,
SHIB-USD,SHIB,Shiba Inu,USD,,
TON-USD,TON,Toncoin,USD,,
CRO-USD,CRO,Cronos,USD,,
SUSDE-USD,SUSDE,Ethena Staked USDe,USD,,
DAI-USD,DAI,Dai,USD,,
DOT-USD,DOT,Polkadot,USD,,
M-USD,M,MemeCore,USD,,
WLFI-USD,WLFI,World Liberty Financial,USD,,
AAVE-USD,AAVE,Aave,USD,,
OKB-USD,OKB,OKB,USD,,
BGB-USD,BGB,Bitget Token,USD,,
ENA-USD,ENA,Ethena,USD,,
NEAR-USD,NEAR,NEAR Protocol,USD,,
PYUSD-USD,PYUSD,PayPal USD,USD,,
JITOSOL-USD,JITOSOL,Jito Staked SOL,USD,,
SOL-USD,SOL,Wrapped SOL,USD,,
ETC-USD,ETC,Ethereum Classic,USD,,
WETH-USD,WETH,Binance-Peg WETH,USD,,
ONDO-USD,ONDO,Ondo,USD,,
JLP-USD,JLP,Jupiter Perpetuals Liquidity Provider Token,USD,,
USDF-USD,USDF,Falcon USD,USD,,
XAUT-USD,XAUT,Tether Gold,USD,,
WLD-USD,WLD,Worldcoin,USD,,
RETH-USD,RETH,Rocket Pool ETH,USD,,
HTX-USD,HTX,HTX DAO,USD,,
KCS-USD,KCS,KuCoin,USD,,
KHYPE-USD,KHYPE,Kinetiq Staked HYPE,USD,,
ARB-USD,ARB,Arbitrum,USD,,
BNSOL-USD,BNSOL,Binance Staked SOL,USD,,
TRUMP-USD,TRUMP,Official Trump,USD,,
ICP-USD,ICP,Internet Computer,USD,,
GT-USD,GT,Gate,USD,,
ALGO-USD,ALGO,Algorand,USD,,
KAS-USD,KAS,Kaspa,USD,,
IP-USD,IP,Story,USD,,
RSETH-USD,RSETH,Kelp DAO Restaked ETH,USD,,
OSETH-USD,OSETH,StakeWise Staked ETH,USD,,
ATOM-USD,ATOM,Cosmos Hub,USD,,
VET-USD,VET,VeChain,USD,,
WBNB-USD,WBNB,Wrapped BNB,USD,,
SYRUPUSDT-USD,SYRUPUSDT,syrupUSDT,USD,,
LSETH-USD,LSETH,Liquid Staked ETH,USD,,
SKY-USD,SKY,Sky,USD,,
SYRUPUSDC-USD,SYRUPUSDC,Syrup USDC,USD,,
JUP-USD,JUP,Jupiter,USD,,
PAXG-USD,PAXG,PAX Gold,USD,,
BFUSD-USD,BFUSD,BFUSD,USD,,
FLR-USD,FLR,Flare,USD,,
EZETH-USD,EZETH,Renzo Restaked ETH,USD,,
RENDER-USD,RENDER,Render,USD,,
