Symbol,Short Name,Long Name,Type,Sector,Industry,Country
AA,Alcoa Corporation,Alcoa Corporation,share,Materials,Aluminum,"Pittsburgh, Pennsylvania"
AAL,"American Airlines Group, Inc.",American Airlines Group Inc.,share,Industrials,Passenger Airlines,"Fort Worth, Texas"
AAON,"AAON, Inc.","AAON, Inc.",share,Industrials,Building Products,"Tulsa, Oklahoma"
ACI,"Albertsons Companies, Inc.","Albertsons Companies, Inc.",share,Consumer Staples,Food Retail,"Boise, Idaho"
ACM,AECOM,AECOM,share,Industrials,Construction & Engineering,"Dallas, Texas"
ADC,Agree Realty Corporation,Agree Realty Corporation,share,Real Estate,Retail REITs,"Bloomfield Hills, Michigan"
AFG,"American Financial Group, Inc.","American Financial Group, Inc.",share,Financials,Multi-line Insurance,"Cincinnati, Ohio"
AGCO,AGCO Corporation,AGCO Corporation,share,Industrials,Agricultural & Farm Machinery,"Duluth, Georgia"
AIT,Applied Industrial Technologies,"Applied Industrial Technologies, Inc.",share,Industrials,Trading Companies & Distributors,"Cleveland, Ohio"
ALE,"Allete, Inc.","ALLETE, Inc.",share,Utilities,Electric Utilities,"Duluth, Minnesota"
ALGM,"Allegro MicroSystems, Inc.","Allegro MicroSystems, Inc.",share,Information Technology,Semiconductors,"Manchester, New Hampshire"
ALK,"Alaska Air Group, Inc.","Alaska Air Group, Inc.",share,Industrials,Passenger Airlines,"SeaTac, Washington"
ALLY,Ally Financial Inc.,Ally Financial Inc.,share,Financials,Consumer Finance,"Detroit, Michigan"
ALV,"Autoliv, Inc.","Autoliv, Inc.",share,Consumer Discretionary,Automotive Parts & Equipment,"Stockholm, Sweden"
AM,Antero Midstream Corporation,Antero Midstream Corporation,share,Energy,Oil & Gas Storage & Transportation,"Denver, Colorado"
AMG,"Affiliated Managers Group, Inc.","Affiliated Managers Group, Inc.",share,Financials,Asset Management & Custody Banks,"West Palm Beach, Florida"
AMH,American Homes 4 Rent,American Homes 4 Rent,share,Real Estate,Single-Family Residential REITs,"Las Vegas, Nevada"
AMKR,"Amkor Technology, Inc.","Amkor Technology, Inc.",share,Information Technology,Semiconductors,"Tempe, Arizona"
AN,"AutoNation, Inc.","AutoNation, Inc.",share,Consumer Discretionary,Automotive Retail,"Fort Lauderdale, Florida"
ANF,Abercrombie & Fitch Company,Abercrombie & Fitch Co.,share,Consumer Discretionary,Apparel Retail,"New Albany, Ohio"
APG,APi Group Corporation,APi Group Corporation,share,Industrials,Construction & Engineering,"New Brighton, Minnesota"
APPF,"AppFolio, Inc.","AppFolio, Inc.",share,Information Technology,Application Software,"Goleta, California"
AR,Antero Resources Corporation,Antero Resources Corporation,share,Energy,Oil & Gas Exploration & Production,"Denver, Colorado"
ARMK,Aramark,Aramark,share,Consumer Discretionary,Distributors,"Philadelphia, Pennsylvania"
ARW,"Arrow Electronics, Inc.","Arrow Electronics, Inc.",share,Information Technology,Technology Distributors,"Centennial, Colorado"
ASB,Associated Banc-Corp,Associated Banc-Corp,share,Financials,Regional Banks,"Green Bay, Wisconsin"
ASGN,ASGN Incorporated,ASGN Incorporated,share,Information Technology,IT Consulting & Other Services,"Glen Allen, Virginia"
ASH,Ashland Inc.,Ashland Inc.,share,Materials,Diversified Chemicals,"Wilmington, Delaware"
ATI,ATI Inc.,ATI Inc.,share,Industrials,Aerospace & Defense,"Dallas, Texas"
ATR,"AptarGroup, Inc.","AptarGroup, Inc.",share,Materials,"Metal, Glass & Plastic Containers","Crystal Lake, Illinois"
AVAV,"AeroVironment, Inc.","AeroVironment, Inc.",share,Industrials,Aerospace & Defense,"Arlington County, Virginia"
AVNT,Avient Corporation,Avient Corporation,share,Materials,Specialty Chemicals,"Avon Lake, Ohio"
AVT,"Avnet, Inc.","Avnet, Inc.",share,Information Technology,Technology Distributors,"Phoenix, Arizona"
AVTR,"Avantor, Inc.","Avantor, Inc.",share,Health Care,Life Sciences Tools & Services,"Radnor, Pennsylvania"
AXTA,Axalta Coating Systems Ltd.,Axalta Coating Systems Ltd.,share,Materials,Specialty Chemicals,"Philadelphia, Pennsylvania"
AYI,Acuity Inc.,Acuity Inc.,share,Industrials,Electrical Components & Equipment,"Atlanta, Georgia"
BBWI,"Bath & Body Works, Inc.","Bath & Body Works, Inc.",share,Consumer Discretionary,Other Specialty Retail,"Columbus, Ohio"
BC,Brunswick Corporation,Brunswick Corporation,share,Consumer Discretionary,Leisure Products,"Mettawa, Illinois"
BCO,Brinks Company (The),The Brink's Company,share,Industrials,Security & Alarm Services,"Richmond, Virginia"
BDC,Belden Inc,Belden Inc.,share,Information Technology,Electronic Components,"St. Louis, Missouri"
BHF,"Brighthouse Financial, Inc.","Brighthouse Financial, Inc.",share,Financials,Life & Health Insurance,"Charlotte, North Carolina"
BILL,"BILL Holdings, Inc.","BILL Holdings, Inc.",share,Information Technology,Application Software,"San Jose, California"
BIO,"Bio-Rad Laboratories, Inc.","Bio-Rad Laboratories, Inc.",share,Health Care,Life Sciences Tools & Services,"Hercules, California"
BJ,"BJ's Wholesale Club Holdings, I","BJ's Wholesale Club Holdings, Inc.",share,Consumer Staples,Consumer Staples Merchandise Retail,"Marlborough, Massachusetts"
BKH,Black Hills Corporation,Black Hills Corporation,share,Utilities,Multi-Utilities,"Rapid City, South Dakota"
BLD,TopBuild Corp.,TopBuild Corp.,share,Consumer Discretionary,Homebuilding,
BLKB,"Blackbaud, Inc.","Blackbaud, Inc.",share,Information Technology,Application Software,"Charleston, South Carolina"
BMRN,BioMarin Pharmaceutical Inc.,BioMarin Pharmaceutical Inc.,share,Health Care,Biotechnology,"San Rafael, California"
BRBR,"BellRing Brands, Inc.","BellRing Brands, Inc.",share,Consumer Staples,Packaged Foods & Meats,
BRKR,Bruker Corporation,Bruker Corporation,share,Health Care,Health Care Equipment,"Billerica, Massachusetts"
BRX,Brixmor Property Group Inc.,Brixmor Property Group Inc.,share,Real Estate,Retail REITs,"New York City, New York"
BSY,"Bentley Systems, Incorporated","Bentley Systems, Incorporated",share,Information Technology,Application Software,"Exton, Pennsylvania"
BURL,"Burlington Stores, Inc.","Burlington Stores, Inc.",share,Consumer Discretionary,Apparel Retail,"Burlington, New Jersey"
BWXT,"BWX Technologies, Inc.","BWX Technologies, Inc.",share,Industrials,Aerospace & Defense,"Lynchburg, Virginia"
BYD,Boyd Gaming Corporation,Boyd Gaming Corporation,share,Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada"
CACI,"CACI International, Inc.",CACI International Inc,share,Industrials,Diversified Support Services,"Reston, Virginia"
CADE,Cadence Bank,Cadence Bank,share,Financials,Regional Banks,"Tupelo, Mississippi Houston, Texas"
CAR,"Avis Budget Group, Inc.","Avis Budget Group, Inc.",share,Industrials,Passenger Ground Transportation,"Parsippany, New Jersey"
CART,Maplebear Inc.,Maplebear Inc.,share,Consumer Staples,Food Retail,"San Francisco, California"
CASY,"Caseys General Stores, Inc.","Casey's General Stores, Inc.",share,Consumer Staples,Food Retail,"Ankeny, Iowa"
CAVA,"CAVA Group, Inc.","CAVA Group, Inc.",share,Consumer Discretionary,Restaurants,"Washington, D.C."
CBSH,"Commerce Bancshares, Inc.","Commerce Bancshares, Inc.",share,Financials,Regional Banks,"Kansas City, Missouri"
CBT,Cabot Corporation,Cabot Corporation,share,Materials,Diversified Chemicals,"Boston, Massachusetts"
CCK,"Crown Holdings, Inc.","Crown Holdings, Inc.",share,Materials,Paper & Plastic Packaging Products & Materials,"Yardley, Pennsylvania"
CDP,COPT Defense Properties,COPT Defense Properties,share,Real Estate,Office REITs,"Columbia, Maryland"
CELH,"Celsius Holdings, Inc.","Celsius Holdings, Inc.",share,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Boca Raton, Florida"
CFR,"Cullen/Frost Bankers, Inc.","Cullen/Frost Bankers, Inc.",share,Financials,Regional Banks,"San Antonio, Texas"
CG,The Carlyle Group Inc.,The Carlyle Group Inc.,share,Financials,Asset Management & Custody Banks,"Washington, D.C."
CGNX,Cognex Corporation,Cognex Corporation,share,Information Technology,Electronic Equipment & Instruments,"Natick, Massachusetts"
CHDN,"Churchill Downs, Incorporated",Churchill Downs Incorporated,share,Consumer Discretionary,Casinos & Gaming,"Louisville, Kentucky"
CHE,Chemed Corp,Chemed Corporation,share,Health Care,Health Care Services,"Cincinnati, Ohio"
CHH,"Choice Hotels International, In","Choice Hotels International, Inc.",share,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Rockville, Maryland"
CHRD,Chord Energy Corporation,Chord Energy Corporation,share,Energy,Oil & Gas Exploration & Production,"Houston, Texas"
CHWY,"Chewy, Inc.","Chewy, Inc.",share,Consumer Discretionary,Other Specialty Retail,"Plantation, Florida"
CIEN,Ciena Corporation,Ciena Corporation,share,Information Technology,Communications Equipment,"Hanover, Maryland"
CIVI,"Civitas Resources, Inc.","Civitas Resources, Inc.",share,Energy,Oil & Gas Exploration & Production,"Denver, Colorado"
CLF,Cleveland-Cliffs Inc.,Cleveland-Cliffs Inc.,share,Materials,Steel,"Cleveland, Ohio"
CLH,"Clean Harbors, Inc.","Clean Harbors, Inc.",share,Industrials,Environmental & Facilities Services,"Norwell, Massachusetts"
CMA,Comerica Incorporated,Comerica Incorporated,share,Financials,Regional Banks,"Dallas, Texas"
CMC,Commercial Metals Company,Commercial Metals Company,share,Materials,Steel,"Irving, Texas"
CNH,CNH Industrial N.V.,CNH Industrial N.V.,share,Industrials,Agricultural & Farm Machinery,"Amsterdam, Netherlands"
CNM,"Core & Main, Inc.","Core & Main, Inc.",share,Industrials,Trading Companies & Distributors,"St. Louis, Missouri"
CNO,"CNO Financial Group, Inc.","CNO Financial Group, Inc.",share,Financials,Life & Health Insurance,"Carmel, Indiana"
CNX,CNX Resources Corporation,CNX Resources Corporation,share,Energy,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania"
CNXC,Concentrix Corporation,Concentrix Corporation,share,Industrials,Data Processing & Outsourced Services,"Newark, California"
COHR,Coherent Corp.,Coherent Corp.,share,Information Technology,Electronic Components,"Saxonburg, Pennsylvania"
COKE,"Coca-Cola Consolidated, Inc.","Coca-Cola Consolidated, Inc.",share,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,"Charlotte, North Carolina"
COLB,"Columbia Banking System, Inc.","Columbia Banking System, Inc.",share,Financials,Regional Banks,"Tacoma, Washington"
COLM,Columbia Sportswear Company,Columbia Sportswear Company,share,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Portland, Oregon"
COTY,Coty Inc.,Coty Inc.,share,Consumer Staples,Personal Care Products,"New York City, New York"
CPRI,Capri Holdings Limited,Capri Holdings Limited,share,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York City, New York"
CR,Crane Company,Crane Company,share,Industrials,Industrial Machinery & Supplies & Components,"Stamford, Connecticut"
CROX,"Crocs, Inc.","Crocs, Inc.",share,Consumer Discretionary,Footwear,"Broomfield, Colorado"
CRS,Carpenter Technology Corporatio,Carpenter Technology Corporation,share,Materials,Steel,"Philadelphia, Pennsylvania"
CRUS,"Cirrus Logic, Inc.","Cirrus Logic, Inc.",share,Information Technology,Semiconductors,"Austin, Texas"
CSL,Carlisle Companies Incorporated,Carlisle Companies Incorporated,share,Industrials,Industrial Conglomerates,"Phoenix, Arizona"
CUBE,CubeSmart,CubeSmart,share,Real Estate,Industrial REITs,"Malvern, Pennsylvania"
CUZ,Cousins Properties Incorporated,Cousins Properties Incorporated,share,Real Estate,Office REITs,"Atlanta, Georgia"
CVLT,"Commvault Systems, Inc.","Commvault Systems, Inc.",share,Information Technology,Systems Software,"Tinton Falls, New Jersey"
CW,Curtiss-Wright Corporation,Curtiss-Wright Corporation,share,Industrials,Aerospace & Defense,"Davidson, North Carolina"
CXT,"Crane NXT, Co.","Crane NXT, Co.",share,Information Technology,Electronic Equipment & Instruments,"Stamford, Connecticut"
CYTK,"Cytokinetics, Incorporated","Cytokinetics, Incorporated",share,Health Care,Biotechnology,"South San Francisco, California"
DAR,Darling Ingredients Inc.,Darling Ingredients Inc.,share,Consumer Staples,Agricultural Products & Services,
DBX,"Dropbox, Inc.","Dropbox, Inc.",share,Information Technology,Application Software,"San Francisco, California"
DCI,"Donaldson Company, Inc.","Donaldson Company, Inc.",share,Industrials,Industrial Machinery & Supplies & Components,"Bloomington, Minnesota"
DINO,HF Sinclair Corporation,HF Sinclair Corporation,share,Energy,Oil & Gas Refining & Marketing,"Dallas, Texas"
DKS,Dick's Sporting Goods Inc,"DICK'S Sporting Goods, Inc.",share,Consumer Discretionary,Specialty Stores,"Coraopolis, Pennsylvania"
DLB,Dolby Laboratories,"Dolby Laboratories, Inc.",share,Information Technology,Application Software,"San Francisco, California"
