date,symbol,open,high,low,close,volume
1984-10-09,NNN,9.75,10.125,9.75,9.75,287600
1984-10-10,NNN,9.75,10.0,9.75,9.75,38800
1984-10-11,NNN,9.75,9.75,9.75,9.75,0
1984-10-12,NNN,9.75,10.0,9.75,9.75,20800
1984-10-15,NNN,9.75,10.0,9.75,9.75,12400
1984-10-16,NNN,9.875,10.125,9.875,9.875,9200
1984-10-17,NNN,10.0,10.25,10.0,10.0,20700
1984-10-18,NNN,10.0,10.25,10.0,10.0,11500
1984-10-19,NNN,10.125,10.5,10.125,10.125,14000
1984-10-22,NNN,10.125,10.25,10.0,10.0,7000
1984-10-23,NNN,10.0,10.25,10.0,10.0,17100
1984-10-24,NNN,10.0,10.25,10.0,10.0,5500
1984-10-25,NNN,10.0,10.25,10.0,10.0,5000
1984-10-26,NNN,10.0,10.25,10.0,10.0,3600
1984-10-29,NNN,10.0,10.25,9.75,9.75,4500
1984-10-30,NNN,9.75,10.25,9.75,9.75,3900
1984-10-31,NNN,10.0,10.25,10.0,10.0,3300
1984-11-01,NNN,10.0,10.25,10.0,10.0,2800
1984-11-02,NNN,10.5,11.25,10.5,10.5,15400
1984-11-05,NNN,10.5,10.75,10.25,10.25,9100
1984-11-06,NNN,10.25,10.75,10.25,10.25,14500
1984-11-07,NNN,10.25,10.75,10.25,10.25,8900
1984-11-08,NNN,10.25,10.75,10.25,10.25,9500
1984-11-09,NNN,10.25,10.75,10.25,10.25,4600
1984-11-12,NNN,10.25,10.75,10.25,10.25,7900
1984-11-13,NNN,10.25,10.75,10.25,10.25,5200
1984-11-14,NNN,10.25,10.75,10.25,10.25,5000
1984-11-15,NNN,10.25,10.75,10.25,10.25,2700
1984-11-16,NNN,10.25,10.75,10.25,10.25,1000
1984-11-19,NNN,10.25,10.5,10.0,10.0,2400
1984-11-20,NNN,10.0,10.5,10.0,10.0,5800
1984-11-21,NNN,10.25,10.5,10.25,10.25,1600
1984-11-23,NNN,10.5,10.75,10.5,10.5,7200
1984-11-26,NNN,10.5,10.5,10.25,10.25,5400
1984-11-27,NNN,10.25,10.75,10.25,10.25,5600
1984-11-28,NNN,10.25,10.75,10.25,10.25,1900
1984-11-29,NNN,10.25,10.75,10.25,10.25,1000
1984-11-30,NNN,10.25,10.75,10.25,10.25,1000
1984-12-03,NNN,10.25,10.5,10.25,10.25,2800
1984-12-04,NNN,10.25,10.5,10.25,10.25,2800
1984-12-05,NNN,10.25,10.75,10.25,10.25,5700
1984-12-06,NNN,10.25,10.75,10.25,10.25,4200
1984-12-07,NNN,10.25,11.0,10.25,10.25,3800
1984-12-10,NNN,10.25,10.625,10.25,10.25,6900
1984-12-11,NNN,10.25,10.625,10.25,10.25,1100
1984-12-12,NNN,10.25,10.625,10.25,10.25,7100
1984-12-13,NNN,10.25,10.5,10.25,10.25,4100
1984-12-14,NNN,10.25,10.5,10.25,10.25,2100
1984-12-17,NNN,10.25,10.5,10.25,10.25,4500
1984-12-18,NNN,10.25,10.5,10.25,10.25,1100
1984-12-19,NNN,10.25,10.75,10.25,10.75,700
1984-12-20,NNN,10.75,10.75,10.375,10.75,500
1984-12-21,NNN,10.5,10.5,10.375,10.375,1400
1984-12-24,NNN,10.75,10.75,10.75,10.75,300
1984-12-26,NNN,10.75,10.75,10.375,10.375,400
1984-12-27,NNN,10.375,10.75,10.375,10.75,700
1984-12-28,NNN,10.75,10.75,10.375,10.75,3700
1984-12-31,NNN,10.75,10.75,10.75,10.75,200
1985-01-02,NNN,10.75,10.75,10.5,10.5,2500
1985-01-03,NNN,10.5,10.75,10.5,10.75,1800
1985-01-04,NNN,10.75,10.75,10.5,10.5,1500
1985-01-07,NNN,10.5,10.75,10.375,10.75,1200
1985-01-08,NNN,10.75,11.0,10.5,11.0,4400
1985-01-09,NNN,11.0,11.0,10.75,10.75,2400
1985-01-10,NNN,10.75,11.25,10.75,10.75,8000
1985-01-11,NNN,11.0,11.25,11.0,11.0,7300
1985-01-14,NNN,11.0,11.25,10.75,11.25,1000
1985-01-15,NNN,11.25,11.25,10.75,11.25,1100
1985-01-16,NNN,11.25,11.25,11.0,11.25,4900
1985-01-17,NNN,11.25,11.25,10.75,11.25,6200
1985-01-18,NNN,11.25,11.25,11.25,11.25,0
1985-01-21,NNN,11.25,11.5,10.875,11.0,700
1985-01-22,NNN,11.0,11.5,11.0,11.25,7700
1985-01-23,NNN,11.25,11.25,11.0,11.25,10000
1985-01-24,NNN,11.25,11.25,11.0,11.25,11400
1985-01-25,NNN,11.25,11.5,11.0,11.25,6100
1985-01-28,NNN,11.25,11.5,11.0,11.5,17300
1985-01-29,NNN,11.5,11.5,11.25,11.5,5900
1985-01-30,NNN,11.5,11.75,11.25,11.5,4200
1985-01-31,NNN,11.5,11.75,11.25,11.75,5500
1985-02-01,NNN,11.75,11.75,11.5,11.5,6300
1985-02-04,NNN,11.5,11.75,11.5,11.75,20900
1985-02-05,NNN,11.75,11.75,11.5,11.75,4200
1985-02-06,NNN,11.75,11.75,11.5,11.75,5200
1985-02-07,NNN,11.75,11.75,11.5,11.75,2600
1985-02-08,NNN,11.75,11.75,11.25,11.5,1700
1985-02-11,NNN,11.5,11.75,11.5,11.5,8200
1985-02-12,NNN,11.5,12.0,11.5,12.0,9700
1985-02-13,NNN,12.0,12.0,11.5,12.0,5100
1985-02-14,NNN,12.0,12.0,11.5,11.5,5100
1985-02-15,NNN,11.5,11.75,11.5,11.625,5300
1985-02-19,NNN,11.625,12.0,11.5,11.5,1500
1985-02-20,NNN,11.5,12.0,11.5,11.5,6700
1985-02-21,NNN,11.5,12.0,11.5,12.0,3000
1985-02-22,NNN,12.0,12.0,11.5,12.0,2100
1985-02-25,NNN,12.0,12.0,11.5,11.5,1800
1985-02-26,NNN,11.5,11.5,11.5,11.5,2300
1985-02-27,NNN,11.5,12.0,11.5,12.0,1100
1985-02-28,NNN,11.75,11.75,11.5,11.5,1200
1985-03-01,NNN,11.5,12.0,11.5,12.0,4600
1985-03-04,NNN,12.0,12.0,11.5,12.0,500
1985-03-05,NNN,12.0,12.0,12.0,12.0,200
1985-03-06,NNN,12.0,12.0,11.5,12.0,8400
1985-03-07,NNN,12.0,12.0,11.5,11.5,1500
1985-03-08,NNN,11.5,11.5,11.5,11.5,500
1985-03-11,NNN,11.5,11.5,11.5,11.5,700
1985-03-12,NNN,11.5,11.75,11.25,11.75,2400
1985-03-13,NNN,11.75,11.75,11.75,11.75,800
1985-03-14,NNN,11.5,11.5,11.25,11.5,6100
1985-03-15,NNN,11.5,11.5,11.25,11.25,1700
1985-03-18,NNN,11.25,11.25,11.0,11.0,4900
1985-03-19,NNN,11.0,11.25,10.75,10.75,5300
1985-03-20,NNN,10.75,11.25,10.75,11.25,4800
1985-03-21,NNN,11.25,11.25,10.75,10.75,9900
1985-03-22,NNN,10.75,11.25,10.75,10.875,3600
1985-03-25,NNN,10.875,11.25,10.75,11.25,1300
1985-03-26,NNN,11.25,11.25,10.75,11.0,2200
1985-03-27,NNN,11.0,11.0,10.5,11.0,2500
1985-03-28,NNN,10.75,10.75,10.5,10.75,700
1985-03-29,NNN,10.75,11.0,10.5,10.875,2100
1985-04-01,NNN,10.875,11.0,10.75,11.0,1700
1985-04-02,NNN,11.0,11.0,10.75,11.0,4200
1985-04-03,NNN,11.0,11.0,10.75,10.75,400
1985-04-04,NNN,10.75,11.0,10.75,10.75,1600
1985-04-08,NNN,10.75,11.0,10.625,11.0,5300
1985-04-09,NNN,11.0,11.25,10.5,11.25,12700
1985-04-10,NNN,11.25,11.25,10.75,11.25,2700
1985-04-11,NNN,11.25,11.5,11.0,11.0,5800
1985-04-12,NNN,11.0,11.5,11.0,11.5,4600
1985-04-15,NNN,11.5,11.75,11.25,11.75,6800
1985-04-16,NNN,11.75,12.0,11.75,12.0,2100
1985-04-17,NNN,12.0,12.0,11.5,12.0,6800
1985-04-18,NNN,12.0,12.25,11.75,12.25,7400
1985-04-19,NNN,12.25,12.5,11.75,12.375,28700
1985-04-22,NNN,12.375,12.5,11.75,11.75,12400
1985-04-23,NNN,11.75,12.0,11.75,11.75,300
1985-04-24,NNN,11.75,12.25,11.75,11.75,1100
1985-04-25,NNN,11.75,12.25,11.75,12.0,2500
1985-04-26,NNN,12.0,12.25,12.0,12.125,4100
1985-04-29,NNN,12.125,12.5,11.75,11.75,10900
1985-04-30,NNN,11.75,12.5,11.75,11.75,600
1985-05-01,NNN,11.75,12.25,11.75,12.25,4400
1985-05-02,NNN,12.25,12.5,11.75,12.5,3100
1985-05-03,NNN,12.5,12.5,12.5,12.5,300
1985-05-06,NNN,12.5,12.5,11.75,12.5,1700
1985-05-07,NNN,12.5,12.5,11.75,11.75,3400
1985-05-08,NNN,11.75,12.5,11.75,12.25,1700
1985-05-09,NNN,12.25,12.5,12.0,12.5,1900
1985-05-10,NNN,12.5,12.5,12.0,12.5,2700
1985-05-13,NNN,12.5,12.5,11.75,12.5,900
1985-05-14,NNN,11.75,11.75,11.75,11.75,400
1985-05-15,NNN,11.75,12.5,11.75,12.0,2500
1985-05-16,NNN,12.5,12.5,12.5,12.5,2300
1985-05-17,NNN,12.5,12.5,12.0,12.5,3400
1985-05-20,NNN,12.5,12.5,11.75,12.5,1900
1985-05-21,NNN,12.5,12.5,12.25,12.5,2100
1985-05-22,NNN,12.5,12.5,11.75,12.5,4400
1985-05-23,NNN,12.5,12.5,12.0,12.0,4200
1985-05-24,NNN,12.25,12.5,12.25,12.25,2700
1985-05-28,NNN,12.5,12.75,12.5,12.75,3000
1985-05-29,NNN,12.75,12.75,12.5,12.75,5300
1985-05-30,NNN,12.75,13.0,12.5,12.5,5200
1985-05-31,NNN,12.5,13.0,12.5,13.0,3300
1985-06-03,NNN,13.0,13.0,12.5,13.0,5200
1985-06-04,NNN,13.0,13.0,12.5,12.75,6300
1985-06-05,NNN,12.5,12.5,12.5,12.5,1000
1985-06-06,NNN,12.5,13.0,12.5,12.875,3500
1985-06-07,NNN,12.875,13.0,12.5,12.5,1300
1985-06-10,NNN,12.5,13.0,12.5,12.75,5000
1985-06-11,NNN,12.75,12.75,12.5,12.75,3700
1985-06-12,NNN,12.75,12.875,12.5,12.75,13600
1985-06-13,NNN,12.75,13.0,12.5,13.0,2100
1985-06-14,NNN,13.0,13.0,13.0,13.0,200
1985-06-17,NNN,12.5,12.5,12.5,12.5,700
1985-06-18,NNN,12.5,13.0,12.5,12.5,2500
1985-06-19,NNN,12.5,13.0,12.5,13.0,2100
1985-06-20,NNN,12.75,12.75,12.5,12.75,2900
1985-06-21,NNN,12.75,12.75,12.5,12.5,1300
1985-06-24,NNN,12.5,13.0,12.25,13.0,3800
1985-06-25,NNN,13.0,13.0,12.25,12.5,1000
1985-06-26,NNN,12.5,12.5,12.5,12.5,0
1985-06-27,NNN,13.0,13.0,13.0,13.0,1900
1985-06-28,NNN,12.5,12.5,12.5,12.5,1100
1985-07-01,NNN,12.5,13.0,12.25,12.25,900
1985-07-02,NNN,12.75,12.75,12.75,12.75,1100
1985-07-03,NNN,12.75,12.75,12.25,12.25,1300
1985-07-05,NNN,12.25,12.75,12.25,12.25,800
1985-07-08,NNN,12.75,13.0,12.75,13.0,800
1985-07-09,NNN,13.0,13.0,12.25,13.0,1100
1985-07-10,NNN,13.0,13.0,12.25,13.0,4400
1985-07-11,NNN,13.0,13.0,12.5,13.0,9100
1985-07-12,NNN,12.75,12.75,12.25,12.25,1300
1985-07-15,NNN,13.0,13.0,13.0,13.0,2500
1985-07-16,NNN,13.0,13.0,12.25,12.25,2200
1985-07-17,NNN,12.25,13.0,12.25,12.25,1200
1985-07-18,NNN,12.25,13.0,12.25,13.0,1200
1985-07-19,NNN,13.0,13.0,12.5,12.5,1400
1985-07-22,NNN,12.5,12.75,12.5,12.75,1200
1985-07-23,NNN,12.75,12.75,12.5,12.75,2800
1985-07-24,NNN,12.75,12.75,12.5,12.5,2900
1985-07-25,NNN,12.5,12.5,12.5,12.5,0
1985-07-26,NNN,12.5,12.75,12.5,12.5,1000
1985-07-29,NNN,12.5,12.75,12.25,12.25,2400
1985-07-30,NNN,12.25,12.75,12.25,12.25,2500
1985-07-31,NNN,12.25,12.75,12.25,12.75,2300
1985-08-01,NNN,12.75,12.75,12.25,12.5,7700
1985-08-02,NNN,12.5,12.5,12.5,12.5,900
1985-08-05,NNN,12.5,12.5,12.0,12.5,2300
1985-08-06,NNN,12.5,12.5,12.25,12.25,3700
1985-08-07,NNN,12.25,12.5,12.25,12.25,300
1985-08-08,NNN,12.25,12.5,12.25,12.25,2500
1985-08-09,NNN,12.5,12.5,12.5,12.5,700
