date,symbol,open,high,low,close,volume
1999-03-24,NOVT,19.125,19.125,15.375,15.9375,17500
1999-03-25,NOVT,17.0625,17.0625,14.625,14.625,15700
1999-03-26,NOVT,13.875,15.75,13.875,14.625,9200
1999-03-29,NOVT,15.0,15.375,13.875,15.0,9367
1999-03-30,NOVT,13.875,15.0,13.875,14.0625,31733
1999-03-31,NOVT,13.875,14.4375,13.5,13.875,52067
1999-04-01,NOVT,14.625,14.625,13.5,13.875,13600
1999-04-05,NOVT,13.5,14.25,12.5625,13.3125,17767
1999-04-06,NOVT,13.125,13.5,12.75,12.75,29833
1999-04-07,NOVT,13.125,13.125,12.375,12.375,6267
1999-04-08,NOVT,12.375,12.5625,12.140625,12.375,6533
1999-04-09,NOVT,11.625,12.0,10.5,11.15625,40667
1999-04-12,NOVT,10.5,10.875,10.125,10.5,41167
1999-04-13,NOVT,10.5,11.0625,10.125,10.3125,70300
1999-04-14,NOVT,10.125,11.25,9.75,10.6875,115900
1999-04-15,NOVT,11.25,11.25,10.6875,11.0625,35700
1999-04-16,NOVT,10.6875,12.375,10.6875,11.8125,23367
1999-04-19,NOVT,11.625,12.75,11.625,12.0,41733
1999-04-20,NOVT,12.0,12.1875,11.625,11.625,4700
1999-04-21,NOVT,11.625,12.375,11.625,12.1875,16567
1999-04-22,NOVT,12.0,12.75,12.0,12.375,41667
1999-04-23,NOVT,11.8125,12.75,11.8125,12.375,21567
1999-04-26,NOVT,13.125,13.125,12.75,12.75,8533
1999-04-27,NOVT,12.0,12.75,12.0,12.375,4767
1999-04-28,NOVT,12.75,12.75,12.375,12.5625,26000
1999-04-29,NOVT,12.375,12.9375,12.375,12.5625,18767
1999-04-30,NOVT,12.5625,12.9375,12.5625,12.75,2200
1999-05-03,NOVT,12.5625,13.125,12.5625,12.75,7067
1999-05-04,NOVT,12.5625,12.75,12.5625,12.75,14133
1999-05-05,NOVT,12.75,13.125,12.75,12.890625,7933
1999-05-06,NOVT,12.375,13.875,12.1875,13.875,25500
1999-05-07,NOVT,13.5,14.25,13.5,13.5,12967
1999-05-10,NOVT,13.875,13.875,13.125,13.3125,12267
1999-05-11,NOVT,13.3125,13.5,13.125,13.21875,8133
1999-05-12,NOVT,13.5,14.25,13.21875,13.5,10967
1999-05-13,NOVT,13.5,13.875,13.5,13.78125,7867
1999-05-14,NOVT,13.875,13.875,13.3125,13.5,5733
1999-05-17,NOVT,13.5,13.875,13.5,13.5,5233
1999-05-18,NOVT,14.25,14.25,13.125,13.5,113467
1999-05-19,NOVT,13.5,13.875,13.125,13.5,20067
1999-05-20,NOVT,13.875,14.25,13.5,13.6875,22233
1999-05-21,NOVT,13.5,14.25,13.5,13.875,1800
1999-05-24,NOVT,13.875,13.875,13.5,13.5,6767
1999-05-25,NOVT,13.5,13.875,13.125,13.5,5100
1999-05-26,NOVT,13.5,14.0625,13.3125,13.6875,9200
1999-05-27,NOVT,13.125,13.5,13.125,13.3125,4133
1999-05-28,NOVT,13.5,13.875,13.5,13.875,6267
1999-06-01,NOVT,13.78125,13.875,13.125,13.125,7433
1999-06-02,NOVT,13.3125,13.3125,13.125,13.3125,16233
1999-06-03,NOVT,13.125,13.875,13.125,13.5,7300
1999-06-04,NOVT,13.40625,13.5,12.9375,13.125,75933
1999-06-07,NOVT,13.125,13.5,13.125,13.125,7400
1999-06-08,NOVT,13.125,13.5,13.125,13.5,133
1999-06-09,NOVT,13.5,13.5,13.125,13.3125,11000
1999-06-10,NOVT,13.5,13.5,12.75,13.3125,17267
1999-06-11,NOVT,13.5,13.5,13.125,13.5,6267
1999-06-14,NOVT,13.5,13.5,13.125,13.125,18500
1999-06-15,NOVT,13.125,13.3125,12.75,12.9375,15100
1999-06-16,NOVT,12.9375,13.125,12.5625,12.75,4433
1999-06-17,NOVT,12.5625,13.125,12.1875,12.375,38567
1999-06-18,NOVT,12.1875,12.375,10.875,11.4375,63000
1999-06-21,NOVT,11.25,11.8125,11.0625,11.625,43167
1999-06-22,NOVT,11.25,11.4375,10.5,10.875,41600
1999-06-23,NOVT,11.0625,11.25,10.3125,11.0625,84167
1999-06-24,NOVT,10.6875,11.4375,9.75,11.25,110833
1999-06-25,NOVT,11.0625,11.8125,11.0625,11.8125,21433
1999-06-28,NOVT,11.25,11.8125,10.6875,11.25,30000
1999-06-29,NOVT,10.875,11.625,10.6875,10.875,24567
1999-06-30,NOVT,10.875,11.625,10.875,11.4375,10200
1999-07-01,NOVT,11.625,11.8125,11.4375,11.625,3067
1999-07-02,NOVT,11.625,12.375,11.625,12.0,15733
1999-07-06,NOVT,12.5625,12.75,12.1875,12.375,12000
1999-07-07,NOVT,12.375,12.75,12.375,12.5625,4100
1999-07-08,NOVT,12.375,13.3125,12.375,12.75,15067
1999-07-09,NOVT,12.75,13.5,12.75,13.125,28667
1999-07-12,NOVT,13.3125,14.25,12.9375,13.875,21500
1999-07-13,NOVT,14.25,16.5,14.0625,15.375,118733
1999-07-14,NOVT,15.75,16.3125,15.5625,16.125,35033
1999-07-15,NOVT,16.3125,16.875,16.125,16.3125,53333
1999-07-16,NOVT,16.125,16.6875,15.9375,16.3125,21100
1999-07-19,NOVT,16.6875,16.6875,16.125,16.125,10500
1999-07-20,NOVT,16.5,16.5,15.375,15.375,9700
1999-07-21,NOVT,15.46875,15.46875,15.0,15.0,12633
1999-07-22,NOVT,14.90625,15.1875,14.625,15.0,6833
