date,symbol,open,high,low,close,volume
1992-01-31,SMG,12.25,12.25,10.9375,11.125,19977200
1992-02-03,SMG,11.0,11.1875,10.5625,10.8125,4132000
1992-02-04,SMG,10.75,10.875,10.625,10.625,1891000
1992-02-05,SMG,11.0,11.375,10.875,11.0625,3734600
1992-02-06,SMG,11.125,11.25,11.0,11.125,1074200
1992-02-07,SMG,11.125,11.25,10.875,11.125,916200
1992-02-10,SMG,11.0,11.25,10.5,10.5,1289800
1992-02-11,SMG,10.5,11.375,10.5,11.0,1285600
1992-02-12,SMG,11.0,11.375,11.0,11.125,1226000
1992-02-13,SMG,11.0,11.25,10.5,10.625,786400
1992-02-14,SMG,10.5,11.0,10.5,10.875,584600
1992-02-18,SMG,11.0,11.0,10.375,10.375,918400
1992-02-19,SMG,10.375,10.625,10.375,10.625,977800
1992-02-20,SMG,10.375,10.625,10.375,10.5,846200
1992-02-21,SMG,10.375,10.5,10.125,10.125,664000
1992-02-24,SMG,10.375,10.625,10.125,10.5,791200
1992-02-25,SMG,10.5,10.75,10.375,10.4375,431400
1992-02-26,SMG,10.5,10.625,10.25,10.3125,391600
1992-02-27,SMG,10.375,10.5,10.25,10.3125,919400
1992-02-28,SMG,10.25,10.75,10.25,10.625,647400
1992-03-02,SMG,10.5,10.875,10.5,10.75,539600
1992-03-03,SMG,10.875,10.875,10.5,10.75,398000
1992-03-04,SMG,10.625,10.625,10.125,10.1875,434600
1992-03-05,SMG,9.875,10.0,9.375,9.5,2622600
1992-03-06,SMG,9.75,10.125,9.5,9.75,1099600
1992-03-09,SMG,9.75,9.875,9.5,9.875,101200
1992-03-10,SMG,10.0,10.125,9.625,9.625,775400
1992-03-11,SMG,9.75,9.75,9.375,9.4375,1485600
1992-03-12,SMG,9.625,9.625,9.125,9.25,508200
1992-03-13,SMG,9.25,9.375,9.25,9.25,761000
1992-03-16,SMG,9.25,9.375,9.1875,9.3125,390600
1992-03-17,SMG,9.125,9.375,9.125,9.375,163200
1992-03-18,SMG,9.125,9.25,9.0,9.125,357200
1992-03-19,SMG,9.25,9.25,9.0,9.25,167800
1992-03-20,SMG,9.25,9.25,9.0,9.25,109600
1992-03-23,SMG,9.375,9.375,9.125,9.25,159400
1992-03-24,SMG,9.25,9.375,9.125,9.125,257000
1992-03-25,SMG,9.25,9.25,8.875,9.25,861000
1992-03-26,SMG,9.375,9.75,9.125,9.6875,529400
1992-03-27,SMG,9.75,9.75,9.375,9.5,368600
1992-03-30,SMG,9.625,9.625,9.375,9.375,127800
