date,symbol,open,high,low,close,volume
1997-01-29,KRC,25.0,25.75,24.875,25.25,4023000
1997-01-30,KRC,25.375,25.375,25.0,25.25,830000
1997-01-31,KRC,25.375,25.625,25.125,25.625,411300
1997-02-03,KRC,25.875,25.875,25.25,25.625,279500
1997-02-04,KRC,25.25,25.375,24.75,25.25,421200
1997-02-05,KRC,25.25,25.625,25.125,25.25,153500
1997-02-06,KRC,25.125,25.25,25.125,25.125,224900
1997-02-07,KRC,25.125,25.5,25.125,25.25,174200
1997-02-10,KRC,25.25,25.5,25.25,25.25,158900
1997-02-11,KRC,25.25,25.375,25.25,25.25,96400
1997-02-12,KRC,25.0,25.125,24.625,25.0,623200
1997-02-13,KRC,25.0,25.125,24.875,25.0,227000
1997-02-14,KRC,25.0,25.25,25.0,25.125,111700
1997-02-18,KRC,25.0,25.125,24.875,24.875,118000
1997-02-19,KRC,25.125,25.25,25.0,25.25,143200
1997-02-20,KRC,25.125,25.375,25.125,25.25,116700
1997-02-21,KRC,25.25,25.625,25.125,25.625,225600
1997-02-24,KRC,25.5,26.375,25.5,26.25,252000
1997-02-25,KRC,26.375,26.75,26.375,26.375,142900
1997-02-26,KRC,26.125,26.25,25.75,26.0,173600
1997-02-27,KRC,26.0,26.125,25.625,25.75,206700
1997-02-28,KRC,26.0,26.25,26.0,26.25,165900
1997-03-03,KRC,26.0,26.25,26.0,26.125,56500
1997-03-04,KRC,26.0,26.625,25.875,26.5,128200
1997-03-05,KRC,26.5,26.75,26.375,26.5,27900
1997-03-06,KRC,26.5,26.5,26.25,26.25,13900
1997-03-07,KRC,26.25,26.5,26.25,26.375,58500
1997-03-10,KRC,26.375,27.0,26.375,27.0,114300
1997-03-11,KRC,27.0,27.25,27.0,27.25,106400
1997-03-12,KRC,27.125,28.0,27.125,27.75,122700
1997-03-13,KRC,27.75,28.375,27.625,28.125,183500
1997-03-14,KRC,28.0,28.125,27.875,27.875,87800
1997-03-17,KRC,28.0,28.0,27.375,27.875,200500
1997-03-18,KRC,27.75,27.75,27.5,27.5,66600
1997-03-19,KRC,27.625,27.625,26.5,26.5,31200
1997-03-20,KRC,26.5,26.625,26.375,26.375,36900
1997-03-21,KRC,26.375,26.75,26.25,26.625,49800
1997-03-24,KRC,26.75,26.875,26.625,26.875,22700
1997-03-25,KRC,26.875,27.25,26.75,27.25,66200
1997-03-26,KRC,27.375,27.75,27.25,27.75,44400
1997-03-27,KRC,27.625,27.75,27.375,27.375,29600
1997-03-31,KRC,27.5,27.5,26.625,26.625,64900
1997-04-01,KRC,26.625,26.75,26.625,26.625,41000
1997-04-02,KRC,26.625,26.75,25.25,25.625,60500
1997-04-03,KRC,25.5,25.5,25.0,25.0,123100
1997-04-04,KRC,25.125,25.125,25.0,25.0,140400
1997-04-07,KRC,25.25,25.25,24.625,24.625,27600
1997-04-08,KRC,24.75,24.75,24.0,24.0,202200
1997-04-09,KRC,24.125,24.375,23.75,24.25,277600
1997-04-10,KRC,24.375,24.375,24.0,24.125,81500
1997-04-11,KRC,24.125,24.125,23.625,23.875,35000
1997-04-14,KRC,23.625,24.0,23.625,24.0,63700
1997-04-15,KRC,24.0,24.0,23.5,23.5,120700
1997-04-16,KRC,23.375,24.0,23.375,24.0,26400
1997-04-17,KRC,24.0,24.125,23.75,23.75,76400
1997-04-18,KRC,23.75,24.25,23.75,24.25,97200
1997-04-21,KRC,24.375,24.375,24.125,24.125,204700
1997-04-22,KRC,24.25,24.25,24.125,24.125,24700
1997-04-23,KRC,24.0,24.0,23.5,23.875,29600
1997-04-24,KRC,23.75,24.0,23.75,23.75,112800
1997-04-25,KRC,23.75,23.75,23.5,23.625,40900
1997-04-28,KRC,23.5,23.5,23.0,23.125,116800
1997-04-29,KRC,23.375,23.625,23.375,23.625,16600
1997-04-30,KRC,23.625,23.625,23.5,23.5,26500
1997-05-01,KRC,23.375,23.375,22.875,23.25,61600
1997-05-02,KRC,23.25,23.875,23.25,23.625,205800
1997-05-05,KRC,23.875,24.0,23.75,24.0,20100
1997-05-06,KRC,24.0,24.125,24.0,24.125,38000
1997-05-07,KRC,24.125,24.125,24.0,24.125,11400
1997-05-08,KRC,24.125,24.125,23.875,23.875,38500
1997-05-09,KRC,24.0,25.0,24.0,25.0,44000
1997-05-12,KRC,25.0,25.125,25.0,25.0,29600
1997-05-13,KRC,24.875,25.0,24.75,24.875,52700
1997-05-14,KRC,25.125,25.25,25.0,25.25,77400
1997-05-15,KRC,25.125,25.125,24.875,24.875,30200
1997-05-16,KRC,24.625,24.75,24.0,24.25,60400
1997-05-19,KRC,23.875,24.125,23.875,24.125,104300
1997-05-20,KRC,23.625,23.875,23.625,23.875,52000
1997-05-21,KRC,23.75,23.75,23.25,23.375,56900
1997-05-22,KRC,23.375,23.625,23.25,23.25,81300
1997-05-23,KRC,23.25,24.0,23.25,23.875,22100
1997-05-27,KRC,23.875,23.875,23.5,23.75,81700
1997-05-28,KRC,23.75,24.0,23.625,24.0,63400
1997-05-29,KRC,23.75,23.75,23.625,23.75,60500
1997-05-30,KRC,23.625,24.0,23.625,24.0,35600
1997-06-02,KRC,23.875,24.0,23.875,23.875,8200
1997-06-03,KRC,24.0,24.125,23.875,24.0,71800
1997-06-04,KRC,24.0,24.0,23.875,24.0,71000
1997-06-05,KRC,23.875,24.125,23.875,24.125,5500
1997-06-06,KRC,24.125,24.625,24.0,24.25,18900
1997-06-09,KRC,24.0,24.25,24.0,24.125,40000
1997-06-10,KRC,24.125,24.125,24.0,24.125,8900
1997-06-11,KRC,24.0,24.125,24.0,24.0,20900
1997-06-12,KRC,24.0,24.25,23.875,24.125,41100
1997-06-13,KRC,24.0,24.375,23.875,24.375,179500
1997-06-16,KRC,24.125,24.5,24.125,24.375,107400
1997-06-17,KRC,24.25,24.75,24.25,24.625,33900
1997-06-18,KRC,24.5,24.5,24.375,24.5,27400
1997-06-19,KRC,24.375,24.625,24.25,24.5,89900
1997-06-20,KRC,24.75,25.25,24.625,25.125,48900
1997-06-23,KRC,25.375,25.625,25.125,25.125,42300
1997-06-24,KRC,25.375,25.5,25.125,25.5,53200
1997-06-25,KRC,25.5,26.0,25.5,25.875,102800
1997-06-26,KRC,25.625,25.625,25.125,25.375,212500
1997-06-27,KRC,25.625,25.75,25.5,25.5,101800
1997-06-30,KRC,25.625,25.625,25.125,25.25,351700
1997-07-01,KRC,25.125,25.125,24.5,24.625,183100
1997-07-02,KRC,24.5,24.5,24.0,24.0,84900
1997-07-03,KRC,24.125,24.6875,24.125,24.5,19200
1997-07-07,KRC,24.5,25.125,24.5,25.125,233600
1997-07-08,KRC,25.125,25.375,24.625,24.625,142200
1997-07-09,KRC,24.625,25.375,24.625,25.125,65800
1997-07-10,KRC,25.25,25.375,24.6875,25.375,10200
1997-07-11,KRC,25.125,25.9375,25.125,25.8125,68800
1997-07-14,KRC,25.8125,26.75,25.8125,26.75,45600
1997-07-15,KRC,26.6875,26.9375,26.6875,26.875,73900
1997-07-16,KRC,27.0,27.3125,26.75,26.75,74400
1997-07-17,KRC,26.75,26.875,26.1875,26.3125,40000
1997-07-18,KRC,26.1875,26.5625,26.1875,26.5625,72400
1997-07-21,KRC,26.5,26.5,25.9375,26.125,24700
1997-07-22,KRC,26.0,26.25,26.0,26.1875,28300
1997-07-23,KRC,26.1875,26.25,25.8125,25.8125,41300
