date,symbol,open,high,low,close,volume
1996-12-18,LAD,11.5,11.5,10.9375,11.125,804200
1996-12-19,LAD,11.0,11.5,11.0,11.125,124200
1996-12-20,LAD,11.0,11.375,11.0,11.125,185900
1996-12-23,LAD,11.0,11.375,11.0,11.375,20800
1996-12-24,LAD,11.375,11.375,11.0,11.125,35700
1996-12-26,LAD,11.0,11.0,11.0,11.0,21100
1996-12-27,LAD,11.0,11.0,11.0,11.0,27800
1996-12-30,LAD,11.0,11.25,11.0,11.0,84200
1996-12-31,LAD,11.0,11.125,11.0,11.125,12700
1997-01-02,LAD,11.0,11.25,11.0,11.25,12800
1997-01-03,LAD,11.0,11.25,11.0,11.125,17200
1997-01-06,LAD,11.0,11.234375,11.0,11.125,17200
1997-01-07,LAD,11.125,11.25,11.0,11.125,64100
1997-01-08,LAD,11.0,11.125,11.0,11.125,35800
1997-01-09,LAD,11.0,11.25,11.0,11.125,36300
1997-01-10,LAD,11.0,11.25,11.0,11.25,574900
1997-01-13,LAD,11.0,11.75,11.0,11.75,321400
1997-01-14,LAD,11.75,12.375,11.75,12.25,394800
1997-01-15,LAD,12.125,12.5,12.0,12.125,103300
1997-01-16,LAD,12.375,12.5,12.0,12.25,66200
1997-01-17,LAD,12.1875,12.375,12.0,12.375,5800
1997-01-20,LAD,12.375,12.375,12.0,12.125,62100
1997-01-21,LAD,12.0,12.375,12.0,12.25,44600
1997-01-22,LAD,12.25,12.375,12.0,12.125,30800
1997-01-23,LAD,12.0,12.25,12.0,12.0,89100
1997-01-24,LAD,12.25,12.25,12.0,12.125,50800
1997-01-27,LAD,12.125,12.125,11.5,11.75,22600
1997-01-28,LAD,11.5,12.125,11.5,12.0,67000
1997-01-29,LAD,11.875,12.0,11.75,11.875,57800
1997-01-30,LAD,11.875,12.0,11.75,11.875,11000
1997-01-31,LAD,11.75,12.0,11.75,12.0,62200
1997-02-03,LAD,12.0,12.625,11.875,12.5,47200
1997-02-04,LAD,12.125,12.75,12.0,12.75,31800
1997-02-05,LAD,13.0,13.125,12.625,12.75,22400
1997-02-06,LAD,12.875,13.125,12.75,12.9375,115200
1997-02-07,LAD,12.875,13.125,12.375,12.375,7200
1997-02-10,LAD,12.375,12.375,12.0,12.375,4700
1997-02-11,LAD,12.375,12.375,12.0,12.375,500
1997-02-12,LAD,12.0,12.375,11.875,12.25,18800
1997-02-13,LAD,12.75,12.75,11.625,11.625,56100
1997-02-14,LAD,12.5,12.5,12.0,12.0,6700
1997-02-18,LAD,11.875,12.0,11.5,11.5,3000
1997-02-19,LAD,11.375,11.875,11.375,11.875,1200
1997-02-20,LAD,11.375,11.75,11.125,11.75,13900
1997-02-21,LAD,11.75,11.75,11.375,11.5,8600
1997-02-24,LAD,11.375,11.75,11.375,11.75,10700
1997-02-25,LAD,11.5,11.5,11.0,11.0,26000
1997-02-26,LAD,10.875,11.0,10.75,10.875,27800
