date,symbol,open,high,low,close,volume
1994-04-07,LECO,4.5625,4.5625,4.5625,4.5625,9600
1994-04-08,LECO,4.59375,4.59375,4.59375,4.59375,8400
1994-04-11,LECO,4.5625,4.6875,4.5625,4.6875,75600
1994-04-12,LECO,4.5625,4.625,4.5625,4.625,16000
1994-04-13,LECO,4.625,4.625,4.625,4.625,0
1994-04-14,LECO,4.75,4.75,4.75,4.75,1200
1994-04-15,LECO,4.5625,4.625,4.53125,4.625,168400
1994-04-18,LECO,4.5625,4.75,4.53125,4.5625,120400
1994-04-19,LECO,4.6875,4.6875,4.6875,4.6875,400
1994-04-20,LECO,4.75,4.75,4.75,4.75,3200
1994-04-21,LECO,4.625,4.75,4.625,4.75,16800
1994-04-22,LECO,4.625,4.75,4.625,4.75,2000
1994-04-25,LECO,4.75,4.75,4.75,4.75,2000
1994-04-26,LECO,4.75,4.875,4.75,4.875,2000
1994-04-28,LECO,4.875,4.875,4.6875,4.6875,2000
1994-04-29,LECO,4.6875,5.0625,4.6875,4.8125,19600
1994-05-02,LECO,5.0,5.0,5.0,5.0,2000
1994-05-03,LECO,4.75,5.0625,4.75,5.0625,39600
1994-05-04,LECO,5.0625,5.0625,4.8125,4.9375,19600
1994-05-05,LECO,5.0625,5.0625,5.0625,5.0625,2800
1994-05-06,LECO,5.0625,5.0625,4.875,4.875,8400
1994-05-09,LECO,5.0625,5.0625,4.875,5.0625,34000
1994-05-10,LECO,5.0,5.5,5.0,5.5,66800
1994-05-11,LECO,5.25,5.5625,5.25,5.25,14000
1994-05-12,LECO,5.25,5.625,5.25,5.625,40400
1994-05-13,LECO,5.625,5.625,5.3125,5.3125,14800
1994-05-16,LECO,5.4375,5.4375,5.3125,5.4375,17600
1994-05-17,LECO,5.3125,5.5,5.3125,5.5,37200
1994-05-18,LECO,5.3125,5.5,5.3125,5.34375,27200
1994-05-19,LECO,5.5625,5.625,5.4375,5.59375,49600
1994-05-20,LECO,5.75,6.25,5.5625,6.0,103200
1994-05-23,LECO,6.25,6.4375,6.0,6.125,30400
1994-05-24,LECO,6.375,6.75,6.25,6.75,54800
1994-05-25,LECO,6.625,7.0,6.625,6.75,82400
1994-05-26,LECO,6.875,7.125,6.75,6.75,30800
1994-05-27,LECO,6.9375,7.0,6.75,6.9375,20800
1994-05-31,LECO,7.0,7.0625,6.75,7.0625,7600
1994-06-01,LECO,7.0625,7.0625,6.875,6.875,30000
1994-06-02,LECO,6.875,7.0,6.875,6.875,16000
1994-06-03,LECO,6.875,7.0,6.875,7.0,24400
1994-06-06,LECO,6.75,7.0,6.75,6.875,14000
1994-06-07,LECO,7.0,7.0,6.75,7.0,7600
1994-06-08,LECO,6.75,7.0,6.75,6.75,27600
1994-06-09,LECO,6.6875,6.6875,6.625,6.625,3200
1994-06-10,LECO,6.625,6.8125,6.625,6.75,44800
1994-06-13,LECO,6.875,6.875,6.625,6.875,9200
1994-06-14,LECO,6.875,6.875,6.625,6.875,21600
1994-06-15,LECO,6.75,6.75,6.75,6.75,8000
1994-06-16,LECO,6.625,6.9375,6.625,6.9375,12000
1994-06-17,LECO,6.625,6.75,6.625,6.75,23200
1994-06-20,LECO,6.875,6.9375,6.875,6.9375,3200
1994-06-21,LECO,6.625,6.875,6.625,6.875,7600
1994-06-22,LECO,6.875,6.875,6.5,6.6875,17600
1994-06-23,LECO,6.8125,6.8125,6.8125,6.8125,800
1994-06-24,LECO,6.5,6.6875,6.5,6.5,20400
1994-06-27,LECO,6.6875,6.6875,6.5,6.5,44000
1994-06-28,LECO,6.5,6.6875,6.5,6.59375,10400
1994-06-29,LECO,6.6875,6.6875,6.6875,6.6875,4000
1994-06-30,LECO,6.59375,6.59375,6.5,6.5,1200
1994-07-01,LECO,6.6875,6.6875,6.5,6.5,16000
1994-07-05,LECO,6.6875,6.6875,6.4375,6.625,38000
1994-07-06,LECO,6.625,6.625,6.4375,6.625,8800
1994-07-07,LECO,6.4375,6.625,6.4375,6.625,50400
1994-07-08,LECO,6.625,6.625,6.625,6.625,2000
1994-07-11,LECO,6.625,6.625,6.4375,6.5625,19200
1994-07-12,LECO,6.4375,6.5625,6.4375,6.5625,22000
1994-07-13,LECO,6.4375,6.5625,6.4375,6.5625,8400
1994-07-14,LECO,6.5625,6.5625,6.5625,6.5625,8400
1994-07-15,LECO,6.4375,6.5625,6.4375,6.4375,20000
1994-07-18,LECO,6.5625,6.5625,6.4375,6.5625,34800
1994-07-19,LECO,6.5625,6.5625,6.4375,6.5625,7600
1994-07-20,LECO,6.5625,6.625,6.4375,6.625,58400
1994-07-21,LECO,6.5,7.0625,6.5,7.0625,55200
1994-07-22,LECO,7.3125,8.0,7.0,8.0,102000
1994-07-25,LECO,8.125,8.25,7.875,7.875,46000
1994-07-26,LECO,8.125,8.125,7.75,8.0,94000
1994-07-27,LECO,8.0,8.0,7.75,7.75,32800
1994-07-28,LECO,7.9375,7.9375,7.75,7.75,14800
