date,symbol,open,high,low,close,volume
1996-10-23,PAG,17.0,17.625,17.0,17.4375,7996800
1996-10-24,PAG,17.4375,17.4375,17.0,17.0,1786400
1996-10-25,PAG,17.0,17.375,17.0,17.1875,631200
1996-10-28,PAG,17.5,17.5,17.0,17.0,320000
1996-10-29,PAG,17.0,17.0625,17.0,17.0,498800
1996-10-30,PAG,17.0625,17.0625,17.0,17.0,705600
1996-10-31,PAG,17.0,17.25,17.0,17.1875,635200
1996-11-01,PAG,17.0625,17.125,17.0625,17.0625,512600
1996-11-04,PAG,17.0625,17.0625,16.375,16.4375,494600
1996-11-05,PAG,16.625,16.625,16.0,16.1875,714600
1996-11-06,PAG,16.1875,16.25,15.5,15.9375,529400
1996-11-07,PAG,15.6875,15.75,15.125,15.4375,297400
1996-11-08,PAG,15.25,15.3125,14.3125,14.4375,527000
1996-11-11,PAG,14.3125,14.8125,14.0,14.75,395400
1996-11-12,PAG,14.875,15.1875,14.625,14.75,454400
1996-11-13,PAG,14.75,14.75,14.4375,14.5,713200
1996-11-14,PAG,14.4375,14.4375,13.875,13.875,46000
1996-11-15,PAG,13.875,13.875,13.375,13.5,368400
1996-11-18,PAG,13.5,13.5,13.1875,13.1875,122800
1996-11-19,PAG,13.3125,13.5,13.1875,13.375,277000
1996-11-20,PAG,13.375,13.375,12.5,12.5625,646400
1996-11-21,PAG,12.5,12.5,12.0,12.0,113000
1996-11-22,PAG,12.0625,12.625,12.0,12.375,107400
1996-11-25,PAG,12.3125,12.375,11.875,11.875,53200
1996-11-26,PAG,11.9375,12.125,11.875,12.0,595200
1996-11-27,PAG,12.0,12.0,11.75,11.75,239400
1996-11-29,PAG,11.75,11.75,11.5625,11.5625,121000
1996-12-02,PAG,11.5,11.5,11.0,11.0,193400
1996-12-03,PAG,11.0,11.0,10.75,10.75,126000
1996-12-04,PAG,10.6875,11.625,10.6875,11.625,535400
1996-12-05,PAG,11.625,12.0,11.625,11.8125,168000
1996-12-06,PAG,11.6875,11.6875,11.5625,11.6875,40800
1996-12-09,PAG,11.6875,11.8125,11.5,11.5,37800
1996-12-10,PAG,11.5,11.5,11.4375,11.5,279600
1996-12-11,PAG,11.4375,11.5625,11.25,11.5,812800
1996-12-12,PAG,11.625,12.0,11.625,12.0,484200
1996-12-13,PAG,11.875,11.875,11.6875,11.8125,367600
1996-12-16,PAG,11.875,11.875,11.75,11.75,20400
1996-12-17,PAG,11.8125,12.0625,11.6875,11.875,717400
1996-12-18,PAG,11.8125,12.375,11.8125,12.1875,206000
1996-12-19,PAG,12.25,12.9375,12.125,12.5625,502400
1996-12-20,PAG,12.625,12.6875,12.375,12.5,23600
1996-12-23,PAG,12.5,12.5,12.1875,12.1875,22200
1996-12-24,PAG,12.1875,12.25,12.1875,12.1875,40600
1996-12-26,PAG,12.1875,13.125,12.125,12.9375,363800
1996-12-27,PAG,13.0,13.0625,12.9375,13.0625,11400
1996-12-30,PAG,13.0,13.0,12.875,12.875,49000
1996-12-31,PAG,12.875,13.0625,12.875,12.875,96200
1997-01-02,PAG,12.8125,13.0625,12.6875,13.0625,20600
1997-01-03,PAG,13.125,13.5625,13.125,13.5625,239200
1997-01-06,PAG,13.5625,13.625,13.5,13.5625,141200
1997-01-07,PAG,13.5,13.5625,13.5,13.5,49600
1997-01-08,PAG,13.5625,13.5625,13.25,13.375,75800
1997-01-09,PAG,13.5,13.5,13.375,13.5,98600
1997-01-10,PAG,13.4375,13.5,13.4375,13.5,74800
1997-01-13,PAG,13.5,13.5,13.4375,13.4375,6800
1997-01-14,PAG,13.4375,13.4375,13.375,13.375,38200
1997-01-15,PAG,13.4375,13.5,13.375,13.5,272200
1997-01-16,PAG,13.5,13.5,13.25,13.375,46200
1997-01-17,PAG,13.25,13.25,13.25,13.25,17800
1997-01-20,PAG,13.3125,13.375,13.25,13.375,78800
