date,symbol,open,high,low,close,volume
1998-11-12,PB,6.25,6.5,6.09375,6.21875,2264600
1998-11-13,PB,6.21875,6.28125,6.15625,6.15625,126200
1998-11-16,PB,6.15625,6.1875,6.03125,6.125,123000
1998-11-17,PB,6.125,6.125,6.0625,6.0625,19200
1998-11-18,PB,6.0625,6.0625,6.03125,6.0625,34200
1998-11-19,PB,6.03125,6.0625,6.03125,6.03125,57400
1998-11-20,PB,6.0625,6.0625,6.03125,6.0625,63600
1998-11-23,PB,6.0625,6.21875,6.0625,6.21875,6200
1998-11-24,PB,6.21875,6.21875,6.0625,6.125,21200
1998-11-25,PB,6.1875,6.1875,6.125,6.125,19200
1998-11-27,PB,6.125,6.125,6.125,6.125,0
1998-11-30,PB,6.125,6.21875,6.125,6.125,21800
1998-12-01,PB,6.125,6.1875,6.03125,6.09375,239200
1998-12-02,PB,6.0625,6.125,6.0,6.125,37600
1998-12-03,PB,6.125,6.125,6.0,6.0,31600
1998-12-04,PB,6.0,6.0625,6.0,6.0,60000
1998-12-07,PB,6.0,6.125,6.0,6.0625,4200
1998-12-08,PB,6.0,6.0625,6.0,6.0,41600
1998-12-09,PB,6.0625,6.09375,6.0625,6.09375,20800
1998-12-10,PB,6.125,6.25,6.09375,6.1875,41200
1998-12-11,PB,6.25,6.25,6.1875,6.1875,50000
1998-12-14,PB,6.1875,6.1875,6.125,6.125,5000
1998-12-15,PB,6.09375,6.125,6.09375,6.125,9400
1998-12-16,PB,6.09375,6.09375,6.09375,6.09375,16200
1998-12-17,PB,6.09375,6.09375,6.09375,6.09375,0
1998-12-18,PB,6.09375,6.25,6.09375,6.25,10600
1998-12-21,PB,6.25,6.25,6.25,6.25,3400
1998-12-22,PB,6.1875,6.3125,6.0,6.0,109000
1998-12-23,PB,6.0,6.0,6.0,6.0,0
1998-12-24,PB,6.0,6.0,6.0,6.0,0
1998-12-28,PB,6.3125,6.3125,6.3125,6.3125,1200
1998-12-29,PB,6.1875,6.3125,6.1875,6.3125,30200
1998-12-30,PB,6.3125,6.3125,6.3125,6.3125,1200
1998-12-31,PB,6.25,6.25,6.1875,6.1875,12000
1999-01-04,PB,6.1875,6.1875,6.1875,6.1875,200
1999-01-05,PB,6.3125,6.3125,6.25,6.3125,2000
1999-01-06,PB,6.3125,6.5,6.1875,6.5,307800
1999-01-07,PB,6.5,6.5625,6.5,6.5625,24400
1999-01-08,PB,6.5,6.5,6.5,6.5,7400
1999-01-11,PB,6.625,6.625,6.5625,6.5625,1400
1999-01-12,PB,6.5625,6.5625,6.4375,6.4375,11200
1999-01-13,PB,6.3125,6.3125,6.3125,6.3125,15800
1999-01-14,PB,6.3125,6.3125,6.3125,6.3125,0
1999-01-15,PB,6.3125,6.3125,6.3125,6.3125,800
1999-01-19,PB,6.3125,6.375,6.3125,6.3125,28000
1999-01-20,PB,6.3125,6.3125,6.25,6.25,4400
1999-01-21,PB,6.25,6.25,6.1875,6.1875,9400
1999-01-22,PB,6.25,6.25,6.1875,6.1875,3000
1999-01-25,PB,6.1875,6.25,6.1875,6.1875,3800
1999-01-26,PB,6.1875,6.21875,6.1875,6.21875,8200
1999-01-27,PB,6.21875,6.21875,6.21875,6.21875,0
1999-01-28,PB,6.3125,6.3125,6.3125,6.3125,200
1999-01-29,PB,6.3125,6.3125,6.3125,6.3125,400
1999-02-01,PB,6.25,6.3125,6.1875,6.1875,6800
1999-02-02,PB,6.1875,6.1875,6.0625,6.0625,6400
1999-02-03,PB,6.125,6.125,6.125,6.125,4000
1999-02-04,PB,6.1875,6.1875,6.125,6.125,40000
1999-02-05,PB,6.125,6.25,6.125,6.25,125000
1999-02-08,PB,6.25,6.25,6.25,6.25,1400
1999-02-09,PB,6.25,6.25,6.25,6.25,0
1999-02-10,PB,6.1875,6.1875,6.1875,6.1875,2000
1999-02-11,PB,6.1875,6.1875,6.1875,6.1875,1200
1999-02-12,PB,6.25,6.25,6.25,6.25,1400
1999-02-16,PB,6.125,6.125,6.0625,6.0625,4000
1999-02-17,PB,6.25,6.25,6.25,6.25,200
1999-02-18,PB,6.0625,6.21875,6.0,6.21875,13200
1999-02-19,PB,6.125,6.125,6.0,6.0625,43400
1999-02-22,PB,6.09375,6.1875,6.09375,6.1875,1600
1999-02-23,PB,6.1875,6.1875,6.0625,6.0625,25600
1999-02-24,PB,6.0625,6.140625,6.0625,6.140625,11400
1999-02-25,PB,6.1875,6.1875,6.1875,6.1875,4000
1999-02-26,PB,6.1875,6.1875,6.1875,6.1875,800
1999-03-01,PB,6.140625,6.15625,6.140625,6.15625,1400
1999-03-02,PB,6.09375,6.09375,6.09375,6.09375,6200
1999-03-03,PB,6.09375,6.125,6.09375,6.125,2000
1999-03-04,PB,6.125,6.125,6.125,6.125,0
1999-03-05,PB,6.0625,6.0625,6.0625,6.0625,12400
1999-03-08,PB,6.0625,6.0625,6.0625,6.0625,0
1999-03-09,PB,6.25,6.3125,6.25,6.3125,13400
1999-03-10,PB,6.375,6.375,6.375,6.375,200
1999-03-11,PB,6.375,6.375,6.375,6.375,0
1999-03-12,PB,6.375,6.40625,6.34375,6.34375,20200
1999-03-15,PB,6.1875,6.1875,6.03125,6.03125,6600
