date,symbol,open,high,low,close,volume
1996-07-19,PEGA,3.125,3.375,3.0,3.09375,10988800
1996-07-22,PEGA,3.15625,3.15625,2.984375,3.0,2284800
1996-07-23,PEGA,3.0,3.0625,2.625,2.625,2783600
1996-07-24,PEGA,2.5625,2.5625,2.5,2.5,403600
1996-07-25,PEGA,2.53125,2.875,2.53125,2.78125,982800
1996-07-26,PEGA,2.9375,3.0625,2.875,3.0,648800
1996-07-29,PEGA,3.0625,3.09375,3.0,3.0625,329600
1996-07-30,PEGA,3.0,3.09375,3.0,3.0,180800
1996-07-31,PEGA,3.0625,3.0625,2.96875,3.03125,534800
1996-08-01,PEGA,3.03125,3.03125,2.90625,3.03125,323200
1996-08-02,PEGA,2.96875,3.3125,2.96875,3.25,422000
1996-08-05,PEGA,3.1875,3.21875,3.0625,3.09375,271600
1996-08-06,PEGA,3.0625,3.1875,3.0625,3.1875,424400
1996-08-07,PEGA,3.1875,3.46875,3.15625,3.46875,1122800
1996-08-08,PEGA,3.5625,4.59375,3.5,4.59375,1930800
1996-08-09,PEGA,4.53125,4.59375,4.3125,4.3125,1158400
1996-08-12,PEGA,4.375,4.8125,4.34375,4.8125,730800
1996-08-13,PEGA,4.78125,4.8125,4.40625,4.40625,1012000
1996-08-14,PEGA,4.46875,4.46875,4.375,4.4375,185600
1996-08-15,PEGA,4.4375,4.59375,4.375,4.59375,178800
1996-08-16,PEGA,4.59375,4.59375,4.53125,4.53125,46400
1996-08-19,PEGA,4.5,4.53125,4.375,4.375,59600
1996-08-20,PEGA,4.34375,4.34375,4.1875,4.1875,35600
1996-08-21,PEGA,4.09375,4.09375,3.84375,3.9375,395600
1996-08-22,PEGA,3.96875,4.5625,3.96875,4.5625,232400
1996-08-23,PEGA,4.4375,4.59375,4.4375,4.53125,146000
1996-08-26,PEGA,4.375,4.4375,4.15625,4.1875,173600
1996-08-27,PEGA,4.09375,4.125,4.0,4.0625,114400
1996-08-28,PEGA,4.21875,4.5625,4.21875,4.46875,239600
1996-08-29,PEGA,4.46875,4.5,4.4375,4.4375,291200
1996-08-30,PEGA,4.5,4.53125,4.34375,4.53125,259600
1996-09-03,PEGA,4.40625,4.625,4.40625,4.53125,217200
1996-09-04,PEGA,4.625,4.625,4.53125,4.53125,117600
1996-09-05,PEGA,4.5625,4.5625,4.53125,4.5625,300400
1996-09-06,PEGA,4.53125,4.5625,4.53125,4.5625,6800
1996-09-09,PEGA,4.5625,5.71875,4.53125,5.59375,1422000
1996-09-10,PEGA,5.5625,5.65625,5.5625,5.59375,442400
1996-09-11,PEGA,5.59375,5.625,5.5,5.53125,272400
1996-09-12,PEGA,5.5625,5.5625,5.46875,5.46875,246000
1996-09-13,PEGA,5.5,5.5,5.375,5.375,285600
1996-09-16,PEGA,5.625,5.875,5.59375,5.8125,714800
1996-09-17,PEGA,5.9375,6.3125,5.78125,5.78125,282400
1996-09-18,PEGA,5.875,6.0625,5.84375,5.9375,538000
1996-09-19,PEGA,6.0625,6.25,6.0,6.25,128000
1996-09-20,PEGA,6.25,6.25,6.03125,6.0625,545600
1996-09-23,PEGA,6.03125,6.0625,5.9375,5.96875,106800
1996-09-24,PEGA,5.96875,6.03125,5.875,5.875,23200
1996-09-25,PEGA,5.90625,6.03125,5.90625,6.0,166800
1996-09-26,PEGA,6.09375,6.6875,6.09375,6.625,777600
1996-09-27,PEGA,6.6875,6.6875,6.5,6.5,1152800
1996-09-30,PEGA,6.53125,6.75,6.5,6.5,473200
1996-10-01,PEGA,6.5625,6.625,6.53125,6.59375,406800
1996-10-02,PEGA,6.5625,7.6875,6.5625,7.6875,719200
1996-10-03,PEGA,7.75,7.78125,7.53125,7.625,324000
1996-10-04,PEGA,7.71875,7.71875,7.59375,7.65625,124800
1996-10-07,PEGA,7.6875,7.6875,7.4375,7.46875,174000
1996-10-08,PEGA,7.46875,7.9375,7.40625,7.9375,104800
1996-10-09,PEGA,8.0,8.1875,8.0,8.09375,321600
1996-10-10,PEGA,8.09375,8.65625,8.0,8.5,480400
1996-10-11,PEGA,8.5,8.5,8.34375,8.34375,288400
1996-10-14,PEGA,8.34375,8.5,8.34375,8.375,942400
1996-10-15,PEGA,8.4375,8.4375,8.3125,8.4375,584000
1996-10-16,PEGA,8.4375,8.4375,8.375,8.375,101600
1996-10-17,PEGA,8.40625,8.40625,8.28125,8.3125,1130000
1996-10-18,PEGA,8.375,8.375,8.15625,8.28125,160800
1996-10-21,PEGA,8.25,8.28125,7.6875,7.78125,334000
1996-10-22,PEGA,7.65625,7.78125,6.90625,7.0625,484400
1996-10-23,PEGA,6.96875,7.5625,6.96875,7.46875,728400
1996-10-24,PEGA,7.59375,8.5,7.59375,8.46875,979200
1996-10-25,PEGA,8.46875,8.59375,8.375,8.40625,282000
1996-10-28,PEGA,8.40625,8.40625,8.0,8.125,168000
1996-10-29,PEGA,8.0,8.09375,7.96875,7.96875,83600
1996-10-30,PEGA,7.96875,7.96875,7.71875,7.71875,47600
1996-10-31,PEGA,7.71875,7.75,7.53125,7.53125,159200
1996-11-01,PEGA,7.65625,7.65625,7.375,7.4375,201200
1996-11-04,PEGA,7.375,7.5,7.375,7.4375,25200
1996-11-05,PEGA,7.375,7.375,7.09375,7.21875,100000
1996-11-06,PEGA,7.15625,7.5,7.0625,7.1875,420800
1996-11-07,PEGA,7.0625,7.40625,7.0625,7.375,101200
1996-11-08,PEGA,7.3125,7.96875,7.3125,7.875,398000
1996-11-11,PEGA,7.84375,8.15625,7.84375,8.03125,183600
1996-11-12,PEGA,8.0,8.3125,8.0,8.1875,147200
1996-11-13,PEGA,8.1875,8.3125,8.1875,8.3125,45200
1996-11-14,PEGA,8.3125,8.53125,8.25,8.5,132000
1996-11-15,PEGA,8.78125,8.96875,8.65625,8.71875,94400
1996-11-18,PEGA,8.78125,8.78125,8.1875,8.28125,698800
1996-11-19,PEGA,8.15625,8.21875,8.15625,8.15625,62400
1996-11-20,PEGA,8.125,8.25,8.09375,8.09375,206400
1996-11-21,PEGA,8.09375,8.125,7.40625,7.5,244000
1996-11-22,PEGA,7.40625,7.53125,7.40625,7.53125,89600
1996-11-25,PEGA,7.53125,7.53125,7.40625,7.5,79200
1996-11-26,PEGA,7.4375,7.5625,7.4375,7.5,101200
1996-11-27,PEGA,7.5,7.5,7.4375,7.5,78400
1996-11-29,PEGA,7.4375,7.5,7.4375,7.46875,30000
1996-12-02,PEGA,7.5,7.96875,7.4375,7.96875,82000
1996-12-03,PEGA,7.96875,8.59375,7.96875,8.46875,125200
1996-12-04,PEGA,8.46875,8.53125,8.46875,8.46875,30800
1996-12-05,PEGA,8.46875,8.65625,8.46875,8.5625,22400
1996-12-06,PEGA,8.125,9.25,8.0625,9.125,146400
1996-12-09,PEGA,9.1875,9.1875,8.59375,8.65625,156400
1996-12-10,PEGA,8.75,9.21875,8.65625,9.21875,116000
1996-12-11,PEGA,9.1875,9.1875,8.5,8.5625,206800
1996-12-12,PEGA,8.4375,8.4375,8.1875,8.25,110000
1996-12-13,PEGA,8.125,8.1875,8.125,8.140625,89600
1996-12-16,PEGA,8.125,8.125,7.15625,7.34375,350400
1996-12-17,PEGA,7.1875,8.0625,7.09375,7.9375,456800
1996-12-18,PEGA,8.0,8.0625,7.75,7.75,240400
1996-12-19,PEGA,7.796875,7.84375,7.78125,7.78125,111200
1996-12-20,PEGA,7.65625,7.8125,7.53125,7.53125,45600
1996-12-23,PEGA,7.53125,7.6875,7.25,7.25,65600
1996-12-24,PEGA,7.40625,7.40625,7.25,7.25,11200
1996-12-26,PEGA,7.25,7.40625,7.25,7.40625,12800
1996-12-27,PEGA,7.40625,7.40625,7.25,7.25,8400
1996-12-30,PEGA,7.40625,7.65625,7.25,7.5,240400
1996-12-31,PEGA,7.5625,7.5625,7.5,7.53125,17600
