date,symbol,open,high,low,close,volume
1991-12-17,PRGO,10.0,11.75,10.0,11.625,15815400
1991-12-18,PRGO,11.5,11.625,11.375,11.5,2662600
1991-12-19,PRGO,11.375,11.5,11.125,11.25,1017600
1991-12-20,PRGO,11.5,11.625,11.25,11.5,513800
1991-12-23,PRGO,11.375,11.875,11.375,11.875,493200
1991-12-24,PRGO,11.875,12.125,11.625,12.0,492400
1991-12-26,PRGO,11.875,13.75,11.875,13.5,582600
1991-12-27,PRGO,13.5,13.625,12.875,13.5,720800
1991-12-30,PRGO,13.375,15.375,13.375,14.25,1435000
1991-12-31,PRGO,14.5,14.875,14.25,14.875,440800
1992-01-02,PRGO,14.5,14.75,13.875,14.25,1389600
1992-01-03,PRGO,14.25,15.25,14.25,15.125,353800
1992-01-06,PRGO,15.125,15.5,14.875,15.5,442800
1992-01-07,PRGO,15.375,15.375,14.875,15.0,666200
1992-01-08,PRGO,14.75,15.375,14.625,15.0,975000
1992-01-09,PRGO,15.125,15.125,14.5,14.5,376800
1992-01-10,PRGO,14.75,14.875,14.5,14.875,426600
1992-01-13,PRGO,15.0,15.25,14.625,15.25,62600
1992-01-14,PRGO,15.25,15.3125,14.875,15.125,56800
1992-01-15,PRGO,15.0,15.25,14.875,15.0,251600
1992-01-16,PRGO,14.875,15.125,14.375,14.75,801000
1992-01-17,PRGO,14.5,14.625,14.25,14.375,288400
1992-01-20,PRGO,14.375,14.625,13.625,13.625,242800
1992-01-21,PRGO,13.5,13.625,12.125,13.5,823200
1992-01-22,PRGO,13.375,13.875,13.375,13.75,171400
1992-01-23,PRGO,14.25,14.875,14.0,14.75,578800
1992-01-24,PRGO,15.0,15.625,14.625,15.5,591600
1992-01-27,PRGO,15.375,15.75,15.375,15.5,484800
1992-01-28,PRGO,15.75,15.75,15.375,15.625,556200
1992-01-29,PRGO,15.75,16.25,15.625,15.875,410000
1992-01-30,PRGO,15.625,16.0,15.625,15.9375,195000
1992-01-31,PRGO,15.75,16.25,15.75,16.0,194600
1992-02-03,PRGO,16.0,16.25,16.0,16.25,70600
1992-02-04,PRGO,16.25,16.625,16.0,16.375,494600
1992-02-05,PRGO,16.375,16.5,16.25,16.25,196400
1992-02-06,PRGO,16.25,16.5,16.25,16.5,524000
1992-02-07,PRGO,16.5,16.625,16.25,16.625,183600
1992-02-10,PRGO,16.625,16.875,16.375,16.875,125000
1992-02-11,PRGO,16.875,17.125,16.0,16.625,517400
1992-02-12,PRGO,16.75,16.875,16.5,16.625,153800
1992-02-13,PRGO,16.9375,17.0,16.375,16.5,292800
