date,symbol,open,high,low,close,volume
1981-06-09,RGLD,2.875,3.0,2.875,2.875,27300
1981-06-10,RGLD,2.875,2.875,2.75,2.75,13700
1981-06-11,RGLD,2.75,2.875,2.75,2.75,12400
1981-06-12,RGLD,2.875,2.875,2.875,2.875,38700
1981-06-15,RGLD,2.875,2.875,2.875,2.875,38800
1981-06-16,RGLD,2.875,2.875,2.75,2.75,55100
1981-06-17,RGLD,2.75,2.875,2.75,2.75,29800
1981-06-18,RGLD,2.875,2.875,2.875,2.875,25100
1981-06-19,RGLD,2.875,2.875,2.875,2.875,8900
1981-06-22,RGLD,2.875,2.875,2.75,2.75,18000
1981-06-23,RGLD,2.75,2.875,2.75,2.75,171200
1981-06-24,RGLD,2.75,2.875,2.75,2.75,37300
1981-06-25,RGLD,2.75,2.875,2.75,2.75,12300
1981-06-26,RGLD,2.75,2.875,2.75,2.75,53900
1981-06-29,RGLD,2.75,2.75,2.625,2.625,13800
1981-06-30,RGLD,2.625,2.75,2.625,2.625,19700
1981-07-01,RGLD,2.625,2.75,2.625,2.625,17600
1981-07-02,RGLD,2.625,2.75,2.625,2.625,46100
1981-07-06,RGLD,2.625,2.75,2.625,2.625,7300
1981-07-07,RGLD,2.625,2.75,2.5,2.5,20100
1981-07-08,RGLD,2.625,2.75,2.625,2.625,19200
1981-07-09,RGLD,2.625,2.75,2.625,2.625,26500
1981-07-10,RGLD,2.625,2.75,2.625,2.625,10100
1981-07-13,RGLD,2.625,2.75,2.625,2.625,3900
1981-07-14,RGLD,2.625,2.625,2.5,2.5,13100
1981-07-15,RGLD,2.5,2.625,2.5,2.5,4900
1981-07-16,RGLD,2.625,2.75,2.625,2.625,64700
1981-07-17,RGLD,2.75,2.875,2.75,2.75,34600
1981-07-20,RGLD,3.125,3.25,3.125,3.125,102800
1981-07-21,RGLD,3.125,3.25,3.125,3.125,33500
1981-07-22,RGLD,3.5,3.625,3.5,3.5,77300
1981-07-23,RGLD,3.625,3.75,3.625,3.625,37800
1981-07-24,RGLD,4.0,4.125,4.0,4.0,48400
1981-07-27,RGLD,4.375,4.5,4.375,4.375,29500
1981-07-28,RGLD,4.25,4.25,4.125,4.125,52000
1981-07-29,RGLD,4.125,4.125,4.0,4.0,25800
1981-07-30,RGLD,4.0,4.0,3.875,3.875,14100
1981-07-31,RGLD,3.875,4.0,3.875,3.875,17200
1981-08-03,RGLD,3.875,3.875,3.75,3.75,19300
1981-08-04,RGLD,3.625,3.625,3.5,3.5,14400
1981-08-05,RGLD,3.5,3.625,3.5,3.5,4600
1981-08-06,RGLD,3.5,3.5,3.375,3.375,20100
1981-08-07,RGLD,3.625,3.75,3.625,3.625,64300
1981-08-10,RGLD,3.625,3.625,3.625,3.625,0
1981-08-11,RGLD,3.75,3.875,3.75,3.75,18800
1981-08-12,RGLD,3.75,3.875,3.75,3.75,6100
1981-08-13,RGLD,3.75,3.875,3.625,3.625,11800
1981-08-14,RGLD,3.625,3.75,3.625,3.625,4900
1981-08-17,RGLD,3.625,3.625,3.5,3.5,14300
1981-08-18,RGLD,3.5,3.625,3.375,3.375,5500
1981-08-19,RGLD,3.375,3.5,3.375,3.375,3600
1981-08-20,RGLD,3.375,3.5,3.3125,3.3125,15500
1981-08-21,RGLD,3.3125,3.5,3.3125,3.3125,6600
1981-08-24,RGLD,3.3125,3.375,3.125,3.125,17100
1981-08-25,RGLD,3.125,3.125,3.0,3.0,18700
1981-08-26,RGLD,3.0625,3.125,3.0625,3.0625,7700
1981-08-27,RGLD,3.0625,3.125,3.0625,3.0625,9600
1981-08-28,RGLD,3.0625,3.125,3.0,3.0,9400
1981-08-31,RGLD,3.0,3.0,2.875,2.875,17500
1981-09-01,RGLD,2.9375,3.0625,2.9375,2.9375,31700
1981-09-02,RGLD,2.9375,3.0,2.875,2.875,1400
1981-09-03,RGLD,2.875,2.9375,2.6875,2.6875,11000
1981-09-04,RGLD,2.6875,2.75,2.5,2.5,12800
1981-09-08,RGLD,2.5,2.625,2.5,2.5,19400
1981-09-09,RGLD,2.5,2.625,2.5,2.5,29000
1981-09-10,RGLD,3.0,3.125,3.0,3.0,53000
1981-09-11,RGLD,3.5,3.625,3.5,3.5,67800
1981-09-14,RGLD,3.75,4.0,3.75,3.75,46600
1981-09-15,RGLD,3.75,3.875,3.625,3.625,33000
1981-09-16,RGLD,3.625,3.75,3.625,3.625,24600
1981-09-17,RGLD,3.625,3.625,3.5,3.5,9400
1981-09-18,RGLD,3.5,3.5,3.375,3.375,11500
1981-09-21,RGLD,3.5,3.625,3.5,3.5,17000
1981-09-22,RGLD,3.5,3.625,3.5,3.5,5700
1981-09-23,RGLD,3.375,3.375,3.25,3.25,8500
1981-09-24,RGLD,3.25,3.375,3.25,3.25,15400
1981-09-25,RGLD,3.25,3.25,3.125,3.125,16300
1981-09-28,RGLD,3.125,3.125,3.0,3.0,9600
1981-09-29,RGLD,3.125,3.25,3.125,3.125,7400
1981-09-30,RGLD,3.375,3.5,3.375,3.375,13500
1981-10-01,RGLD,3.375,3.625,3.375,3.375,32400
1981-10-02,RGLD,3.625,3.75,3.625,3.625,9600
1981-10-05,RGLD,3.75,3.875,3.75,3.75,23200
1981-10-06,RGLD,4.25,4.5,4.25,4.25,63000
1981-10-07,RGLD,5.0,5.125,5.0,5.0,57300
1981-10-08,RGLD,5.25,5.375,5.25,5.25,40600
1981-10-09,RGLD,6.375,6.5,6.375,6.375,72200
1981-10-12,RGLD,6.25,6.25,6.125,6.125,91200
1981-10-13,RGLD,6.125,6.25,6.125,6.125,36400
1981-10-14,RGLD,6.375,6.5,6.375,6.375,45600
1981-10-15,RGLD,7.125,7.25,7.125,7.125,42300
1981-10-16,RGLD,7.125,7.125,7.0,7.0,31000
1981-10-19,RGLD,7.0,7.0,6.875,6.875,35300
1981-10-20,RGLD,6.875,7.0,6.75,6.75,20200
1981-10-21,RGLD,6.125,6.125,6.0,6.0,77800
1981-10-22,RGLD,6.25,6.375,6.25,6.25,80100
1981-10-23,RGLD,6.25,6.25,6.0,6.0,15100
1981-10-26,RGLD,5.75,5.75,5.625,5.625,22700
1981-10-27,RGLD,5.625,5.625,5.5,5.5,26900
1981-10-28,RGLD,5.5,5.625,5.5,5.5,6400
1981-10-29,RGLD,5.5,5.625,5.5,5.5,8200
1981-10-30,RGLD,6.0,6.125,6.0,6.0,28100
1981-11-02,RGLD,6.0,6.125,6.0,6.0,10900
1981-11-03,RGLD,6.0,6.125,6.0,6.0,11600
1981-11-04,RGLD,6.0,6.125,6.0,6.0,8100
1981-11-05,RGLD,5.875,5.875,5.75,5.75,14600
1981-11-06,RGLD,5.75,5.875,5.75,5.75,8100
1981-11-09,RGLD,5.75,5.75,5.5,5.5,13400
1981-11-10,RGLD,5.5,5.625,5.375,5.375,14600
1981-11-11,RGLD,5.625,5.75,5.625,5.625,33500
1981-11-12,RGLD,5.625,5.75,5.625,5.625,4700
1981-11-13,RGLD,5.625,5.625,5.5,5.5,4800
1981-11-16,RGLD,5.5,5.5,5.375,5.375,12300
1981-11-17,RGLD,5.375,5.5,5.375,5.375,19300
1981-11-18,RGLD,5.875,6.125,5.875,5.875,43300
1981-11-19,RGLD,5.875,6.0,5.75,5.75,39400
1981-11-20,RGLD,5.75,6.0,5.75,5.75,1100
1981-11-23,RGLD,6.0,6.125,6.0,6.0,16000
1981-11-24,RGLD,6.0,6.125,6.0,6.0,23500
1981-11-25,RGLD,6.0,6.125,6.0,6.0,8000
1981-11-27,RGLD,6.0,6.125,6.0,6.0,13300
1981-11-30,RGLD,6.0,6.125,6.0,6.0,7900
1981-12-01,RGLD,6.0,6.125,6.0,6.0,5700
