date,symbol,open,high,low,close,volume
1986-08-21,WTS,8.1875,8.3125,8.1875,8.1875,3969000
1986-08-22,WTS,8.1875,8.3125,8.0625,8.1875,663000
1986-08-25,WTS,8.1875,8.1875,8.0625,8.1875,207800
1986-08-26,WTS,8.1875,8.1875,8.0625,8.0625,597400
1986-08-27,WTS,8.0625,8.1875,8.0625,8.1875,741600
1986-08-28,WTS,8.1875,8.1875,8.0625,8.1875,166800
1986-08-29,WTS,8.1875,8.1875,8.0625,8.1875,85600
1986-09-02,WTS,8.1875,8.3125,8.0625,8.3125,441400
1986-09-03,WTS,8.3125,8.3125,8.1875,8.1875,86000
1986-09-04,WTS,8.1875,8.3125,8.1875,8.1875,42200
1986-09-05,WTS,8.1875,8.3125,8.0625,8.1875,221600
1986-09-08,WTS,8.1875,8.1875,8.0625,8.0625,36200
1986-09-09,WTS,8.0625,8.1875,8.0625,8.1875,86800
1986-09-10,WTS,8.1875,8.1875,8.0625,8.1875,123200
1986-09-11,WTS,8.1875,8.1875,8.0625,8.1875,516800
1986-09-12,WTS,8.0625,8.0625,7.9375,7.9375,224800
1986-09-15,WTS,7.9375,7.9375,7.9375,7.9375,85800
1986-09-16,WTS,7.9375,7.9375,7.9375,7.9375,43200
1986-09-17,WTS,7.9375,7.9375,7.9375,7.9375,171000
1986-09-18,WTS,7.9375,7.9375,7.9375,7.9375,61600
1986-09-19,WTS,7.9375,8.1875,7.9375,8.1875,156000
1986-09-22,WTS,8.1875,8.3125,8.1875,8.1875,12400
1986-09-23,WTS,8.1875,8.3125,8.1875,8.1875,46200
1986-09-24,WTS,8.1875,8.3125,8.1875,8.1875,9200
1986-09-25,WTS,8.1875,8.3125,8.1875,8.3125,4000
1986-09-26,WTS,8.3125,8.3125,8.1875,8.3125,19200
1986-09-29,WTS,8.3125,8.3125,8.0625,8.1875,23000
1986-09-30,WTS,8.1875,8.1875,8.0625,8.0625,6600
1986-10-01,WTS,8.0625,8.1875,8.0625,8.1875,14800
1986-10-02,WTS,8.1875,8.1875,8.0625,8.0625,17400
1986-10-03,WTS,8.0625,8.1875,8.0625,8.1875,25800
1986-10-06,WTS,8.1875,8.1875,8.0625,8.1875,188800
1986-10-07,WTS,8.1875,8.1875,8.0625,8.0625,43800
1986-10-08,WTS,8.0625,8.1875,8.0625,8.1875,41000
1986-10-09,WTS,8.1875,8.1875,8.1875,8.1875,2200
1986-10-10,WTS,8.1875,8.1875,8.0625,8.1875,12000
1986-10-13,WTS,8.1875,8.1875,8.0625,8.1875,5800
1986-10-14,WTS,8.1875,8.1875,8.0625,8.1875,7800
1986-10-15,WTS,8.1875,8.1875,8.0625,8.1875,85600
1986-10-16,WTS,8.1875,8.1875,8.0625,8.0625,36800
1986-10-17,WTS,8.0625,8.1875,8.0625,8.0625,28800
1986-10-20,WTS,8.0625,8.1875,8.0625,8.0625,20000
1986-10-21,WTS,8.0625,8.1875,8.0625,8.0625,7600
1986-10-22,WTS,8.0625,8.0625,8.0625,8.0625,10200
1986-10-23,WTS,8.0625,8.0625,7.9375,7.9375,24600
1986-10-24,WTS,7.9375,8.0625,7.9375,7.9375,73000
1986-10-27,WTS,7.9375,8.0625,7.9375,7.9375,70800
1986-10-28,WTS,7.9375,8.0625,7.9375,7.9375,14400
1986-10-29,WTS,7.9375,8.0625,7.9375,8.0625,2800
1986-10-30,WTS,8.0625,8.0625,7.8125,7.9375,20800
1986-10-31,WTS,7.9375,8.0625,7.8125,7.8125,28000
1986-11-03,WTS,7.8125,7.9375,7.8125,7.8125,9400
1986-11-04,WTS,7.8125,7.9375,7.6875,7.6875,231000
1986-11-05,WTS,7.8125,7.9375,7.8125,7.8125,24400
1986-11-06,WTS,7.8125,7.9375,7.8125,7.8125,11600
1986-11-07,WTS,7.8125,7.8125,7.8125,7.8125,200
1986-11-10,WTS,7.8125,7.9375,7.6875,7.6875,140600
1986-11-11,WTS,7.6875,7.8125,7.4375,7.6875,1422000
1986-11-12,WTS,7.6875,7.8125,7.5625,7.5625,13000
1986-11-13,WTS,7.5625,7.6875,7.4375,7.4375,51200
1986-11-14,WTS,7.4375,7.5625,7.3125,7.4375,169600
1986-11-17,WTS,7.4375,7.5625,7.3125,7.3125,21000
1986-11-18,WTS,7.3125,7.4375,7.3125,7.3125,158400
1986-11-19,WTS,7.3125,7.3125,7.0,7.25,555400
1986-11-20,WTS,7.25,7.25,6.25,7.25,1569000
1986-11-21,WTS,7.25,7.25,6.5,6.875,864200
1986-11-24,WTS,6.875,7.0,6.875,6.875,19200
1986-11-25,WTS,6.875,7.0,6.5,6.625,186200
1986-11-26,WTS,6.625,6.875,6.5,6.875,310200
1986-11-28,WTS,6.875,7.0,6.75,7.0,65400
1986-12-01,WTS,7.0,7.0625,6.875,7.0625,33000
1986-12-02,WTS,7.0625,7.3125,6.875,7.3125,771000
1986-12-03,WTS,7.3125,7.3125,7.0625,7.125,52000
1986-12-04,WTS,7.125,7.1875,7.0625,7.0625,66800
1986-12-05,WTS,7.0625,7.1875,6.9375,6.9375,332000
1986-12-08,WTS,6.9375,7.1875,6.875,6.9375,132000
1986-12-09,WTS,6.9375,7.0625,6.875,7.0625,124000
1986-12-10,WTS,7.0625,7.0625,6.875,6.875,134800
1986-12-11,WTS,6.875,7.0625,6.875,7.0625,220000
1986-12-12,WTS,7.0625,7.0625,6.9375,7.0625,60400
1986-12-15,WTS,7.0625,7.0625,6.875,7.0625,11400
1986-12-16,WTS,7.0625,7.0625,6.875,7.0625,68200
1986-12-17,WTS,7.0625,7.0625,6.9375,7.0625,95400
1986-12-18,WTS,7.0625,7.125,6.9375,7.125,165000
1986-12-19,WTS,7.125,7.125,6.9375,7.0625,19800
1986-12-22,WTS,7.0625,7.1875,6.9375,7.1875,138400
1986-12-23,WTS,7.1875,7.1875,6.75,7.1875,519600
1986-12-24,WTS,7.1875,7.1875,7.0,7.1875,143000
1986-12-26,WTS,7.1875,7.4375,7.1875,7.4375,18600
1986-12-29,WTS,7.4375,7.9375,7.3125,7.8125,49800
1986-12-30,WTS,7.8125,7.8125,7.6875,7.8125,43600
1986-12-31,WTS,7.8125,7.9375,7.6875,7.9375,50000
1987-01-02,WTS,7.9375,8.0625,7.9375,7.9375,141400
1987-01-05,WTS,7.9375,8.0625,7.8125,7.9375,203400
1987-01-06,WTS,7.9375,8.0625,7.9375,8.0625,249400
1987-01-07,WTS,8.0625,8.1875,7.9375,8.1875,25200
1987-01-08,WTS,8.1875,8.1875,8.0625,8.1875,55000
1987-01-09,WTS,8.1875,8.8125,8.1875,8.6875,93400
1987-01-12,WTS,8.6875,8.8125,8.4375,8.4375,114000
1987-01-13,WTS,8.4375,8.6875,8.4375,8.6875,91400
1987-01-14,WTS,8.6875,8.9375,8.4375,8.6875,176200
1987-01-15,WTS,8.6875,8.9375,8.6875,8.6875,26800
1987-01-16,WTS,8.6875,8.9375,8.6875,8.6875,23400
1987-01-19,WTS,8.6875,8.9375,8.6875,8.6875,39000
1987-01-20,WTS,8.6875,8.8125,8.5625,8.6875,107800
1987-01-21,WTS,8.6875,8.8125,8.5625,8.6875,49400
1987-01-22,WTS,8.6875,8.8125,8.5625,8.8125,187400
1987-01-23,WTS,8.8125,8.9375,8.6875,8.9375,42000
1987-01-26,WTS,8.8125,8.8125,8.6875,8.6875,7400
1987-01-27,WTS,8.6875,8.8125,8.5625,8.5625,43800
1987-01-28,WTS,8.5625,8.6875,8.5625,8.6875,33600
1987-01-29,WTS,8.6875,8.6875,8.5625,8.6875,466000
1987-01-30,WTS,8.5625,8.5625,8.5625,8.5625,52800
1987-02-02,WTS,8.5625,8.5625,8.5625,8.5625,24800
1987-02-03,WTS,8.5625,8.5625,8.3125,8.4375,157000
1987-02-04,WTS,8.4375,8.8125,8.4375,8.8125,239600
1987-02-05,WTS,8.8125,9.5625,8.6875,9.5625,278600
1987-02-06,WTS,9.5625,9.5625,9.4375,9.4375,8600
1987-02-09,WTS,9.4375,9.5625,9.4375,9.5625,31400
1987-02-10,WTS,9.5625,9.6875,9.4375,9.5625,27400
1987-02-11,WTS,9.6875,10.3125,9.6875,10.1875,74200
1987-02-12,WTS,10.1875,10.1875,10.0625,10.0625,105800
1987-02-13,WTS,10.0625,10.6875,10.0625,10.6875,45000
1987-02-17,WTS,10.6875,10.875,10.6875,10.875,35600
1987-02-18,WTS,10.875,10.9375,10.4375,10.5625,50200
1987-02-19,WTS,10.5625,10.5625,10.1875,10.1875,117600
1987-02-20,WTS,10.1875,10.1875,9.8125,9.9375,65200
1987-02-23,WTS,9.8125,9.8125,9.4375,9.6875,51200
1987-02-24,WTS,9.6875,9.8125,9.5625,9.6875,27000
1987-02-25,WTS,9.6875,9.9375,9.6875,9.9375,14000
1987-02-26,WTS,9.8125,9.8125,9.6875,9.6875,4800
1987-02-27,WTS,9.8125,9.9375,9.8125,9.8125,4400
1987-03-02,WTS,9.8125,9.9375,9.8125,9.9375,73600
1987-03-03,WTS,9.9375,10.0625,9.8125,10.0625,5200
1987-03-04,WTS,10.0625,10.0625,9.9375,9.9375,96200
1987-03-05,WTS,9.9375,10.0625,9.9375,10.0625,25000
1987-03-06,WTS,10.0625,10.0625,9.9375,10.0625,4400
1987-03-09,WTS,10.0625,10.0625,9.9375,9.9375,14600
1987-03-10,WTS,9.9375,10.0625,9.9375,9.9375,66600
1987-03-11,WTS,9.9375,10.0625,9.8125,10.0625,214200
1987-03-12,WTS,10.0625,10.0625,9.9375,10.0625,3600
1987-03-13,WTS,10.0625,10.0625,9.9375,10.0625,60400
1987-03-16,WTS,10.0625,10.0625,9.9375,9.9375,17600
1987-03-17,WTS,9.9375,10.0625,9.9375,9.9375,7400
1987-03-18,WTS,10.0625,10.0625,10.0625,10.0625,4800
1987-03-19,WTS,10.0625,10.0625,9.9375,9.9375,15600
1987-03-20,WTS,9.9375,10.0625,9.6875,9.9375,129000
1987-03-23,WTS,9.9375,9.9375,9.8125,9.9375,45800
1987-03-24,WTS,9.9375,9.9375,9.8125,9.8125,244000
1987-03-25,WTS,9.8125,9.9375,9.6875,9.6875,44600
1987-03-26,WTS,9.6875,9.9375,9.6875,9.6875,9000
1987-03-27,WTS,9.6875,9.6875,9.4375,9.4375,71200
1987-03-30,WTS,9.4375,9.4375,9.1875,9.1875,18600
1987-03-31,WTS,9.3125,9.5625,9.3125,9.5625,69000
1987-04-01,WTS,9.5625,9.5625,9.3125,9.5625,24000
1987-04-02,WTS,9.5625,9.5625,9.3125,9.4375,35000
1987-04-03,WTS,9.4375,9.5625,9.3125,9.5625,13400
1987-04-06,WTS,9.5625,9.6875,9.4375,9.6875,32600
1987-04-07,WTS,9.6875,9.8125,9.5625,9.6875,61200
1987-04-08,WTS,9.6875,9.8125,9.5625,9.5625,61600
1987-04-09,WTS,9.5625,9.6875,9.5625,9.6875,15000
1987-04-10,WTS,9.6875,9.6875,9.4375,9.4375,53000
1987-04-13,WTS,9.4375,9.5625,9.4375,9.4375,6000
1987-04-14,WTS,9.4375,9.6875,9.4375,9.5625,41600
1987-04-15,WTS,9.5625,9.5625,9.4375,9.4375,34800
1987-04-16,WTS,9.4375,9.5625,9.4375,9.5625,34400
1987-04-20,WTS,9.5625,9.5625,9.4375,9.5625,14400
1987-04-21,WTS,9.5625,9.5625,9.4375,9.5625,32800
1987-04-22,WTS,9.5625,9.6875,9.5625,9.5625,12800
1987-04-23,WTS,9.5625,9.5625,9.5625,9.5625,25000
1987-04-24,WTS,9.5625,9.6875,9.4375,9.5625,20200
1987-04-27,WTS,9.5625,9.5625,9.4375,9.4375,7200
1987-04-28,WTS,9.4375,9.5625,9.4375,9.5625,103800
1987-04-29,WTS,9.5625,9.9375,9.4375,9.6875,42400
1987-04-30,WTS,9.6875,10.0625,9.6875,10.0625,511200
1987-05-01,WTS,10.0625,10.3125,9.9375,10.1875,34400
1987-05-04,WTS,10.1875,10.3125,10.0625,10.0625,14200
1987-05-05,WTS,10.0625,10.4375,10.0625,10.3125,10200
1987-05-06,WTS,10.3125,10.6875,10.1875,10.4375,82800
1987-05-07,WTS,10.4375,10.5625,10.4375,10.4375,10000
1987-05-08,WTS,10.4375,10.6875,10.4375,10.6875,274600
1987-05-11,WTS,10.6875,10.6875,10.4375,10.4375,12600
1987-05-12,WTS,10.4375,10.6875,10.4375,10.4375,65600
1987-05-13,WTS,10.4375,10.6875,10.4375,10.6875,15600
1987-05-14,WTS,10.6875,10.8125,10.4375,10.6875,28200
1987-05-15,WTS,10.6875,10.9375,10.6875,10.6875,96800
1987-05-18,WTS,10.6875,10.9375,10.6875,10.9375,26600
1987-05-19,WTS,10.9375,11.0625,10.875,10.875,73400
1987-05-20,WTS,10.9375,11.1875,10.9375,11.1875,247000
1987-05-21,WTS,11.1875,11.1875,11.0625,11.0625,29000
1987-05-22,WTS,11.0625,11.125,10.9375,11.125,19600
1987-05-26,WTS,11.125,11.125,10.9375,11.125,7200
1987-05-27,WTS,11.125,11.125,10.875,11.0,340800
1987-05-28,WTS,11.0,11.0625,10.9375,10.9375,37200
1987-05-29,WTS,10.9375,10.9375,10.9375,10.9375,1600
1987-06-01,WTS,10.9375,11.0625,10.9375,10.9375,6000
1987-06-02,WTS,10.9375,11.0625,10.8125,10.8125,28400
1987-06-03,WTS,10.8125,11.0,10.6875,10.8125,19200
1987-06-04,WTS,10.8125,10.875,10.5625,10.5625,23000
1987-06-05,WTS,10.5625,10.8125,10.5625,10.5625,3800
1987-06-08,WTS,10.5625,10.8125,10.5625,10.5625,13600
1987-06-09,WTS,10.5625,10.6875,10.5625,10.5625,120000
1987-06-10,WTS,10.5625,10.6875,10.3125,10.5625,26400
1987-06-11,WTS,10.5625,10.5625,10.3125,10.3125,33800
1987-06-12,WTS,10.3125,10.5625,10.3125,10.3125,0
1987-06-15,WTS,10.3125,10.5625,10.3125,10.3125,23000
1987-06-16,WTS,10.3125,10.5625,10.3125,10.3125,0
1987-06-17,WTS,10.3125,10.5625,10.3125,10.5625,12400
1987-06-18,WTS,10.5625,10.5625,10.3125,10.3125,25400
1987-06-19,WTS,10.3125,10.5625,10.3125,10.5625,28600
1987-06-22,WTS,10.5625,10.5625,10.4375,10.5625,5000
1987-06-23,WTS,10.5625,10.6875,10.4375,10.6875,10200
1987-06-24,WTS,10.6875,11.0,10.4375,11.0,103400
1987-06-25,WTS,11.0,11.0,10.5625,10.5625,5000
1987-06-26,WTS,10.875,11.0,10.875,11.0,69800
1987-06-29,WTS,11.0,11.0,10.5625,10.5625,11800
1987-06-30,WTS,10.5625,10.875,10.5625,10.5625,106000
1987-07-01,WTS,10.5625,10.875,10.5625,10.5625,7200
1987-07-02,WTS,10.5625,10.875,10.5625,10.5625,600
1987-07-06,WTS,10.5625,10.5625,10.5625,10.5625,3800
1987-07-07,WTS,10.5625,10.875,10.5625,10.875,9000
1987-07-08,WTS,10.875,10.875,10.5625,10.875,22200
1987-07-09,WTS,10.875,10.875,10.4375,10.6875,29400
1987-07-10,WTS,10.6875,10.6875,10.4375,10.4375,5400
1987-07-13,WTS,10.4375,10.6875,10.4375,10.4375,22600
1987-07-14,WTS,10.4375,10.6875,10.4375,10.4375,3600
