date,symbol,open,high,low,close,volume
1984-06-20,AJG,1.84375,1.875,1.84375,1.84375,2004000
1984-06-21,AJG,1.84375,1.84375,1.78125,1.78125,626400
1984-06-22,AJG,1.78125,1.8125,1.78125,1.78125,229600
1984-06-25,AJG,1.78125,1.8125,1.75,1.75,102400
1984-06-26,AJG,1.75,1.75,1.71875,1.71875,129600
1984-06-27,AJG,1.75,1.78125,1.75,1.75,213600
1984-06-28,AJG,1.75,1.78125,1.75,1.75,212000
1984-06-29,AJG,1.8125,1.875,1.8125,1.8125,208000
1984-07-02,AJG,1.8125,1.875,1.8125,1.8125,144800
1984-07-03,AJG,1.8125,1.875,1.8125,1.8125,48000
1984-07-05,AJG,1.84375,1.90625,1.84375,1.84375,108000
1984-07-06,AJG,1.84375,1.90625,1.84375,1.84375,2400
1984-07-09,AJG,1.84375,1.875,1.84375,1.84375,76800
1984-07-10,AJG,1.84375,1.90625,1.84375,1.84375,89600
1984-07-11,AJG,1.84375,1.90625,1.84375,1.84375,82400
1984-07-12,AJG,1.84375,1.875,1.8125,1.8125,58400
1984-07-13,AJG,1.8125,1.875,1.8125,1.8125,323200
1984-07-16,AJG,1.8125,1.875,1.8125,1.8125,32000
1984-07-17,AJG,1.8125,1.875,1.8125,1.8125,334400
1984-07-18,AJG,1.8125,1.875,1.8125,1.8125,420800
1984-07-19,AJG,1.8125,1.875,1.8125,1.8125,404000
1984-07-20,AJG,1.8125,1.875,1.8125,1.8125,53600
1984-07-23,AJG,1.84375,1.90625,1.84375,1.84375,153600
1984-07-24,AJG,1.875,1.96875,1.875,1.875,82400
1984-07-25,AJG,1.875,1.96875,1.875,1.875,2400
1984-07-26,AJG,1.96875,2.03125,1.96875,1.96875,147200
1984-07-27,AJG,2.03125,2.125,2.03125,2.03125,128000
1984-07-30,AJG,2.03125,2.125,2.03125,2.03125,153600
1984-07-31,AJG,2.03125,2.125,2.03125,2.03125,131200
1984-08-01,AJG,2.03125,2.125,2.03125,2.03125,124000
1984-08-02,AJG,2.09375,2.15625,2.09375,2.09375,103200
1984-08-03,AJG,2.125,2.21875,2.125,2.125,72000
1984-08-06,AJG,2.15625,2.25,2.15625,2.15625,52000
1984-08-07,AJG,2.15625,2.25,2.15625,2.15625,24000
1984-08-08,AJG,2.21875,2.28125,2.21875,2.21875,19200
1984-08-09,AJG,2.21875,2.28125,2.21875,2.21875,40000
1984-08-10,AJG,2.25,2.3125,2.25,2.25,19200
1984-08-13,AJG,2.25,2.3125,2.25,2.25,160800
1984-08-14,AJG,2.25,2.3125,2.25,2.25,80000
1984-08-15,AJG,2.25,2.3125,2.25,2.25,75200
1984-08-16,AJG,2.28125,2.375,2.28125,2.28125,68000
1984-08-17,AJG,2.34375,2.40625,2.34375,2.34375,166400
1984-08-20,AJG,2.375,2.4375,2.375,2.375,40000
1984-08-21,AJG,2.40625,2.4375,2.40625,2.40625,52800
1984-08-22,AJG,2.4375,2.5,2.4375,2.4375,223200
1984-08-23,AJG,2.46875,2.53125,2.46875,2.46875,57600
1984-08-24,AJG,2.46875,2.5625,2.46875,2.46875,800
1984-08-27,AJG,2.46875,2.46875,2.46875,2.46875,0
1984-08-28,AJG,2.5,2.5625,2.5,2.5,9600
1984-08-29,AJG,2.625,2.6875,2.625,2.625,477600
1984-08-30,AJG,2.65625,2.71875,2.65625,2.65625,12800
1984-08-31,AJG,2.65625,2.75,2.65625,2.65625,3200
1984-09-04,AJG,2.65625,2.75,2.65625,2.65625,68800
1984-09-05,AJG,2.65625,2.71875,2.65625,2.65625,31200
1984-09-06,AJG,2.65625,2.75,2.65625,2.65625,729600
1984-09-07,AJG,2.6875,2.75,2.6875,2.6875,170400
1984-09-10,AJG,2.6875,2.75,2.6875,2.6875,107200
1984-09-11,AJG,2.6875,2.75,2.6875,2.6875,4800
1984-09-12,AJG,2.6875,2.75,2.6875,2.6875,10400
1984-09-13,AJG,2.6875,2.75,2.6875,2.6875,31200
1984-09-14,AJG,2.6875,2.75,2.6875,2.6875,12000
1984-09-17,AJG,2.71875,2.78125,2.71875,2.71875,25600
1984-09-18,AJG,2.71875,2.8125,2.71875,2.71875,108800
1984-09-19,AJG,2.71875,2.8125,2.71875,2.71875,40000
1984-09-20,AJG,2.71875,2.78125,2.71875,2.71875,81600
1984-09-21,AJG,3.03125,3.09375,3.03125,3.03125,404800
1984-09-24,AJG,3.03125,3.09375,3.03125,3.03125,104000
1984-09-25,AJG,3.03125,3.09375,3.03125,3.03125,60000
1984-09-26,AJG,3.03125,3.09375,3.03125,3.03125,41600
1984-09-27,AJG,3.03125,3.09375,3.03125,3.03125,12000
1984-09-28,AJG,3.03125,3.09375,3.03125,3.03125,29600
1984-10-01,AJG,3.03125,3.09375,3.03125,3.03125,187200
1984-10-02,AJG,3.0625,3.125,3.0625,3.0625,16800
1984-10-03,AJG,3.0625,3.125,3.0625,3.0625,10400
1984-10-04,AJG,3.0625,3.125,3.0625,3.0625,200000
1984-10-05,AJG,3.0625,3.0625,3.0625,3.0625,0
1984-10-08,AJG,3.0625,3.0625,3.0625,3.0625,0
1984-10-09,AJG,3.0625,3.125,3.0625,3.0625,800
1984-10-10,AJG,3.0625,3.09375,3.0625,3.0625,5600
1984-10-11,AJG,3.0625,3.09375,3.0625,3.0625,18400
1984-10-12,AJG,3.0625,3.09375,3.0625,3.0625,2400
1984-10-15,AJG,3.09375,3.15625,3.09375,3.09375,10400
1984-10-16,AJG,3.09375,3.15625,3.09375,3.09375,800
1984-10-17,AJG,3.125,3.1875,3.125,3.125,32000
1984-10-18,AJG,3.125,3.1875,3.125,3.125,14400
1984-10-19,AJG,3.125,3.125,3.125,3.125,0
1984-10-22,AJG,3.125,3.1875,3.125,3.125,3200
1984-10-23,AJG,3.15625,3.21875,3.15625,3.15625,9600
1984-10-24,AJG,3.25,3.3125,3.25,3.25,336800
1984-10-25,AJG,3.34375,3.40625,3.34375,3.34375,363200
1984-10-26,AJG,3.3125,3.3125,3.25,3.25,142400
1984-10-29,AJG,3.25,3.28125,3.21875,3.21875,20000
1984-10-30,AJG,3.21875,3.3125,3.21875,3.21875,60800
1984-10-31,AJG,3.25,3.3125,3.25,3.25,235200
1984-11-01,AJG,3.28125,3.34375,3.28125,3.28125,4000
1984-11-02,AJG,3.28125,3.34375,3.28125,3.28125,13600
1984-11-05,AJG,3.28125,3.34375,3.28125,3.28125,4000
1984-11-06,AJG,3.28125,3.34375,3.28125,3.28125,4000
1984-11-07,AJG,3.3125,3.34375,3.3125,3.3125,28000
1984-11-08,AJG,3.375,3.4375,3.375,3.375,448800
1984-11-09,AJG,3.375,3.40625,3.34375,3.34375,28000
1984-11-12,AJG,3.34375,3.40625,3.34375,3.34375,336000
1984-11-13,AJG,3.34375,3.40625,3.34375,3.34375,443200
1984-11-14,AJG,3.375,3.40625,3.375,3.375,132000
1984-11-15,AJG,3.375,3.40625,3.375,3.375,10400
1984-11-16,AJG,3.375,3.40625,3.375,3.375,12800
1984-11-19,AJG,3.375,3.4375,3.375,3.375,99200
1984-11-20,AJG,3.40625,3.46875,3.40625,3.40625,130400
1984-11-21,AJG,3.40625,3.46875,3.40625,3.40625,15200
1984-11-23,AJG,3.40625,3.46875,3.40625,3.40625,3200
1984-11-26,AJG,3.40625,3.46875,3.40625,3.40625,98400
1984-11-27,AJG,3.40625,3.46875,3.40625,3.40625,16000
1984-11-28,AJG,3.40625,3.46875,3.40625,3.40625,13600
1984-11-29,AJG,3.40625,3.46875,3.40625,3.40625,122400
1984-11-30,AJG,3.40625,3.46875,3.40625,3.40625,40000
1984-12-03,AJG,3.40625,3.4375,3.40625,3.40625,800
1984-12-04,AJG,3.40625,3.4375,3.40625,3.40625,20000
1984-12-05,AJG,3.40625,3.4375,3.40625,3.40625,76800
1984-12-06,AJG,3.40625,3.4375,3.40625,3.40625,80000
1984-12-07,AJG,3.40625,3.4375,3.40625,3.40625,4000
1984-12-10,AJG,3.40625,3.4375,3.40625,3.40625,16000
1984-12-11,AJG,3.40625,3.46875,3.40625,3.40625,659200
1984-12-12,AJG,3.40625,3.46875,3.40625,3.40625,3200
1984-12-13,AJG,3.40625,3.46875,3.40625,3.40625,12000
1984-12-14,AJG,3.40625,3.46875,3.40625,3.40625,4000
1984-12-17,AJG,3.40625,3.46875,3.40625,3.40625,800
1984-12-18,AJG,3.46875,3.53125,3.46875,3.46875,31200
1984-12-19,AJG,3.46875,3.5625,3.46875,3.46875,12800
1984-12-20,AJG,3.5,3.5625,3.5,3.5,16000
1984-12-21,AJG,3.5,3.5625,3.5,3.5,31200
1984-12-24,AJG,3.5,3.5,3.5,3.5,0
1984-12-26,AJG,3.5,3.5625,3.5,3.5,20000
1984-12-27,AJG,3.5,3.59375,3.5,3.5,4000
1984-12-28,AJG,3.5625,3.625,3.5625,3.5625,30400
1984-12-31,AJG,3.71875,3.78125,3.71875,3.71875,64000
1985-01-02,AJG,3.71875,3.8125,3.71875,3.71875,4800
1985-01-03,AJG,3.75,3.8125,3.75,3.75,177600
1985-01-04,AJG,3.75,3.8125,3.75,3.75,41600
1985-01-07,AJG,3.75,3.78125,3.75,3.75,124000
1985-01-08,AJG,3.75,3.78125,3.75,3.75,95200
1985-01-09,AJG,3.75,3.78125,3.71875,3.71875,68000
1985-01-10,AJG,3.71875,3.78125,3.6875,3.6875,73600
1985-01-11,AJG,3.71875,3.75,3.71875,3.71875,23200
1985-01-14,AJG,3.71875,3.78125,3.71875,3.71875,90400
1985-01-15,AJG,3.71875,3.78125,3.71875,3.71875,32800
1985-01-16,AJG,3.71875,3.78125,3.71875,3.71875,101600
1985-01-17,AJG,3.71875,3.78125,3.71875,3.71875,65600
1985-01-18,AJG,3.75,3.8125,3.75,3.75,58400
1985-01-21,AJG,3.78125,3.84375,3.78125,3.78125,226400
1985-01-22,AJG,3.8125,3.875,3.8125,3.8125,64000
1985-01-23,AJG,3.8125,3.875,3.8125,3.8125,92000
1985-01-24,AJG,3.8125,3.90625,3.8125,3.8125,44000
1985-01-25,AJG,3.8125,3.90625,3.8125,3.8125,10400
1985-01-28,AJG,3.875,3.90625,3.875,3.875,104800
1985-01-29,AJG,3.875,3.9375,3.875,3.875,91200
1985-01-30,AJG,4.0625,4.125,4.0625,4.0625,127200
1985-01-31,AJG,4.1875,4.25,4.1875,4.1875,164000
1985-02-01,AJG,4.4375,4.5,4.4375,4.4375,80800
1985-02-04,AJG,4.8125,4.875,4.8125,4.8125,380800
1985-02-05,AJG,4.8125,4.875,4.8125,4.8125,82400
1985-02-06,AJG,4.6875,4.6875,4.65625,4.65625,80000
1985-02-07,AJG,4.65625,4.65625,4.625,4.625,24800
1985-02-08,AJG,4.625,4.71875,4.625,4.625,64800
1985-02-11,AJG,4.625,4.71875,4.625,4.625,800
1985-02-12,AJG,4.625,4.6875,4.625,4.625,128000
1985-02-13,AJG,4.625,4.6875,4.625,4.625,245600
1985-02-14,AJG,4.65625,4.71875,4.65625,4.65625,11200
1985-02-15,AJG,4.65625,4.71875,4.65625,4.65625,16000
1985-02-19,AJG,4.65625,4.71875,4.65625,4.65625,1600
1985-02-20,AJG,4.65625,4.71875,4.65625,4.65625,2400
1985-02-21,AJG,4.65625,4.6875,4.625,4.625,8000
1985-02-22,AJG,4.625,4.6875,4.625,4.625,216800
1985-02-25,AJG,4.625,4.625,4.5625,4.5625,114400
1985-02-26,AJG,4.59375,4.65625,4.59375,4.59375,580800
1985-02-27,AJG,4.59375,4.65625,4.59375,4.59375,181600
1985-02-28,AJG,4.59375,4.65625,4.59375,4.59375,97600
1985-03-01,AJG,4.625,4.6875,4.625,4.625,44000
1985-03-04,AJG,4.625,4.71875,4.625,4.625,2400
1985-03-05,AJG,4.625,4.71875,4.625,4.625,80800
1985-03-06,AJG,4.625,4.71875,4.625,4.625,8800
1985-03-07,AJG,4.625,4.71875,4.625,4.625,5600
1985-03-08,AJG,4.625,4.71875,4.625,4.625,4800
1985-03-11,AJG,4.71875,4.8125,4.71875,4.71875,55200
1985-03-12,AJG,4.75,4.8125,4.75,4.75,47200
1985-03-13,AJG,4.75,4.78125,4.71875,4.71875,11200
1985-03-14,AJG,4.71875,4.78125,4.71875,4.71875,25600
1985-03-15,AJG,4.71875,4.78125,4.71875,4.71875,84800
1985-03-18,AJG,4.71875,4.78125,4.71875,4.71875,4800
1985-03-19,AJG,4.71875,4.78125,4.71875,4.71875,25600
