date,symbol,open,high,low,close,volume
1972-06-01,ETR,10.375,10.5625,10.375,10.4375,84000
1972-06-02,ETR,10.4375,10.5625,10.375,10.5,35200
1972-06-05,ETR,10.5,10.625,10.4375,10.4375,26400
1972-06-06,ETR,10.375,10.375,10.25,10.3125,31400
1972-06-07,ETR,10.3125,10.375,10.3125,10.3125,10000
1972-06-08,ETR,10.3125,10.4375,10.1875,10.1875,65800
1972-06-09,ETR,10.1875,10.25,10.125,10.125,37000
1972-06-12,ETR,10.125,10.3125,10.125,10.25,21200
1972-06-13,ETR,10.25,10.25,10.0,10.125,76800
1972-06-14,ETR,10.0625,10.0625,9.875,9.875,253600
1972-06-15,ETR,9.875,9.9375,9.875,9.9375,28200
1972-06-16,ETR,9.9375,9.9375,9.8125,9.9375,18000
1972-06-19,ETR,9.9375,10.0,9.875,9.9375,17000
1972-06-20,ETR,9.9375,9.9375,9.8125,9.8125,81200
1972-06-21,ETR,9.8125,9.9375,9.6875,9.6875,114000
1972-06-22,ETR,9.6875,9.8125,9.6875,9.8125,47400
1972-06-23,ETR,9.8125,9.8125,9.6875,9.8125,106000
1972-06-26,ETR,9.8125,9.875,9.6875,9.75,28800
1972-06-27,ETR,9.75,9.75,9.6875,9.75,28400
1972-06-28,ETR,9.75,9.9375,9.6875,9.9375,42000
1972-06-29,ETR,9.9375,10.0,9.8125,9.9375,26600
1972-06-30,ETR,9.9375,10.1875,9.9375,10.125,94200
1972-07-03,ETR,10.125,10.25,10.0,10.125,14600
1972-07-05,ETR,10.25,10.5,10.25,10.4375,44800
1972-07-06,ETR,10.4375,10.6875,10.4375,10.6875,30600
1972-07-07,ETR,10.6875,10.8125,10.625,10.8125,47800
1972-07-10,ETR,10.8125,10.9375,10.6875,10.875,51200
1972-07-11,ETR,10.75,10.75,10.5625,10.5625,28800
1972-07-12,ETR,10.5625,10.8125,10.5625,10.6875,9600
1972-07-13,ETR,10.6875,10.8125,10.5625,10.5625,12000
1972-07-14,ETR,10.5625,10.75,10.5,10.625,21200
1972-07-17,ETR,10.625,10.6875,10.5,10.5625,24600
1972-07-18,ETR,10.4375,10.4375,10.3125,10.3125,8800
1972-07-19,ETR,10.3125,10.375,10.25,10.25,18600
1972-07-20,ETR,10.25,10.375,10.25,10.3125,15000
1972-07-21,ETR,10.3125,10.4375,10.25,10.4375,11000
1972-07-24,ETR,10.4375,10.5,10.3125,10.4375,25200
1972-07-25,ETR,10.4375,10.5625,10.25,10.375,135200
1972-07-26,ETR,10.375,10.5,10.3125,10.3125,27600
1972-07-27,ETR,10.3125,10.375,10.1875,10.1875,19800
1972-07-28,ETR,10.3125,10.375,10.3125,10.3125,28600
1972-07-31,ETR,10.3125,10.3125,10.125,10.1875,5600
1972-08-01,ETR,10.1875,10.1875,10.125,10.1875,18000
1972-08-02,ETR,10.1875,10.375,10.125,10.125,64200
1972-08-03,ETR,10.125,10.1875,10.0,10.0,21400
1972-08-04,ETR,10.0,10.0625,10.0,10.0,21000
1972-08-07,ETR,10.0,10.0625,9.8125,9.8125,174200
1972-08-08,ETR,9.8125,9.875,9.75,9.875,81200
1972-08-09,ETR,9.875,9.9375,9.75,9.8125,34200
