date,symbol,open,high,low,close,volume
1999-06-16,SBAC,9.0625,9.3125,8.125,8.875,5718100
1999-06-17,SBAC,8.75,8.875,7.75,8.6875,542200
1999-06-18,SBAC,8.5625,9.125,8.5625,9.0,557600
1999-06-21,SBAC,9.0625,9.75,9.0,9.25,218000
1999-06-22,SBAC,9.0625,9.5,9.0,9.0625,281400
1999-06-23,SBAC,9.0,9.5,9.0,9.375,395200
1999-06-24,SBAC,9.375,9.625,9.0,9.125,238100
1999-06-25,SBAC,9.125,9.21875,9.0,9.1875,172400
1999-06-28,SBAC,9.0,9.375,9.0,9.25,81400
1999-06-29,SBAC,9.375,10.25,9.25,9.375,321500
1999-06-30,SBAC,9.375,10.125,9.375,9.6875,429900
1999-07-01,SBAC,9.8125,10.375,9.5,9.9375,363500
1999-07-02,SBAC,10.125,10.875,10.125,10.875,460800
1999-07-06,SBAC,10.875,11.0,10.5,10.6875,565900
1999-07-07,SBAC,10.6875,11.125,10.375,10.875,270500
1999-07-08,SBAC,11.75,13.0,11.375,12.25,1793800
1999-07-09,SBAC,12.25,13.75,12.1875,13.5,1738400
1999-07-12,SBAC,14.0,15.375,13.625,14.8125,5465000
1999-07-13,SBAC,15.3125,15.3125,12.625,13.375,2568600
1999-07-14,SBAC,13.75,13.75,11.875,13.375,970700
1999-07-15,SBAC,13.8125,14.0,12.75,13.125,572700
1999-07-16,SBAC,13.375,14.25,13.1875,14.0,793100
1999-07-19,SBAC,14.25,14.375,13.5,14.0,336500
1999-07-20,SBAC,14.0,14.0625,12.5,12.9375,324300
1999-07-21,SBAC,13.0,13.3125,12.5,12.5,237600
1999-07-22,SBAC,12.75,12.75,11.875,12.0,165100
1999-07-23,SBAC,12.125,12.25,11.0,11.5,178500
1999-07-26,SBAC,11.5,11.5,9.75,10.375,363400
1999-07-27,SBAC,10.40625,10.875,9.875,10.375,312600
1999-07-28,SBAC,10.5625,11.875,10.25,11.25,176700
1999-07-29,SBAC,11.0,11.75,10.5625,11.375,165400
1999-07-30,SBAC,11.375,12.0625,10.5,11.125,237500
1999-08-02,SBAC,11.5,13.25,10.875,11.25,503900
1999-08-03,SBAC,11.75,12.5,11.625,12.125,265300
1999-08-04,SBAC,12.0,12.0625,11.25,11.5,186900
1999-08-05,SBAC,11.375,11.625,10.25,11.625,188600
1999-08-06,SBAC,11.5,11.5,10.5,11.0,77400
1999-08-09,SBAC,11.0625,11.4375,9.875,10.0,105900
1999-08-10,SBAC,9.875,10.25,9.0625,9.15625,369700
1999-08-11,SBAC,9.5,10.0,9.125,9.875,351000
1999-08-12,SBAC,10.4375,11.5,10.0,10.9375,413900
1999-08-13,SBAC,11.375,11.625,10.625,11.0,275600
1999-08-16,SBAC,11.25,11.25,10.75,10.875,98900
1999-08-17,SBAC,11.0,11.5,10.875,11.5,149100
1999-08-18,SBAC,11.5,11.625,10.9375,10.9375,100300
1999-08-19,SBAC,10.96875,11.3125,10.75,11.125,39200
1999-08-20,SBAC,11.25,11.375,11.0,11.25,42400
1999-08-23,SBAC,11.4375,11.5,10.875,10.9375,65000
1999-08-24,SBAC,11.25,11.25,10.625,11.125,108000
1999-08-25,SBAC,10.875,11.25,10.875,11.0,112800
1999-08-26,SBAC,11.09375,11.09375,10.75,10.9375,135500
1999-08-27,SBAC,10.9375,11.0625,10.625,10.9375,434800
1999-08-30,SBAC,11.0,11.25,10.875,11.0,88500
1999-08-31,SBAC,11.0,11.4375,10.8125,11.4375,153000
1999-09-01,SBAC,11.4375,11.9375,11.125,11.25,87000
1999-09-02,SBAC,11.25,11.375,10.8125,11.0625,80800
1999-09-03,SBAC,11.21875,11.75,11.0,11.75,91900
1999-09-07,SBAC,12.0,12.0625,11.25,11.3125,58300
1999-09-08,SBAC,11.375,11.4375,11.25,11.375,96100
1999-09-09,SBAC,11.40625,12.625,11.3125,12.5,179900
1999-09-10,SBAC,12.5,13.5,12.3125,12.5625,249300
