date,symbol,open,high,low,close,volume
1994-10-31,MCO,8.1875,8.3125,8.1875,8.3125,1984200
1994-11-01,MCO,8.3125,8.3125,8.1875,8.25,2176400
1994-11-02,MCO,8.25,8.25,8.1875,8.1875,2348200
1994-11-03,MCO,8.1875,8.25,8.125,8.1875,2060800
1994-11-04,MCO,8.1875,8.25,8.125,8.125,2663800
1994-11-07,MCO,8.0625,8.0625,8.0,8.0625,1049400
1994-11-08,MCO,8.0625,8.0625,7.875,7.875,5761000
1994-11-09,MCO,7.9375,8.0625,7.9375,8.0,2480000
1994-11-10,MCO,8.0,8.0625,8.0,8.0625,1956000
1994-11-11,MCO,8.0625,8.0625,8.0,8.0,1300200
1994-11-14,MCO,7.9375,7.9375,7.875,7.9375,1419200
1994-11-15,MCO,7.9375,7.9375,7.875,7.875,3118800
1994-11-16,MCO,7.875,7.9375,7.875,7.875,813400
1994-11-17,MCO,7.875,7.875,7.75,7.8125,1477600
1994-11-18,MCO,7.8125,7.8125,7.6875,7.75,2452600
1994-11-21,MCO,7.75,7.75,7.5625,7.5625,3276000
1994-11-22,MCO,7.5625,7.625,7.4375,7.4375,2725000
1994-11-23,MCO,7.4375,7.5,7.3125,7.5,2634200
1994-11-25,MCO,7.5,7.5,7.5,7.5,640800
1994-11-28,MCO,7.5,7.5625,7.4375,7.5625,1583400
1994-11-29,MCO,7.5625,7.5625,7.4375,7.5,1056400
1994-11-30,MCO,7.5,7.5,7.4375,7.5,1086800
1994-12-01,MCO,7.5,7.5,7.4375,7.4375,979000
1994-12-02,MCO,7.4375,7.5,7.375,7.5,1257200
1994-12-05,MCO,7.5,7.5625,7.4375,7.4375,1071200
1994-12-06,MCO,7.4375,7.4375,7.375,7.4375,1819200
1994-12-07,MCO,7.4375,7.4375,7.3125,7.375,1223400
1994-12-08,MCO,7.375,7.4375,7.375,7.375,1178400
1994-12-09,MCO,7.375,7.375,7.3125,7.375,1682000
1994-12-12,MCO,7.375,7.4375,7.3125,7.375,1011400
1994-12-13,MCO,7.375,7.5,7.375,7.4375,1555200
1994-12-14,MCO,7.4375,7.5,7.4375,7.5,1351600
1994-12-15,MCO,7.5,7.5625,7.375,7.5,2600400
1994-12-16,MCO,7.5,7.5625,7.4375,7.5,3428800
1994-12-19,MCO,7.5,7.625,7.375,7.5625,3590000
1994-12-20,MCO,7.5625,7.625,7.5625,7.625,1464200
1994-12-21,MCO,7.625,7.6875,7.625,7.625,3717600
1994-12-22,MCO,7.625,7.75,7.625,7.75,1467200
1994-12-23,MCO,7.75,7.75,7.625,7.625,1012000
1994-12-27,MCO,7.625,7.75,7.625,7.75,3242800
1994-12-28,MCO,7.75,7.75,7.625,7.75,1814400
1994-12-29,MCO,7.75,7.8125,7.75,7.8125,1436200
1994-12-30,MCO,7.8125,7.8125,7.6875,7.8125,1365600
1995-01-03,MCO,7.8125,7.8125,7.6875,7.75,1064200
1995-01-04,MCO,7.75,7.8125,7.625,7.6875,1751600
1995-01-05,MCO,7.6875,7.75,7.625,7.75,1600200
1995-01-06,MCO,7.75,7.8125,7.6875,7.6875,2230600
1995-01-09,MCO,7.6875,7.75,7.625,7.6875,2108800
1995-01-10,MCO,7.6875,7.75,7.6875,7.6875,1580600
1995-01-11,MCO,7.6875,7.6875,7.5625,7.625,3488600
1995-01-12,MCO,7.5625,7.5625,7.5,7.5,1875600
1995-01-13,MCO,7.5625,7.5625,7.5625,7.5625,2206600
1995-01-16,MCO,7.5625,7.625,7.5625,7.625,3502000
1995-01-17,MCO,7.625,7.6875,7.625,7.625,1322800
1995-01-18,MCO,7.625,7.625,7.5625,7.5625,2150400
1995-01-19,MCO,7.5,7.5,7.4375,7.5,3214600
1995-01-20,MCO,7.5,7.5625,7.4375,7.5,2263800
1995-01-23,MCO,7.5,7.5625,7.4375,7.5625,4176200
1995-01-24,MCO,7.5625,7.625,7.5,7.5625,1362800
1995-01-25,MCO,7.5625,7.625,7.5625,7.625,2840000
1995-01-26,MCO,7.125,7.125,6.875,7.0625,14524000
1995-01-27,MCO,7.0625,7.125,6.9375,6.9375,7288800
1995-01-30,MCO,6.9375,7.0,6.9375,7.0,3881000
1995-01-31,MCO,7.0,7.0625,7.0,7.0625,2975200
1995-02-01,MCO,7.0625,7.0625,6.875,6.9375,2668000
1995-02-02,MCO,6.9375,7.0,6.875,6.9375,1846800
1995-02-03,MCO,6.9375,7.0625,6.9375,7.0625,3790800
1995-02-06,MCO,7.0625,7.125,7.0,7.0625,2963200
1995-02-07,MCO,7.125,7.1875,7.125,7.1875,2994800
1995-02-08,MCO,7.1875,7.3125,7.125,7.1875,3764800
1995-02-09,MCO,7.1875,7.25,7.0625,7.25,1978400
1995-02-10,MCO,7.25,7.25,7.1875,7.1875,1724200
1995-02-13,MCO,7.1875,7.1875,7.125,7.125,1560000
1995-02-14,MCO,7.125,7.1875,7.0625,7.125,1967200
1995-02-15,MCO,7.125,7.1875,7.125,7.1875,1822800
1995-02-16,MCO,7.1875,7.1875,7.125,7.1875,1477000
1995-02-17,MCO,7.1875,7.3125,7.1875,7.25,3836600
1995-02-21,MCO,7.25,7.3125,7.1875,7.1875,2169400
1995-02-22,MCO,7.1875,7.1875,7.125,7.1875,1879800
1995-02-23,MCO,7.1875,7.25,7.125,7.1875,1599600
1995-02-24,MCO,7.1875,7.25,7.1875,7.25,1129800
1995-02-27,MCO,7.25,7.25,7.1875,7.25,910000
1995-02-28,MCO,7.25,7.3125,7.1875,7.3125,2920200
1995-03-01,MCO,7.3125,7.4375,7.3125,7.4375,8590400
1995-03-02,MCO,7.4375,7.5,7.375,7.5,2482800
1995-03-03,MCO,7.5,7.5625,7.4375,7.5,3257600
1995-03-06,MCO,7.5,7.5,7.4375,7.4375,1734000
1995-03-07,MCO,7.4375,7.4375,7.25,7.4375,1985600
1995-03-08,MCO,7.4375,7.5,7.4375,7.4375,882400
1995-03-09,MCO,7.4375,7.4375,7.375,7.4375,817000
1995-03-10,MCO,7.4375,7.5,7.375,7.5,3922600
1995-03-13,MCO,7.5,7.5625,7.4375,7.5625,2940000
1995-03-14,MCO,7.5625,7.625,7.5625,7.625,4782600
1995-03-15,MCO,7.625,7.625,7.5,7.5625,1994000
1995-03-16,MCO,7.5625,7.5625,7.5,7.5625,1515600
1995-03-17,MCO,7.5625,7.5625,7.5,7.5,3842200
1995-03-20,MCO,7.5,7.5625,7.5,7.5625,979000
1995-03-21,MCO,7.5625,7.5625,7.5,7.5,1926400
1995-03-22,MCO,7.5,7.5,7.4375,7.5,1438200
1995-03-23,MCO,7.5,7.5625,7.4375,7.5625,3240000
1995-03-24,MCO,7.5625,7.5625,7.5,7.5,2071400
1995-03-27,MCO,7.5,7.5625,7.4375,7.4375,1257800
1995-03-28,MCO,7.4375,7.5,7.4375,7.4375,1196600
1995-03-29,MCO,7.4375,7.5,7.375,7.4375,2455400
1995-03-30,MCO,7.4375,7.5,7.4375,7.5,1952400
1995-03-31,MCO,7.4375,7.4375,7.375,7.4375,1996000
1995-04-03,MCO,7.4375,7.5,7.4375,7.4375,1124800
1995-04-04,MCO,7.5,7.625,7.5,7.625,2177800
1995-04-05,MCO,7.625,7.625,7.5,7.5,2121400
1995-04-06,MCO,7.5,7.5625,7.5,7.5,1588200
1995-04-07,MCO,7.5,7.625,7.5,7.625,1843200
1995-04-10,MCO,7.625,7.625,7.5625,7.5625,793000
1995-04-11,MCO,7.5625,7.625,7.4375,7.5,2031400
1995-04-12,MCO,7.5,7.5625,7.4375,7.5,1231800
1995-04-13,MCO,7.5,7.5625,7.4375,7.4375,1084600
1995-04-17,MCO,7.4375,7.5625,7.375,7.4375,1362200
1995-04-18,MCO,7.4375,7.5625,7.375,7.375,1723400
1995-04-19,MCO,7.375,7.4375,7.125,7.1875,3671000
1995-04-20,MCO,7.1875,7.25,7.1875,7.1875,3837400
1995-04-21,MCO,7.1875,7.375,7.1875,7.3125,3236400
1995-04-24,MCO,7.3125,7.4375,7.3125,7.4375,1803800
1995-04-25,MCO,7.375,7.375,7.3125,7.375,1702400
1995-04-26,MCO,7.375,7.4375,7.3125,7.4375,3831000
1995-04-27,MCO,7.375,7.375,7.3125,7.375,2932200
1995-04-28,MCO,7.375,7.375,7.3125,7.375,2072800
1995-05-01,MCO,7.375,7.4375,7.3125,7.375,2258200
1995-05-02,MCO,7.375,7.4375,7.3125,7.375,2088400
1995-05-03,MCO,7.375,7.4375,7.375,7.4375,1419200
1995-05-04,MCO,7.4375,7.5,7.4375,7.5,2292000
1995-05-05,MCO,7.5,7.5625,7.4375,7.5,1889800
1995-05-08,MCO,7.5,7.625,7.5,7.625,2458200
1995-05-09,MCO,7.625,7.6875,7.625,7.625,1856000
1995-05-10,MCO,7.625,7.6875,7.625,7.6875,1803000
1995-05-11,MCO,7.6875,7.875,7.6875,7.8125,2626400
1995-05-12,MCO,7.8125,7.8125,7.75,7.8125,1720600
1995-05-15,MCO,7.6875,7.6875,7.625,7.625,1808000
1995-05-16,MCO,7.625,7.6875,7.625,7.6875,1727000
