date,symbol,open,high,low,close,volume
1988-10-05,MAN,15.125,15.25,15.0,15.125,11500
1988-10-06,MAN,15.25,15.375,15.25,15.25,12700
1988-10-07,MAN,15.25,15.75,15.25,15.75,12000
1988-10-10,MAN,15.5,15.75,15.5,15.75,34600
1988-10-11,MAN,15.625,15.625,15.125,15.25,147000
1988-10-12,MAN,15.125,15.125,14.875,14.875,368200
1988-10-13,MAN,15.25,15.625,15.25,15.5,246100
1988-10-14,MAN,15.625,16.125,15.625,15.875,65400
1988-10-17,MAN,16.25,16.625,16.25,16.5,59600
1988-10-18,MAN,16.625,16.625,16.375,16.5,13900
1988-10-19,MAN,16.625,16.875,16.0,16.375,253600
1988-10-20,MAN,16.875,17.375,16.875,17.375,158200
1988-10-21,MAN,17.125,17.875,16.75,17.5,241400
1988-10-24,MAN,17.875,17.875,17.5,17.5,75600
1988-10-25,MAN,17.25,17.5,17.25,17.375,70600
1988-10-26,MAN,17.375,17.5,17.375,17.5,16300
1988-10-27,MAN,17.375,17.375,17.125,17.25,125600
1988-10-28,MAN,17.25,17.625,17.25,17.5,23700
1988-10-31,MAN,17.625,17.625,17.625,17.625,900
1988-11-01,MAN,17.375,17.375,16.75,16.875,192800
1988-11-02,MAN,16.75,17.0,16.75,17.0,98500
1988-11-03,MAN,16.875,16.875,16.75,16.75,124800
1988-11-04,MAN,16.75,16.75,16.625,16.75,5400
1988-11-07,MAN,16.5,16.5,16.375,16.5,69900
1988-11-08,MAN,16.5,16.625,16.5,16.5,42000
1988-11-09,MAN,16.375,16.375,16.0,16.0,43200
1988-11-10,MAN,16.25,16.5,16.25,16.25,32300
1988-11-11,MAN,16.125,16.125,16.0,16.125,4900
1988-11-14,MAN,16.0,16.0,15.625,15.75,29100
1988-11-15,MAN,15.75,15.75,15.75,15.75,12000
1988-11-16,MAN,15.875,17.125,15.875,17.125,593400
1988-11-17,MAN,17.25,17.375,17.125,17.25,51900
1988-11-18,MAN,17.0,17.0,16.75,17.0,24300
1988-11-21,MAN,16.75,16.75,16.375,16.625,11000
1988-11-22,MAN,16.5,17.5,16.5,17.375,58400
1988-11-23,MAN,17.375,17.5,17.25,17.375,58600
1988-11-25,MAN,16.75,16.875,16.625,16.875,20700
1988-11-28,MAN,16.75,16.75,16.75,16.75,1000
1988-11-29,MAN,16.75,16.875,16.75,16.75,27600
1988-11-30,MAN,16.875,17.125,16.875,16.875,15700
1988-12-01,MAN,16.875,16.875,16.75,16.875,8500
1988-12-02,MAN,16.375,16.875,16.375,16.75,19200
1988-12-05,MAN,16.75,16.75,16.625,16.75,6800
1988-12-06,MAN,16.625,16.75,15.75,16.25,62100
1988-12-07,MAN,15.75,15.75,15.125,15.625,441400
1988-12-08,MAN,15.375,15.375,15.125,15.125,137200
1988-12-09,MAN,15.0,15.5,15.0,15.25,165500
1988-12-12,MAN,15.25,15.5,15.125,15.25,120100
1988-12-13,MAN,15.375,15.375,15.0,15.125,175100
1988-12-14,MAN,15.125,15.25,15.125,15.25,74700
1988-12-15,MAN,15.25,15.5,15.25,15.375,105900
1988-12-16,MAN,15.25,15.375,15.125,15.125,57900
1988-12-19,MAN,15.5,15.625,14.75,15.375,108300
1988-12-20,MAN,15.375,15.375,15.125,15.125,78200
1988-12-21,MAN,15.25,15.25,15.125,15.125,15000
1988-12-22,MAN,15.0,15.375,15.0,15.375,54300
