date,symbol,open,high,low,close,volume
1994-07-20,MATW,4.0,4.0,3.5625,3.625,594400
1994-07-21,MATW,3.6875,3.75,3.5625,3.734375,122800
1994-07-22,MATW,3.75,3.8125,3.6875,3.6875,122800
1994-07-25,MATW,3.8125,3.8125,3.6875,3.75,55600
1994-07-26,MATW,3.875,3.875,3.6875,3.6875,28000
1994-07-27,MATW,3.875,4.0,3.75,3.8125,92400
1994-07-28,MATW,4.0,4.0625,3.8125,3.875,23200
1994-07-29,MATW,4.0625,4.0625,3.8125,3.875,36000
1994-08-01,MATW,4.0,4.0625,3.8125,4.0625,51200
1994-08-02,MATW,4.0625,4.0625,3.875,4.0625,11200
1994-08-03,MATW,4.0625,4.125,3.875,3.9375,106400
1994-08-04,MATW,4.0625,4.0625,3.9375,3.9375,79600
1994-08-05,MATW,4.0,4.0625,3.875,3.875,12800
1994-08-08,MATW,4.0625,4.0625,3.875,3.875,22400
1994-08-09,MATW,3.875,4.0,3.875,4.0,14800
1994-08-10,MATW,4.0,4.0,3.75,3.75,116800
1994-08-11,MATW,3.75,4.0,3.75,3.8125,23200
1994-08-12,MATW,3.9375,3.9375,3.75,3.9375,20400
1994-08-15,MATW,3.9375,3.9375,3.75,3.78125,13200
1994-08-16,MATW,3.9375,3.9375,3.75,3.75,9200
1994-08-17,MATW,3.78125,3.9375,3.75,3.9375,23600
1994-08-18,MATW,3.9375,3.9375,3.8125,3.8125,5600
1994-08-19,MATW,3.8125,4.0,3.8125,3.875,2800
1994-08-22,MATW,3.75,4.0,3.75,3.875,38800
1994-08-23,MATW,3.75,4.0,3.75,3.75,50400
1994-08-24,MATW,4.0,4.03125,3.75,4.03125,124000
1994-08-25,MATW,3.9375,4.125,3.9375,4.125,5600
1994-08-26,MATW,3.9375,4.125,3.9375,3.9375,10800
1994-08-29,MATW,4.0625,4.0625,3.875,4.0625,27200
1994-08-30,MATW,4.0625,4.0625,3.8125,3.8125,38800
1994-08-31,MATW,4.0,4.0,3.875,3.9375,47600
1994-09-01,MATW,4.0,4.0,4.0,4.0,1200
1994-09-02,MATW,3.75,3.75,3.75,3.75,2000
1994-09-06,MATW,3.75,3.75,3.75,3.75,400
1994-09-07,MATW,4.0,4.0,3.75,3.75,22800
1994-09-08,MATW,3.75,3.875,3.75,3.875,6800
1994-09-09,MATW,3.78125,3.9375,3.75,3.75,22800
1994-09-12,MATW,3.75,3.75,3.75,3.75,3200
1994-09-13,MATW,3.75,3.9375,3.75,3.9375,12800
1994-09-14,MATW,3.9375,3.9375,3.8125,3.8125,11600
1994-09-15,MATW,3.90625,3.90625,3.8125,3.8125,13200
1994-09-16,MATW,3.75,3.75,3.75,3.75,12400
1994-09-19,MATW,3.90625,3.90625,3.75,3.75,12000
1994-09-20,MATW,3.75,3.9375,3.75,3.9375,14000
1994-09-21,MATW,3.9375,3.9375,3.75,3.75,13200
1994-09-22,MATW,3.75,3.9375,3.75,3.78125,24400
1994-09-23,MATW,3.875,3.875,3.6875,3.6875,35600
1994-09-26,MATW,3.6875,3.78125,3.6875,3.78125,7600
1994-09-27,MATW,3.6875,3.6875,3.6875,3.6875,2400
1994-09-28,MATW,3.6875,3.875,3.6875,3.6875,9200
1994-09-29,MATW,3.6875,3.875,3.6875,3.6875,42800
1994-09-30,MATW,3.875,3.875,3.75,3.78125,29600
1994-10-03,MATW,3.875,3.875,3.6875,3.6875,26800
1994-10-04,MATW,3.6875,3.75,3.6875,3.6875,17600
1994-10-05,MATW,3.875,3.875,3.6875,3.8125,27600
1994-10-06,MATW,3.6875,3.6875,3.6875,3.6875,2800
1994-10-07,MATW,3.6875,3.6875,3.6875,3.6875,6000
1994-10-10,MATW,3.6875,3.6875,3.6875,3.6875,2000
1994-10-11,MATW,3.78125,3.78125,3.6875,3.6875,5600
1994-10-12,MATW,3.6875,3.6875,3.6875,3.6875,10400
1994-10-13,MATW,3.6875,3.8125,3.625,3.625,60800
1994-10-14,MATW,3.625,3.625,3.625,3.625,4400
1994-10-17,MATW,3.8125,3.8125,3.75,3.75,1200
1994-10-18,MATW,3.6875,3.6875,3.625,3.625,4400
1994-10-19,MATW,3.625,3.75,3.625,3.6875,95200
1994-10-20,MATW,3.625,3.625,3.625,3.625,26800
1994-10-21,MATW,3.625,3.75,3.625,3.75,9600
1994-10-24,MATW,3.625,3.6875,3.625,3.6875,7200
1994-10-25,MATW,3.625,3.75,3.625,3.75,2000
1994-10-26,MATW,3.625,3.625,3.625,3.625,6000
1994-10-27,MATW,3.625,3.75,3.625,3.625,11200
1994-10-28,MATW,3.625,3.75,3.625,3.71875,10800
1994-10-31,MATW,3.8125,3.8125,3.625,3.8125,17200
1994-11-01,MATW,3.8125,3.8125,3.625,3.75,92000
1994-11-02,MATW,3.625,3.625,3.625,3.625,400
1994-11-03,MATW,3.625,3.71875,3.625,3.71875,26000
1994-11-04,MATW,3.625,3.625,3.625,3.625,2000
1994-11-07,MATW,3.625,3.625,3.625,3.625,0
1994-11-08,MATW,3.8125,3.8125,3.625,3.625,1600
1994-11-09,MATW,3.6875,3.6875,3.625,3.625,25600
1994-11-10,MATW,3.625,3.875,3.625,3.625,4400
1994-11-11,MATW,3.75,3.75,3.625,3.75,9600
1994-11-14,MATW,3.625,3.65625,3.625,3.625,11600
1994-11-15,MATW,3.6875,3.875,3.625,3.875,21600
1994-11-16,MATW,3.625,3.8125,3.625,3.625,8000
1994-11-17,MATW,3.75,3.75,3.625,3.65625,80400
1994-11-18,MATW,3.625,3.875,3.625,3.8125,106000
1994-11-21,MATW,3.8125,3.875,3.6875,3.78125,40000
1994-11-22,MATW,3.8125,3.8125,3.6875,3.6875,13200
1994-11-23,MATW,3.6875,3.6875,3.6875,3.6875,6800
1994-11-25,MATW,3.6875,3.6875,3.6875,3.6875,2000
1994-11-28,MATW,3.65625,3.6875,3.65625,3.65625,17200
1994-11-29,MATW,3.65625,3.75,3.65625,3.75,2800
1994-11-30,MATW,3.75,3.875,3.65625,3.875,16800
1994-12-01,MATW,3.65625,3.78125,3.625,3.625,15600
1994-12-02,MATW,3.75,3.75,3.75,3.75,1600
1994-12-05,MATW,3.625,3.8125,3.625,3.8125,6000
1994-12-06,MATW,3.625,3.6875,3.5625,3.625,58400
1994-12-07,MATW,3.5625,3.6875,3.5625,3.5625,9600
1994-12-08,MATW,3.5625,3.5625,3.5,3.5,11200
1994-12-09,MATW,3.5,3.625,3.5,3.5,14000
1994-12-12,MATW,3.5,3.6875,3.5,3.6875,7600
1994-12-13,MATW,3.5,3.625,3.5,3.5,6400
1994-12-14,MATW,3.5,3.625,3.46875,3.46875,89600
1994-12-15,MATW,3.4375,3.4375,3.4375,3.4375,10000
1994-12-16,MATW,3.4375,3.5,3.4375,3.4375,60800
1994-12-19,MATW,3.4375,3.4375,3.4375,3.4375,0
1994-12-20,MATW,3.4375,3.4375,3.4375,3.4375,12800
1994-12-21,MATW,3.4375,3.5625,3.4375,3.5625,5200
1994-12-22,MATW,3.4375,3.4375,3.4375,3.4375,7600
1994-12-23,MATW,3.4375,3.5625,3.4375,3.4375,28400
1994-12-27,MATW,3.4375,3.5625,3.4375,3.4375,4800
1994-12-28,MATW,3.5625,3.5625,3.5,3.5625,2400
1994-12-29,MATW,3.5625,3.5625,3.5625,3.5625,0
1994-12-30,MATW,3.4375,3.4375,3.4375,3.4375,800
1995-01-03,MATW,3.4375,3.4375,3.4375,3.4375,800
1995-01-04,MATW,3.4375,3.53125,3.4375,3.53125,8000
1995-01-05,MATW,3.5625,3.5625,3.4375,3.4375,10400
1995-01-06,MATW,3.5625,3.5625,3.5,3.5,1200
1995-01-09,MATW,3.4375,3.5625,3.4375,3.5625,2400
1995-01-10,MATW,3.4375,3.5625,3.4375,3.46875,16400
1995-01-11,MATW,3.4375,3.4375,3.4375,3.4375,22800
1995-01-12,MATW,3.4375,3.5625,3.4375,3.46875,8000
1995-01-13,MATW,3.4375,3.5625,3.375,3.375,57600
1995-01-16,MATW,3.5625,3.5625,3.375,3.375,5600
1995-01-17,MATW,3.375,3.4375,3.125,3.25,253600
1995-01-18,MATW,3.375,3.4375,3.25,3.25,14800
1995-01-19,MATW,3.25,3.375,3.25,3.25,12000
1995-01-20,MATW,3.4375,3.4375,3.25,3.25,8400
1995-01-23,MATW,3.28125,3.4375,3.28125,3.34375,40000
1995-01-24,MATW,3.25,3.4375,3.25,3.25,6400
1995-01-25,MATW,3.25,3.25,3.25,3.25,0
1995-01-26,MATW,3.4375,3.4375,3.25,3.34375,56400
1995-01-27,MATW,3.5,3.5,3.375,3.40625,38000
1995-01-30,MATW,3.5625,3.5625,3.375,3.5625,32000
1995-01-31,MATW,3.46875,3.5625,3.375,3.375,16000
1995-02-01,MATW,3.375,3.375,3.375,3.375,0
1995-02-02,MATW,3.625,3.625,3.4375,3.4375,14400
1995-02-03,MATW,3.5,3.59375,3.4375,3.59375,228800
1995-02-06,MATW,3.4375,3.5,3.4375,3.4375,11600
1995-02-07,MATW,3.4375,3.4375,3.4375,3.4375,0
1995-02-08,MATW,3.625,3.625,3.5,3.5,9600
1995-02-09,MATW,3.4375,3.53125,3.4375,3.4375,195200
1995-02-10,MATW,3.5,3.625,3.46875,3.46875,44400
1995-02-13,MATW,3.5,3.625,3.5,3.625,64400
1995-02-14,MATW,3.5625,3.625,3.5,3.59375,29600
1995-02-15,MATW,3.5,3.625,3.5,3.5,31200
1995-02-16,MATW,3.5,3.625,3.5,3.625,37200
1995-02-17,MATW,3.53125,3.625,3.53125,3.625,196400
1995-02-21,MATW,3.59375,3.59375,3.59375,3.59375,84800
1995-02-22,MATW,3.53125,3.65625,3.53125,3.59375,42000
1995-02-23,MATW,3.53125,3.6875,3.53125,3.59375,17200
1995-02-24,MATW,3.59375,3.6875,3.5625,3.625,61200
1995-02-27,MATW,3.625,3.6875,3.5625,3.625,79200
1995-02-28,MATW,3.6875,3.75,3.625,3.75,344000
1995-03-01,MATW,3.625,3.625,3.5625,3.5625,1600
1995-03-02,MATW,3.5625,3.5625,3.5625,3.5625,400
1995-03-03,MATW,3.625,3.625,3.625,3.625,34800
1995-03-06,MATW,3.6875,3.6875,3.5625,3.5625,136800
1995-03-07,MATW,3.625,3.6875,3.625,3.6875,41600
1995-03-08,MATW,3.625,3.6875,3.625,3.625,16800
1995-03-09,MATW,3.65625,3.65625,3.59375,3.65625,50000
1995-03-10,MATW,3.59375,3.59375,3.59375,3.59375,800
1995-03-13,MATW,3.59375,3.8125,3.59375,3.6875,189200
1995-03-14,MATW,3.75,3.8125,3.6875,3.8125,133200
1995-03-15,MATW,3.6875,3.9375,3.6875,3.875,204800
1995-03-16,MATW,3.8125,3.875,3.8125,3.8125,9200
