date,symbol,open,high,low,close,volume
1985-11-20,MCY,4.8125,4.875,4.8125,4.8125,9597600
1985-11-21,MCY,4.90625,4.9375,4.90625,4.90625,3405600
1985-11-22,MCY,5.0,5.03125,5.0,5.0,1866800
1985-11-25,MCY,4.96875,4.96875,4.9375,4.9375,1070800
1985-11-26,MCY,4.9375,4.96875,4.9375,4.9375,586000
1985-11-27,MCY,4.9375,4.9375,4.875,4.875,666800
1985-11-29,MCY,4.875,4.9375,4.875,4.875,499200
1985-12-02,MCY,4.75,4.75,4.6875,4.6875,870400
1985-12-03,MCY,4.71875,4.78125,4.71875,4.71875,318800
1985-12-04,MCY,4.71875,4.71875,4.65625,4.65625,864400
1985-12-05,MCY,4.71875,4.75,4.71875,4.71875,706000
1985-12-06,MCY,4.625,4.625,4.59375,4.59375,297600
1985-12-09,MCY,4.59375,4.625,4.53125,4.53125,208000
1985-12-10,MCY,4.5,4.5,4.46875,4.46875,402000
1985-12-11,MCY,4.53125,4.5625,4.53125,4.53125,528400
1985-12-12,MCY,4.65625,4.6875,4.65625,4.65625,1074000
1985-12-13,MCY,4.71875,4.75,4.71875,4.71875,270800
1985-12-16,MCY,4.8125,4.84375,4.8125,4.8125,615200
1985-12-17,MCY,4.8125,4.8125,4.78125,4.78125,1230000
1985-12-18,MCY,4.8125,4.84375,4.8125,4.8125,374800
1985-12-19,MCY,4.8125,4.875,4.8125,4.8125,214000
1985-12-20,MCY,4.84375,4.875,4.84375,4.84375,149600
1985-12-23,MCY,4.875,4.90625,4.875,4.875,173600
1985-12-24,MCY,4.875,4.90625,4.875,4.875,54000
1985-12-26,MCY,4.875,4.90625,4.875,4.875,63200
1985-12-27,MCY,4.875,4.90625,4.875,4.875,176000
1985-12-30,MCY,4.96875,5.0,4.96875,4.96875,509600
1985-12-31,MCY,4.96875,5.0,4.9375,4.9375,111600
1986-01-02,MCY,4.9375,5.0,4.9375,4.9375,60400
1986-01-03,MCY,4.9375,5.0,4.9375,4.9375,59600
1986-01-06,MCY,5.09375,5.15625,5.09375,5.09375,506800
1986-01-07,MCY,5.125,5.3125,5.125,5.25,485600
1986-01-08,MCY,5.25,5.40625,5.1875,5.1875,624400
1986-01-09,MCY,5.1875,5.25,5.0625,5.0625,287600
1986-01-10,MCY,5.0625,5.1875,5.0625,5.125,178000
1986-01-13,MCY,5.125,5.1875,5.125,5.125,166800
1986-01-14,MCY,5.125,5.1875,5.125,5.125,123600
1986-01-15,MCY,5.125,5.25,5.125,5.21875,130800
1986-01-16,MCY,5.21875,5.28125,5.1875,5.28125,266400
