date,symbol,open,high,low,close,volume
1992-10-23,MTX,8.125,8.5,8.0625,8.5,4786800
1992-10-26,MTX,8.5625,8.6875,8.5625,8.6875,1327600
1992-10-27,MTX,8.75,8.75,8.5625,8.625,573600
1992-10-28,MTX,8.5625,8.5625,8.375,8.5,709400
1992-10-29,MTX,8.5,8.625,8.5,8.625,423000
1992-10-30,MTX,8.6875,8.6875,8.5,8.5625,379800
1992-11-02,MTX,8.5,8.5,8.3125,8.375,351600
1992-11-03,MTX,8.375,8.4375,8.3125,8.375,226000
1992-11-04,MTX,8.3125,8.375,8.1875,8.25,210800
1992-11-05,MTX,8.25,8.5,8.1875,8.5,1037000
1992-11-06,MTX,8.5,8.625,8.4375,8.5625,449800
1992-11-09,MTX,8.625,8.75,8.625,8.6875,891800
1992-11-10,MTX,8.75,9.625,8.75,9.625,796000
1992-11-11,MTX,9.5,9.6875,9.3125,9.4375,644800
1992-11-12,MTX,9.5625,9.6875,9.5,9.6875,106200
1992-11-13,MTX,9.6875,10.0,9.6875,9.875,975200
1992-11-16,MTX,9.875,9.9375,9.8125,9.8125,246000
1992-11-17,MTX,9.875,9.875,9.75,9.875,250400
1992-11-18,MTX,9.875,10.25,9.8125,10.25,189600
1992-11-19,MTX,10.125,10.375,10.0,10.375,201600
1992-11-20,MTX,10.5625,10.875,10.5625,10.625,589200
1992-11-23,MTX,10.6875,10.75,10.25,10.4375,581400
1992-11-24,MTX,10.375,10.375,9.9375,10.0,458800
1992-11-25,MTX,10.0,10.0,9.9375,10.0,130400
1992-11-27,MTX,10.0,10.0,10.0,10.0,85800
1992-11-30,MTX,10.0,10.0,9.75,10.0,491400
1992-12-01,MTX,10.0,10.0,9.875,9.9375,163200
1992-12-02,MTX,10.0,10.0,9.75,9.75,409200
1992-12-03,MTX,9.75,9.75,9.6875,9.6875,47000
1992-12-04,MTX,9.75,9.75,9.6875,9.6875,66000
1992-12-07,MTX,9.625,9.625,9.4375,9.5625,231400
1992-12-08,MTX,9.5,9.5,9.5,9.5,248200
1992-12-09,MTX,9.5625,9.6875,9.5,9.5625,1079400
1992-12-10,MTX,9.5,9.5625,9.0,9.4375,379200
1992-12-11,MTX,9.375,10.0,9.375,9.875,187200
1992-12-14,MTX,9.875,9.9375,9.875,9.875,15200
1992-12-15,MTX,10.0,10.1875,10.0,10.125,74200
1992-12-16,MTX,10.25,10.625,10.25,10.5,60000
1992-12-17,MTX,10.5,10.5,10.25,10.25,119200
1992-12-18,MTX,10.1875,10.375,10.1875,10.25,26800
1992-12-21,MTX,10.3125,10.3125,9.75,9.9375,73200
1992-12-22,MTX,10.0,10.1875,10.0,10.1875,124400
1992-12-23,MTX,10.25,10.5,10.25,10.5,36600
1992-12-24,MTX,10.4375,10.5625,10.4375,10.5625,9800
1992-12-28,MTX,10.5,10.5625,10.3125,10.3125,39800
1992-12-29,MTX,10.375,10.375,9.9375,10.0,52000
1992-12-30,MTX,9.875,10.375,9.875,10.375,117000
1992-12-31,MTX,10.375,10.875,10.375,10.875,90400
1993-01-04,MTX,11.625,12.0,11.5,11.625,1099800
1993-01-05,MTX,11.5,11.8125,11.5,11.75,605400
1993-01-06,MTX,11.6875,12.0,11.6875,12.0,576200
