date,symbol,open,high,low,close,volume
2007-04-13,NOG,40.0,40.0,40.0,40.0,40
2007-04-16,NOG,40.0,40.0,40.0,40.0,0
2007-04-17,NOG,40.0,40.0,40.0,40.0,0
2007-04-18,NOG,40.0,40.0,40.0,40.0,0
2007-04-19,NOG,40.0,40.0,40.0,40.0,0
2007-04-20,NOG,40.0,40.0,40.0,40.0,0
2007-04-23,NOG,40.0,40.0,40.0,40.0,0
2007-04-24,NOG,40.0,40.0,40.0,40.0,0
2007-04-25,NOG,34.0,34.0,34.0,34.0,200
2007-04-26,NOG,34.0,34.0,34.0,34.0,0
2007-04-27,NOG,34.0,34.0,34.0,34.0,240
2007-04-30,NOG,34.0,34.0,34.0,34.0,0
2007-05-01,NOG,34.0,34.0,34.0,34.0,0
2007-05-02,NOG,37.5,40.0,37.5,40.0,200
2007-05-03,NOG,40.0,50.0,40.0,47.5,560
2007-05-04,NOG,50.0,50.0,41.0,45.0,310
2007-05-07,NOG,45.0,48.0,40.0,48.0,690
2007-05-08,NOG,48.0,48.0,48.0,48.0,0
2007-05-09,NOG,48.0,48.0,48.0,48.0,0
2007-05-10,NOG,49.0,49.0,49.0,49.0,50
2007-05-11,NOG,49.0,49.0,49.0,49.0,50
2007-05-14,NOG,49.0,49.0,49.0,49.0,50
2007-05-15,NOG,49.0,49.0,49.0,49.0,0
2007-05-16,NOG,49.0,49.0,49.0,49.0,0
2007-05-17,NOG,49.0,49.0,49.0,49.0,0
2007-05-18,NOG,48.0,48.0,47.5,47.5,200
2007-05-21,NOG,43.0,45.0,43.0,45.0,210
2007-05-22,NOG,44.0,45.0,44.0,44.0,400
2007-05-23,NOG,44.0,44.0,44.0,44.0,20
2007-05-24,NOG,42.0,44.0,41.0,44.0,160
2007-05-25,NOG,44.0,44.0,44.0,44.0,100
2007-05-29,NOG,44.0,44.0,44.0,44.0,0
2007-05-30,NOG,43.0,43.0,41.5,41.5,100
2007-05-31,NOG,43.0,43.0,43.0,43.0,100
2007-06-01,NOG,42.5,42.5,42.5,42.5,130
2007-06-04,NOG,42.5,43.0,41.5,43.0,340
2007-06-05,NOG,42.5,42.5,40.0,40.0,350
2007-06-06,NOG,44.0,44.0,43.5,44.0,530
2007-06-07,NOG,44.0,44.0,40.0,43.0,220
2007-06-08,NOG,44.0,44.0,42.0,43.0,350
2007-06-11,NOG,43.0,43.0,43.0,43.0,30
2007-06-12,NOG,41.0,43.5,41.0,43.5,100
2007-06-13,NOG,43.5,43.5,43.5,43.5,0
2007-06-14,NOG,43.5,43.5,43.5,43.5,330
2007-06-15,NOG,43.5,43.5,41.0,41.0,140
2007-06-18,NOG,40.0,43.5,40.0,43.5,60
2007-06-19,NOG,43.5,43.5,43.5,43.5,200
2007-06-20,NOG,45.0,45.0,43.0,45.0,530
2007-06-21,NOG,46.0,46.0,45.5,45.5,260
2007-06-22,NOG,46.0,55.0,45.5,55.0,580
2007-06-25,NOG,50.0,54.0,50.0,50.0,440
2007-06-26,NOG,43.0,46.5,42.0,43.0,260
2007-06-27,NOG,44.0,52.5,44.0,52.0,1900
2007-06-28,NOG,51.0,52.5,51.0,52.5,360
2007-06-29,NOG,52.5,52.5,52.5,52.5,200
2007-07-02,NOG,54.0,54.0,53.5,54.0,360
2007-07-03,NOG,49.5,55.0,49.5,55.0,90
2007-07-05,NOG,55.0,55.0,55.0,55.0,0
2007-07-06,NOG,55.0,56.0,55.0,56.0,490
2007-07-09,NOG,52.0,57.5,44.0,57.5,1070
2007-07-10,NOG,57.0,60.0,56.0,60.0,450
2007-07-11,NOG,60.0,60.0,60.0,60.0,0
2007-07-12,NOG,55.0,55.0,55.0,55.0,100
2007-07-13,NOG,55.0,55.0,55.0,55.0,0
2007-07-16,NOG,56.5,56.5,56.5,56.5,50
2007-07-17,NOG,56.5,56.5,56.5,56.5,0
2007-07-18,NOG,55.0,55.0,55.0,55.0,60
2007-07-19,NOG,60.0,60.0,52.5,52.5,240
2007-07-20,NOG,50.0,50.0,45.0,50.0,720
2007-07-23,NOG,52.5,53.0,52.5,53.0,210
2007-07-24,NOG,54.0,55.0,54.0,54.0,200
2007-07-25,NOG,54.0,54.0,54.0,54.0,0
2007-07-26,NOG,54.0,54.0,54.0,54.0,0
2007-07-27,NOG,54.0,54.0,54.0,54.0,0
2007-07-30,NOG,51.0,51.0,50.0,50.0,250
2007-07-31,NOG,50.0,50.0,50.0,50.0,70
2007-08-01,NOG,52.5,52.5,52.5,52.5,20
2007-08-02,NOG,52.5,52.5,52.5,52.5,0
2007-08-03,NOG,52.5,52.5,52.5,52.5,30
2007-08-06,NOG,52.5,52.5,52.5,52.5,0
2007-08-07,NOG,52.5,52.5,52.5,52.5,0
2007-08-08,NOG,51.0,52.5,51.0,52.5,150
2007-08-09,NOG,43.0,52.5,43.0,52.5,20
2007-08-10,NOG,46.0,49.900001525878906,43.0,49.0,190
2007-08-13,NOG,48.5,48.5,47.5,47.5,90
2007-08-14,NOG,49.5,52.5,49.5,50.0,1370
