date,symbol,open,high,low,close,volume
1973-02-21,OTTR,5.28125,5.28125,5.28125,5.28125,5600
1973-02-22,OTTR,5.21875,5.21875,5.21875,5.21875,6800
1973-02-23,OTTR,5.0625,5.0625,5.0625,5.0625,4800
1973-02-26,OTTR,5.0,5.0,5.0,5.0,5200
1973-02-27,OTTR,5.09375,5.09375,5.09375,5.09375,9600
1973-02-28,OTTR,5.125,5.125,5.125,5.125,4000
1973-03-01,OTTR,5.125,5.125,5.125,5.125,5600
1973-03-02,OTTR,5.125,5.125,5.125,5.125,1600
1973-03-05,OTTR,5.125,5.125,5.125,5.125,1600
1973-03-06,OTTR,5.125,5.125,5.125,5.125,1200
1973-03-07,OTTR,5.125,5.125,5.125,5.125,6800
1973-03-08,OTTR,5.09375,5.09375,5.09375,5.09375,3600
1973-03-09,OTTR,5.0625,5.0625,5.0625,5.0625,5200
1973-03-12,OTTR,5.125,5.125,5.125,5.125,800
1973-03-13,OTTR,5.15625,5.15625,5.15625,5.15625,6000
1973-03-14,OTTR,5.3125,5.3125,5.3125,5.3125,13600
1973-03-15,OTTR,5.34375,5.34375,5.34375,5.34375,5200
1973-03-16,OTTR,5.3125,5.3125,5.3125,5.3125,6400
1973-03-19,OTTR,5.25,5.25,5.25,5.25,9200
1973-03-20,OTTR,5.21875,5.21875,5.21875,5.21875,400
1973-03-21,OTTR,5.21875,5.21875,5.21875,5.21875,5600
1973-03-22,OTTR,5.1875,5.1875,5.1875,5.1875,2000
1973-03-23,OTTR,5.1875,5.1875,5.1875,5.1875,1200
1973-03-26,OTTR,5.1875,5.1875,5.1875,5.1875,2000
1973-03-27,OTTR,5.21875,5.21875,5.21875,5.21875,2400
1973-03-28,OTTR,5.21875,5.21875,5.21875,5.21875,4400
1973-03-29,OTTR,5.40625,5.40625,5.40625,5.40625,14000
1973-03-30,OTTR,5.4375,5.4375,5.4375,5.4375,16800
1973-04-02,OTTR,5.4375,5.4375,5.4375,5.4375,2000
1973-04-03,OTTR,5.4375,5.4375,5.4375,5.4375,8800
1973-04-04,OTTR,5.4375,5.4375,5.4375,5.4375,1600
1973-04-05,OTTR,5.375,5.375,5.375,5.375,3200
1973-04-06,OTTR,5.375,5.375,5.375,5.375,1600
1973-04-09,OTTR,5.40625,5.40625,5.40625,5.40625,5200
1973-04-10,OTTR,5.46875,5.46875,5.46875,5.46875,12400
1973-04-11,OTTR,5.375,5.375,5.375,5.375,6000
1973-04-12,OTTR,5.375,5.375,5.375,5.375,2000
1973-04-13,OTTR,5.40625,5.40625,5.40625,5.40625,2800
1973-04-16,OTTR,5.375,5.375,5.375,5.375,4000
1973-04-17,OTTR,5.375,5.375,5.375,5.375,1200
1973-04-18,OTTR,5.375,5.375,5.375,5.375,9200
1973-04-19,OTTR,5.375,5.375,5.375,5.375,400
1973-04-23,OTTR,5.375,5.375,5.375,5.375,1200
1973-04-24,OTTR,5.34375,5.34375,5.34375,5.34375,18000
1973-04-25,OTTR,5.25,5.25,5.25,5.25,7600
1973-04-26,OTTR,5.21875,5.21875,5.21875,5.21875,2000
1973-04-27,OTTR,5.1875,5.1875,5.1875,5.1875,2000
1973-04-30,OTTR,5.15625,5.15625,5.15625,5.15625,2000
1973-05-01,OTTR,5.15625,5.15625,5.15625,5.15625,2800
1973-05-02,OTTR,4.90625,4.90625,4.90625,4.90625,13200
1973-05-03,OTTR,5.0,5.125,5.0,5.0,5200
1973-05-04,OTTR,5.0,5.125,5.0,5.0,800
1973-05-07,OTTR,5.03125,5.15625,5.03125,5.03125,2000
1973-05-08,OTTR,5.15625,5.28125,5.15625,5.15625,8000
1973-05-09,OTTR,5.15625,5.25,5.125,5.125,1600
1973-05-10,OTTR,5.125,5.1875,5.0625,5.0625,6400
1973-05-11,OTTR,5.0625,5.125,5.0,5.0,6800
1973-05-14,OTTR,5.0,5.03125,4.90625,4.90625,5600
1973-05-15,OTTR,4.90625,4.96875,4.84375,4.84375,5600
1973-05-16,OTTR,4.84375,4.84375,4.71875,4.71875,13200
1973-05-17,OTTR,4.875,5.0,4.875,4.875,9200
1973-05-18,OTTR,4.875,4.875,4.75,4.75,4000
1973-05-21,OTTR,4.75,4.8125,4.6875,4.6875,26400
1973-05-22,OTTR,4.84375,4.96875,4.84375,4.84375,16800
1973-05-23,OTTR,4.875,5.0,4.875,4.875,6000
1973-05-24,OTTR,4.96875,5.09375,4.96875,4.96875,9600
1973-05-25,OTTR,5.0,5.125,5.0,5.0,7200
1973-05-29,OTTR,5.0,5.03125,4.90625,4.90625,11600
1973-05-30,OTTR,4.9375,5.0625,4.9375,4.9375,3200
1973-05-31,OTTR,4.9375,5.0625,4.9375,4.9375,4800
1973-06-01,OTTR,4.96875,5.09375,4.96875,4.96875,26400
1973-06-04,OTTR,4.96875,5.0625,4.9375,4.9375,14000
1973-06-05,OTTR,4.96875,5.09375,4.96875,4.96875,18000
1973-06-06,OTTR,4.96875,5.0625,4.9375,4.9375,19200
1973-06-07,OTTR,4.9375,5.0625,4.9375,4.9375,13200
1973-06-08,OTTR,4.96875,5.09375,4.96875,4.96875,9600
1973-06-11,OTTR,5.0,5.125,5.0,5.0,41200
1973-06-12,OTTR,5.03125,5.15625,5.03125,5.03125,6400
1973-06-13,OTTR,5.03125,5.125,5.0,5.0,14400
1973-06-14,OTTR,5.0,5.09375,4.96875,4.96875,9200
1973-06-15,OTTR,4.96875,5.0625,4.9375,4.9375,9600
1973-06-18,OTTR,4.9375,5.0625,4.9375,4.9375,4800
1973-06-19,OTTR,4.96875,5.09375,4.96875,4.96875,4000
1973-06-20,OTTR,5.0,5.125,5.0,5.0,7600
1973-06-21,OTTR,5.0,5.0625,4.9375,4.9375,5200
1973-06-22,OTTR,4.9375,5.0625,4.9375,4.9375,1600
1973-06-25,OTTR,4.9375,5.0625,4.9375,4.9375,12400
1973-06-26,OTTR,4.9375,5.0625,4.9375,4.9375,1200
1973-06-27,OTTR,4.9375,5.0625,4.9375,4.9375,1200
1973-06-28,OTTR,4.9375,5.0625,4.9375,4.9375,1600
1973-06-29,OTTR,4.9375,5.0625,4.9375,4.9375,5200
1973-07-02,OTTR,4.9375,5.0625,4.9375,4.9375,5600
1973-07-03,OTTR,4.9375,5.0625,4.9375,4.9375,8000
1973-07-05,OTTR,4.96875,5.09375,4.96875,4.96875,6400
1973-07-06,OTTR,4.96875,5.09375,4.96875,4.96875,3600
1973-07-09,OTTR,4.96875,5.09375,4.96875,4.96875,2400
1973-07-10,OTTR,5.03125,5.15625,5.03125,5.03125,4000
1973-07-11,OTTR,5.03125,5.15625,5.03125,5.03125,6400
1973-07-12,OTTR,5.03125,5.125,5.0,5.0,6000
1973-07-13,OTTR,5.03125,5.15625,5.03125,5.03125,12000
1973-07-16,OTTR,5.03125,5.125,5.0,5.0,5600
1973-07-17,OTTR,5.03125,5.15625,5.03125,5.03125,4800
1973-07-18,OTTR,5.0625,5.1875,5.0625,5.0625,5200
1973-07-19,OTTR,5.09375,5.21875,5.09375,5.09375,6800
1973-07-20,OTTR,5.09375,5.15625,5.03125,5.03125,4800
