date,symbol,open,high,low,close,volume
1991-09-04,PRA,4.125,4.625,4.125,4.125,1214800
1991-09-05,PRA,4.125,4.3125,4.125,4.125,666400
1991-09-06,PRA,4.125,4.1875,4.0,4.0,496000
1991-09-09,PRA,4.0,4.21875,4.0,4.0,47200
1991-09-10,PRA,4.0,4.1875,4.0,4.1875,136400
1991-09-11,PRA,4.1875,4.1875,4.0,4.1875,25200
1991-09-12,PRA,4.1875,4.25,4.0625,4.25,109600
1991-09-13,PRA,4.25,4.25,4.25,4.25,0
1991-09-16,PRA,4.25,4.25,4.25,4.25,0
1991-09-17,PRA,4.25,4.3125,4.125,4.125,6000
1991-09-18,PRA,4.1875,4.3125,4.1875,4.1875,10000
1991-09-19,PRA,4.125,4.125,4.125,4.125,800
1991-09-20,PRA,4.125,4.125,4.125,4.125,3200
1991-09-23,PRA,4.125,4.3125,4.125,4.25,19200
1991-09-24,PRA,4.25,4.28125,4.125,4.1875,159200
1991-09-25,PRA,4.1875,4.28125,4.125,4.28125,170800
1991-09-26,PRA,4.28125,4.3125,4.0625,4.0625,177200
1991-09-27,PRA,4.15625,4.25,4.15625,4.25,60400
1991-09-30,PRA,4.25,4.25,4.25,4.25,0
1991-10-01,PRA,4.21875,4.21875,4.0625,4.0625,128800
1991-10-02,PRA,4.0625,4.1875,4.0625,4.1875,35600
1991-10-03,PRA,4.125,4.125,4.125,4.125,4000
1991-10-04,PRA,4.125,4.125,4.125,4.125,10400
1991-10-07,PRA,4.25,4.25,4.25,4.25,2400
1991-10-08,PRA,4.21875,4.21875,4.125,4.21875,36800
1991-10-09,PRA,4.21875,4.25,4.0,4.09375,440000
1991-10-10,PRA,4.0625,4.0625,4.0,4.0,42000
1991-10-11,PRA,4.0625,4.09375,4.0625,4.09375,40000
1991-10-14,PRA,4.09375,4.1875,4.0625,4.1875,81200
1991-10-15,PRA,4.1875,4.1875,4.1875,4.1875,0
1991-10-16,PRA,4.125,4.125,4.0,4.0625,240000
1991-10-17,PRA,4.0625,4.125,4.0,4.03125,300000
1991-10-18,PRA,4.1875,4.1875,4.1875,4.1875,400
1991-10-21,PRA,4.1875,4.1875,4.0,4.0,56800
1991-10-22,PRA,4.0,4.125,4.0,4.0,42800
1991-10-23,PRA,4.0,4.0625,4.0,4.03125,132000
1991-10-24,PRA,4.03125,4.125,4.0,4.125,32000
1991-10-25,PRA,4.125,4.125,4.0625,4.125,42000
1991-10-28,PRA,4.0625,4.0625,4.0,4.0625,46000
1991-10-29,PRA,4.0,4.0,4.0,4.0,14800
1991-10-30,PRA,4.0,4.0,4.0,4.0,20000
1991-10-31,PRA,4.0,4.1875,4.0,4.1875,74000
1991-11-01,PRA,4.125,4.125,4.0,4.125,50000
1991-11-04,PRA,4.125,4.125,4.125,4.125,0
1991-11-05,PRA,4.125,4.125,4.125,4.125,0
1991-11-06,PRA,4.125,4.1875,4.0,4.1875,58400
1991-11-07,PRA,4.1875,4.3125,4.0625,4.3125,103600
1991-11-08,PRA,4.3125,4.4375,4.1875,4.4375,66000
1991-11-11,PRA,4.5,4.5,4.25,4.4375,6400
1991-11-12,PRA,4.5,4.5,4.5,4.5,16800
1991-11-13,PRA,4.34375,4.4375,4.25,4.4375,328400
