date,symbol,open,high,low,close,volume
1980-03-17,ROG,4.9375,5.0625,4.9375,4.96875,8800
1980-03-18,ROG,4.9375,4.9375,4.8125,4.875,14000
1980-03-19,ROG,4.875,5.1875,4.8125,5.125,22000
1980-03-20,ROG,5.125,5.40625,5.0625,5.40625,21600
1980-03-21,ROG,5.25,5.25,5.25,5.25,4000
1980-03-24,ROG,5.15625,5.15625,4.6875,4.78125,30800
1980-03-25,ROG,4.78125,4.84375,4.71875,4.75,27200
1980-03-26,ROG,4.75,4.8125,4.71875,4.71875,8800
1980-03-27,ROG,4.625,4.625,4.25,4.4375,50800
1980-03-28,ROG,4.71875,4.9375,4.71875,4.8125,52000
1980-03-31,ROG,4.8125,4.875,4.75,4.75,9200
1980-04-01,ROG,4.75,4.9375,4.75,4.9375,4800
1980-04-02,ROG,4.9375,4.96875,4.625,4.96875,69600
1980-04-03,ROG,4.96875,5.0,4.875,4.90625,4400
1980-04-07,ROG,4.84375,4.84375,4.6875,4.6875,2800
1980-04-08,ROG,4.65625,4.65625,4.46875,4.65625,29200
1980-04-09,ROG,4.6875,5.1875,4.6875,5.1875,35600
1980-04-10,ROG,5.3125,5.5625,5.3125,5.5,46400
1980-04-11,ROG,5.5,5.59375,5.40625,5.5,12400
1980-04-14,ROG,5.40625,5.40625,5.375,5.40625,3200
1980-04-15,ROG,5.34375,5.34375,5.25,5.25,11200
1980-04-16,ROG,5.15625,5.15625,4.84375,4.84375,19600
1980-04-17,ROG,4.6875,4.6875,4.6875,4.6875,8800
1980-04-18,ROG,4.65625,4.65625,4.5625,4.5625,4400
1980-04-21,ROG,4.5625,4.59375,4.5625,4.5625,1200
1980-04-22,ROG,4.625,5.15625,4.625,5.15625,35200
1980-04-23,ROG,5.15625,5.3125,5.125,5.125,77200
1980-04-24,ROG,5.125,5.3125,5.125,5.3125,10400
1980-04-25,ROG,5.3125,5.59375,5.1875,5.59375,86000
1980-04-28,ROG,5.59375,5.59375,5.4375,5.4375,30800
1980-04-29,ROG,5.4375,5.875,5.375,5.875,57600
1980-04-30,ROG,5.875,5.9375,5.75,5.9375,14400
1980-05-01,ROG,5.875,5.875,5.5625,5.75,19600
1980-05-02,ROG,5.71875,5.71875,5.375,5.46875,22800
1980-05-05,ROG,5.40625,5.40625,5.25,5.28125,8800
1980-05-06,ROG,5.28125,5.3125,5.21875,5.25,1600
1980-05-07,ROG,5.25,5.4375,5.15625,5.4375,66400
1980-05-08,ROG,5.46875,5.8125,5.46875,5.8125,80000
