date,symbol,open,high,low,close,volume
1995-08-04,RWT,16.0,17.25,16.0,17.125,939900
1995-08-07,RWT,16.75,18.25,16.75,17.0,176300
1995-08-08,RWT,17.5,17.75,17.0,17.375,75600
1995-08-09,RWT,17.5,18.0,17.5,18.0,88900
1995-08-10,RWT,17.5,17.625,17.5,17.5,34500
1995-08-11,RWT,17.5,18.0,17.5,17.625,14600
1995-08-14,RWT,18.0,18.0,16.875,16.875,30000
1995-08-15,RWT,16.875,17.5,16.875,16.875,24100
1995-08-16,RWT,17.125,17.5,17.0,17.5,7100
1995-08-17,RWT,17.5,17.5,17.125,17.5,28300
1995-08-18,RWT,17.5,17.5,17.0,17.25,5600
1995-08-21,RWT,17.0,17.5,17.0,17.375,11900
1995-08-22,RWT,17.0,18.25,17.0,18.0,125400
1995-08-23,RWT,18.0,18.25,17.5,18.25,99000
1995-08-24,RWT,18.25,19.5,17.75,19.0,128600
1995-08-25,RWT,19.125,19.25,19.0,19.0,48500
1995-08-28,RWT,19.0,19.25,19.0,19.125,47800
1995-08-29,RWT,19.0,19.25,19.0,19.125,51600
1995-08-30,RWT,19.0,20.0,19.0,19.875,61400
1995-08-31,RWT,19.5,20.75,19.5,20.25,171800
1995-09-01,RWT,20.75,20.75,20.25,20.75,163400
1995-09-05,RWT,20.75,21.0,20.5,20.5,20400
1995-09-06,RWT,20.625,20.875,20.5,20.625,39100
1995-09-07,RWT,20.5,21.0,20.5,20.5,43200
1995-09-08,RWT,20.5,21.0,20.5,20.875,13800
1995-09-11,RWT,21.0,22.375,20.75,22.0,123600
1995-09-12,RWT,22.25,22.25,21.5,21.875,301600
1995-09-13,RWT,22.0,22.25,21.625,21.625,45700
1995-09-14,RWT,21.625,21.625,21.5,21.5,63200
1995-09-15,RWT,21.5,21.5,21.5,21.5,400
1995-09-18,RWT,21.75,21.75,21.25,21.5,12900
1995-09-19,RWT,21.3125,21.5,21.25,21.5,51800
1995-09-20,RWT,21.25,21.75,21.25,21.25,69600
1995-09-21,RWT,21.0,21.25,20.75,21.0,57700
1995-09-22,RWT,21.0625,21.25,20.5,20.5,34900
1995-09-25,RWT,20.5,20.875,20.25,20.375,31500
1995-09-26,RWT,19.75,20.25,19.75,20.25,19900
1995-09-27,RWT,19.5,19.875,19.5,19.875,32600
1995-09-28,RWT,19.5,20.25,19.25,20.0,58000
1995-09-29,RWT,20.25,20.25,20.0,20.125,13900
1995-10-02,RWT,20.25,20.25,20.0,20.125,12500
1995-10-03,RWT,20.125,20.125,19.75,20.125,51000
1995-10-04,RWT,20.125,20.125,19.75,19.875,10400
1995-10-05,RWT,19.875,19.875,19.875,19.875,0
1995-10-06,RWT,20.25,20.25,19.75,20.0,96500
1995-10-09,RWT,19.75,20.25,19.5625,19.5625,6500
1995-10-10,RWT,19.5,19.75,19.125,19.75,51700
1995-10-11,RWT,19.75,19.75,19.25,19.75,90200
1995-10-12,RWT,19.75,20.25,19.5,20.25,45600
1995-10-13,RWT,19.75,20.0,19.75,20.0,3100
1995-10-16,RWT,20.25,20.75,20.0,20.75,63200
1995-10-17,RWT,20.875,21.0,20.375,20.375,4300
1995-10-18,RWT,20.5,21.5,20.5,21.5,23000
1995-10-19,RWT,22.0,22.25,21.5,21.875,78100
1995-10-20,RWT,21.875,22.0,21.75,22.0,110300
1995-10-23,RWT,21.5,22.0,21.5,22.0,62100
1995-10-24,RWT,21.625,21.75,21.5,21.75,70000
1995-10-25,RWT,22.25,22.25,21.5,21.5,300
1995-10-26,RWT,21.5,21.75,20.875,21.125,71600
