date,symbol,open,high,low,close,volume
1983-04-14,TILE,4.625,4.75,4.625,4.625,2984800
1983-04-15,TILE,4.625,4.625,4.5625,4.5625,963200
1983-04-18,TILE,4.5625,4.8125,4.5625,4.5625,660400
1983-04-19,TILE,4.75,4.875,4.75,4.75,441200
1983-04-20,TILE,4.8125,4.875,4.8125,4.8125,318000
1983-04-21,TILE,4.875,5.0625,4.875,4.875,180000
1983-04-22,TILE,5.0625,5.1875,5.0625,5.0625,204000
1983-04-25,TILE,5.125,5.3125,5.125,5.125,347600
1983-04-26,TILE,5.25,5.375,5.25,5.25,164800
1983-04-27,TILE,5.5,5.5625,5.5,5.5,300800
1983-04-28,TILE,5.5,5.5,5.375,5.375,113200
1983-04-29,TILE,5.375,5.5,5.375,5.375,77200
1983-05-02,TILE,5.1875,5.1875,5.125,5.125,132000
1983-05-03,TILE,5.1875,5.3125,5.1875,5.1875,109600
1983-05-04,TILE,5.25,5.375,5.25,5.25,130000
1983-05-05,TILE,5.3125,5.5,5.3125,5.3125,69200
1983-05-06,TILE,5.625,5.75,5.625,5.625,256800
1983-05-09,TILE,5.625,5.8125,5.625,5.625,119600
1983-05-10,TILE,5.9375,6.0625,5.9375,5.9375,128000
1983-05-11,TILE,5.9375,6.0,5.8125,5.8125,242400
1983-05-12,TILE,5.875,6.0,5.875,5.875,154400
1983-05-13,TILE,5.875,6.0,5.875,5.875,228800
1983-05-16,TILE,5.75,5.75,5.625,5.625,34800
1983-05-17,TILE,5.6875,5.8125,5.6875,5.6875,145600
1983-05-18,TILE,5.75,5.8125,5.75,5.75,38000
1983-05-19,TILE,5.75,5.8125,5.6875,5.6875,86400
1983-05-20,TILE,5.6875,5.8125,5.625,5.625,52000
1983-05-23,TILE,5.8125,6.0,5.8125,5.8125,104800
1983-05-24,TILE,6.1875,6.3125,6.1875,6.1875,110000
1983-05-25,TILE,6.25,6.375,6.25,6.25,29600
1983-05-26,TILE,6.3125,6.5,6.3125,6.3125,425600
1983-05-27,TILE,6.5,6.6875,6.5,6.5,213600
1983-05-31,TILE,6.5625,6.6875,6.5625,6.5625,140800
1983-06-01,TILE,6.5625,6.625,6.5,6.5,59200
1983-06-02,TILE,6.4375,6.4375,6.3125,6.3125,16800
1983-06-03,TILE,6.3125,6.4375,6.25,6.25,64800
1983-06-06,TILE,6.3125,6.4375,6.3125,6.3125,87600
1983-06-07,TILE,6.4375,6.5625,6.4375,6.4375,78000
1983-06-08,TILE,6.875,7.0625,6.875,6.875,96000
1983-06-09,TILE,7.25,7.375,7.25,7.25,183200
1983-06-10,TILE,7.25,7.375,7.25,7.25,76000
1983-06-13,TILE,7.5,7.625,7.5,7.5,175200
1983-06-14,TILE,8.0,8.125,8.0,8.0,536800
1983-06-15,TILE,8.0,8.1875,8.0,8.0,94400
1983-06-16,TILE,8.125,8.1875,8.125,8.125,42400
1983-06-17,TILE,8.0625,8.0625,8.0,8.0,240800
1983-06-20,TILE,8.0625,8.1875,8.0625,8.0625,78000
1983-06-21,TILE,7.875,7.875,7.6875,7.6875,191600
1983-06-22,TILE,7.8125,7.9375,7.8125,7.8125,225600
1983-06-23,TILE,7.75,7.75,7.6875,7.6875,124000
1983-06-24,TILE,7.6875,7.6875,7.5,7.5,58800
1983-06-27,TILE,7.5,7.5,7.375,7.375,99200
1983-06-28,TILE,6.875,6.875,6.75,6.75,253600
1983-06-29,TILE,6.9375,7.125,6.9375,6.9375,262000
1983-06-30,TILE,7.25,7.4375,7.25,7.25,46400
1983-07-01,TILE,7.25,7.4375,7.25,7.25,47600
1983-07-05,TILE,7.1875,7.1875,7.0,7.0,15600
1983-07-06,TILE,7.0,7.0625,6.875,6.875,83600
1983-07-07,TILE,6.875,6.9375,6.75,6.75,56000
1983-07-08,TILE,6.75,6.875,6.75,6.75,16400
1983-07-11,TILE,6.8125,6.875,6.8125,6.8125,210400
1983-07-12,TILE,6.5625,6.5625,6.375,6.375,44400
1983-07-13,TILE,6.125,6.125,6.0,6.0,185200
