date,symbol,open,high,low,close,volume
1987-04-23,FUN,4.875,5.0,4.875,5.0,2902200
1987-04-24,FUN,5.0,5.0,4.9375,5.0,1401800
1987-04-27,FUN,5.0,5.0,4.875,5.0,290400
1987-04-28,FUN,5.0,5.0,4.9375,5.0,89000
1987-04-29,FUN,5.0,5.0,4.9375,5.0,67000
1987-04-30,FUN,5.0,5.0,4.9375,5.0,176000
1987-05-01,FUN,5.0,5.0,4.9375,5.0,98400
1987-05-04,FUN,5.0,5.0,4.9375,5.0,69800
1987-05-05,FUN,5.0,5.0,4.9375,5.0,94000
1987-05-06,FUN,5.0,5.0,4.9375,5.0,103000
1987-05-07,FUN,5.0,5.0,4.9375,5.0,93400
1987-05-08,FUN,5.0,5.0,4.9375,5.0,175400
1987-05-11,FUN,5.0,5.0,4.9375,5.0,209800
1987-05-12,FUN,5.0,5.0,4.9375,4.9375,90800
1987-05-13,FUN,4.9375,4.9375,4.875,4.9375,59400
1987-05-14,FUN,4.9375,4.9375,4.875,4.9375,120600
1987-05-15,FUN,4.9375,4.9375,4.875,4.875,102800
1987-05-18,FUN,4.875,4.875,4.8125,4.8125,233200
1987-05-19,FUN,4.8125,4.8125,4.75,4.8125,309200
1987-05-20,FUN,4.8125,4.8125,4.75,4.75,170400
1987-05-21,FUN,4.75,4.8125,4.75,4.8125,121600
1987-05-22,FUN,4.8125,4.8125,4.75,4.75,63800
1987-05-26,FUN,4.75,4.875,4.75,4.8125,357600
1987-05-27,FUN,4.8125,4.875,4.75,4.75,92600
1987-05-28,FUN,4.75,4.8125,4.75,4.8125,77000
1987-05-29,FUN,4.8125,4.875,4.75,4.8125,71600
1987-06-01,FUN,4.8125,5.125,4.8125,5.0,480800
1987-06-02,FUN,5.0,5.0,4.875,4.875,184000
1987-06-03,FUN,4.875,4.875,4.8125,4.8125,72600
1987-06-04,FUN,4.8125,4.875,4.8125,4.875,85000
1987-06-05,FUN,4.875,4.875,4.8125,4.875,187600
1987-06-08,FUN,4.875,4.9375,4.8125,4.9375,68600
1987-06-09,FUN,4.9375,4.9375,4.9375,4.9375,79800
1987-06-10,FUN,4.9375,4.9375,4.875,4.9375,86400
1987-06-11,FUN,4.9375,4.9375,4.875,4.9375,65000
1987-06-12,FUN,4.9375,4.9375,4.875,4.875,88600
1987-06-15,FUN,4.875,4.9375,4.875,4.875,101000
1987-06-16,FUN,4.875,4.9375,4.875,4.9375,73600
1987-06-17,FUN,4.9375,4.9375,4.875,4.875,25200
1987-06-18,FUN,4.875,4.9375,4.8125,4.9375,114200
1987-06-19,FUN,4.9375,4.9375,4.8125,4.9375,19600
1987-06-22,FUN,4.9375,4.9375,4.8125,4.8125,29800
1987-06-23,FUN,4.8125,4.875,4.8125,4.875,59000
1987-06-24,FUN,4.875,4.875,4.8125,4.875,32600
1987-06-25,FUN,4.875,4.9375,4.8125,4.875,14000
1987-06-26,FUN,4.875,4.9375,4.875,4.9375,36800
1987-06-29,FUN,4.9375,4.9375,4.8125,4.8125,30400
1987-06-30,FUN,4.8125,4.875,4.8125,4.875,16400
1987-07-01,FUN,4.875,4.875,4.75,4.75,32600
1987-07-02,FUN,4.75,4.8125,4.5625,4.625,38800
1987-07-06,FUN,4.5625,4.5625,4.375,4.4375,133200
1987-07-07,FUN,4.4375,4.625,4.4375,4.625,101800
1987-07-08,FUN,4.625,4.625,4.5625,4.5625,342600
1987-07-09,FUN,4.5625,4.6875,4.5625,4.625,26000
1987-07-10,FUN,4.625,4.6875,4.625,4.625,24400
1987-07-13,FUN,4.625,4.6875,4.5,4.6875,69000
1987-07-14,FUN,4.6875,4.75,4.625,4.75,86400
1987-07-15,FUN,4.75,4.75,4.6875,4.75,45400
1987-07-16,FUN,4.75,4.75,4.625,4.6875,52800
1987-07-17,FUN,4.6875,4.6875,4.625,4.625,27200
1987-07-20,FUN,4.625,4.6875,4.625,4.6875,76000
1987-07-21,FUN,4.6875,4.6875,4.625,4.625,58800
1987-07-22,FUN,4.625,4.6875,4.625,4.625,33000
1987-07-23,FUN,4.625,4.6875,4.625,4.625,37000
1987-07-24,FUN,4.625,4.6875,4.625,4.625,51000
1987-07-27,FUN,4.625,4.75,4.625,4.75,50000
1987-07-28,FUN,4.75,4.75,4.625,4.6875,37800
1987-07-29,FUN,4.6875,4.6875,4.625,4.6875,36200
1987-07-30,FUN,4.6875,4.6875,4.625,4.6875,46800
1987-07-31,FUN,4.6875,4.75,4.6875,4.75,19600
1987-08-03,FUN,4.75,4.75,4.625,4.6875,51200
1987-08-04,FUN,4.6875,4.6875,4.625,4.625,47000
