date,symbol,open,high,low,close,volume
1993-11-03,MHO,7.1875,7.375,7.0625,7.1875,2423400
1993-11-04,MHO,7.1875,7.25,7.0,7.0,379400
1993-11-05,MHO,7.0,7.0625,6.875,6.875,633800
1993-11-08,MHO,6.875,6.9375,6.875,6.9375,86600
1993-11-09,MHO,6.9375,7.0,6.875,6.875,179200
1993-11-10,MHO,6.875,7.25,6.8125,7.0625,151400
1993-11-11,MHO,7.125,7.375,7.0,7.3125,287200
1993-11-12,MHO,7.375,7.4375,7.125,7.3125,155600
1993-11-15,MHO,7.25,7.375,7.25,7.3125,139400
1993-11-16,MHO,7.25,7.3125,7.0625,7.125,89200
1993-11-17,MHO,7.0,7.1875,7.0,7.0,33600
1993-11-18,MHO,7.0625,7.0625,6.875,7.0,50400
1993-11-19,MHO,6.9375,7.0,6.8125,6.8125,37000
1993-11-22,MHO,6.875,6.875,6.5,6.5625,137400
1993-11-23,MHO,6.625,6.875,6.5625,6.875,75800
1993-11-24,MHO,6.9375,7.0,6.875,7.0,131200
1993-11-26,MHO,7.0625,7.0625,7.0625,7.0625,11600
1993-11-29,MHO,7.0625,7.25,7.0,7.0625,51000
1993-11-30,MHO,7.125,7.625,7.125,7.5625,197600
1993-12-01,MHO,7.625,7.625,7.3125,7.375,116800
1993-12-02,MHO,7.4375,7.5625,7.375,7.4375,120000
1993-12-03,MHO,7.4375,7.5,7.4375,7.5,28200
1993-12-06,MHO,7.4375,7.6875,7.375,7.6875,101800
1993-12-07,MHO,7.8125,7.9375,7.625,7.875,96600
1993-12-08,MHO,7.875,8.125,7.875,8.125,189600
1993-12-09,MHO,8.0625,8.125,8.0625,8.0625,74200
1993-12-10,MHO,8.0625,8.0625,7.75,7.75,61000
1993-12-13,MHO,7.75,7.8125,7.625,7.75,158800
1993-12-14,MHO,7.8125,8.25,7.75,8.0625,184800
1993-12-15,MHO,8.0625,8.4375,8.0625,8.375,138200
1993-12-16,MHO,8.5,8.625,8.5,8.625,92200
1993-12-17,MHO,8.625,9.125,8.5625,9.0,202600
1993-12-20,MHO,9.125,9.25,8.75,8.8125,270400
1993-12-21,MHO,8.875,8.875,8.75,8.75,27400
1993-12-22,MHO,8.75,8.875,8.6875,8.875,27400
1993-12-23,MHO,8.875,9.0,8.8125,8.875,113400
1993-12-27,MHO,8.875,9.0,8.875,9.0,11800
1993-12-28,MHO,8.9375,8.9375,8.9375,8.9375,1400
1993-12-29,MHO,8.875,9.0,8.875,8.9375,43000
1993-12-30,MHO,9.0,9.0625,8.9375,9.0,28400
1993-12-31,MHO,9.0625,9.125,9.0625,9.125,10000
1994-01-03,MHO,9.0,9.125,8.9375,9.0625,48000
1994-01-04,MHO,9.0,9.0625,8.75,8.75,40200
1994-01-05,MHO,8.6875,8.6875,8.4375,8.5625,19000
1994-01-06,MHO,8.5,8.75,8.5,8.75,6400
1994-01-07,MHO,8.625,8.75,8.625,8.6875,18200
1994-01-10,MHO,8.75,8.75,8.6875,8.75,18600
1994-01-11,MHO,8.625,8.625,8.5,8.5625,8000
1994-01-12,MHO,8.5,8.75,8.5,8.6875,20200
1994-01-13,MHO,8.6875,8.6875,8.5,8.625,19800
