date,symbol,open,high,low,close,volume
1988-07-26,MTH,3.75,3.796875,3.75,3.75,17600
1988-07-27,MTH,3.75,3.796875,3.75,3.75,69333
1988-07-28,MTH,3.75,3.796875,3.75,3.75,172267
1988-07-29,MTH,3.75,3.75,3.75,3.75,165867
1988-08-01,MTH,3.75,3.796875,3.75,3.75,176533
1988-08-02,MTH,3.75,3.796875,3.75,3.75,31200
1988-08-03,MTH,3.75,3.796875,3.75,3.796875,39733
1988-08-04,MTH,3.796875,3.796875,3.75,3.75,41600
1988-08-05,MTH,3.75,3.75,3.75,3.75,50667
1988-08-08,MTH,3.75,3.75,3.75,3.75,14933
1988-08-09,MTH,3.75,3.75,3.75,3.75,58933
1988-08-10,MTH,3.75,3.796875,3.75,3.75,64267
1988-08-11,MTH,3.75,3.796875,3.75,3.75,83733
1988-08-12,MTH,3.75,3.796875,3.75,3.796875,32800
1988-08-15,MTH,3.796875,3.796875,3.75,3.796875,20800
1988-08-16,MTH,3.796875,3.796875,3.75,3.75,76267
1988-08-17,MTH,3.75,3.796875,3.75,3.75,50133
1988-08-18,MTH,3.75,3.75,3.75,3.75,29867
1988-08-19,MTH,3.75,3.75,3.75,3.75,56000
1988-08-22,MTH,3.75,3.796875,3.75,3.75,49333
1988-08-23,MTH,3.75,3.796875,3.75,3.75,210400
1988-08-24,MTH,3.75,3.75,3.5625,3.609375,73600
1988-08-25,MTH,3.609375,3.65625,3.5625,3.65625,22933
1988-08-26,MTH,3.65625,3.65625,3.609375,3.609375,17600
1988-08-29,MTH,3.609375,3.65625,3.609375,3.609375,7200
1988-08-30,MTH,3.609375,3.609375,3.5625,3.5625,16800
1988-08-31,MTH,3.5625,3.5625,3.5625,3.5625,37600
1988-09-01,MTH,3.5625,3.609375,3.5625,3.5625,24000
1988-09-02,MTH,3.5625,3.609375,3.5625,3.609375,5333
1988-09-06,MTH,3.609375,3.609375,3.609375,3.609375,6133
1988-09-07,MTH,3.609375,3.609375,3.5625,3.609375,24533
1988-09-08,MTH,3.609375,3.609375,3.5625,3.609375,163200
1988-09-09,MTH,3.609375,3.609375,3.5625,3.609375,197067
1988-09-12,MTH,3.609375,3.609375,3.5625,3.5625,59467
1988-09-13,MTH,3.5625,3.5625,3.515625,3.5625,25600
1988-09-14,MTH,3.5625,3.5625,3.515625,3.5625,93600
1988-09-15,MTH,3.5625,3.609375,3.5625,3.609375,35467
1988-09-16,MTH,3.609375,3.609375,3.5625,3.609375,18667
1988-09-19,MTH,3.5625,3.5625,3.5625,3.5625,260000
1988-09-20,MTH,3.5625,3.609375,3.5625,3.609375,30400
1988-09-21,MTH,3.609375,3.609375,3.5625,3.5625,8800
1988-09-22,MTH,3.5625,3.609375,3.515625,3.515625,73600
1988-09-23,MTH,3.515625,3.5625,3.46875,3.5625,36000
1988-09-26,MTH,3.421875,3.421875,3.375,3.421875,18400
1988-09-27,MTH,3.421875,3.421875,3.375,3.421875,26933
1988-09-28,MTH,3.421875,3.421875,3.328125,3.421875,15733
1988-09-29,MTH,3.421875,3.421875,3.328125,3.375,15467
1988-09-30,MTH,3.375,3.421875,3.328125,3.421875,21333
1988-10-03,MTH,3.421875,3.421875,3.28125,3.375,64000
1988-10-04,MTH,3.375,3.375,3.28125,3.375,36800
1988-10-05,MTH,3.375,3.375,3.328125,3.375,24000
1988-10-06,MTH,3.375,3.421875,3.375,3.421875,10133
1988-10-07,MTH,3.421875,3.46875,3.375,3.46875,50933
1988-10-10,MTH,3.46875,3.46875,3.421875,3.46875,12000
1988-10-11,MTH,3.46875,3.515625,3.421875,3.46875,45333
1988-10-12,MTH,3.46875,3.46875,3.421875,3.421875,22133
1988-10-13,MTH,3.421875,3.515625,3.375,3.515625,147467
