date,symbol,open,high,low,close,volume
1991-12-11,OI,10.75,10.75,10.5,10.5,9408500
1991-12-12,OI,10.5,10.625,10.5,10.5,970700
1991-12-13,OI,10.625,10.75,10.375,10.75,1528200
1991-12-16,OI,10.75,10.75,9.875,10.125,857700
1991-12-17,OI,10.25,10.25,9.75,10.0,1596300
1991-12-18,OI,10.0,10.5,9.875,10.25,640700
1991-12-19,OI,10.375,10.375,10.0,10.125,285800
1991-12-20,OI,10.25,10.375,10.0,10.125,452000
1991-12-23,OI,10.125,10.625,10.125,10.5,783300
1991-12-24,OI,10.75,11.125,10.75,11.125,1362800
1991-12-26,OI,11.125,11.75,11.0,11.75,1172700
1991-12-27,OI,11.875,12.0,11.5,11.5,766100
1991-12-30,OI,11.5,12.0,11.5,11.75,898500
1991-12-31,OI,11.75,12.125,11.625,12.0,788100
1992-01-02,OI,11.875,11.875,11.5,11.625,546200
1992-01-03,OI,11.625,12.25,11.625,12.0,693300
1992-01-06,OI,12.0,12.5,11.625,12.375,1023600
1992-01-07,OI,12.25,12.75,12.25,12.75,864600
1992-01-08,OI,12.5,13.25,12.5,12.75,941800
1992-01-09,OI,13.0,13.0,12.625,13.0,448400
1992-01-10,OI,12.875,13.0,12.625,12.875,516100
1992-01-13,OI,12.75,12.875,12.625,12.75,273200
1992-01-14,OI,12.625,12.875,12.625,12.875,468100
1992-01-15,OI,12.875,13.625,12.75,13.375,482500
1992-01-16,OI,14.25,14.5,13.5,13.875,910200
1992-01-17,OI,13.875,14.0,13.5,13.875,475300
1992-01-20,OI,13.75,13.75,13.5,13.625,184500
1992-01-21,OI,13.5,13.625,12.5,13.125,550400
1992-01-22,OI,12.75,13.0,12.625,12.875,250200
1992-01-23,OI,13.0,13.125,12.875,13.0,282500
1992-01-24,OI,13.0,13.0,12.625,12.625,264800
1992-01-27,OI,12.75,12.875,12.625,12.75,466500
1992-01-28,OI,12.75,12.875,12.625,12.875,291700
1992-01-29,OI,12.875,13.5,12.375,12.375,636900
1992-01-30,OI,12.625,13.0,12.625,13.0,271900
1992-01-31,OI,12.875,13.0,12.5,12.75,139100
1992-02-03,OI,12.875,12.875,12.75,12.75,109200
1992-02-04,OI,12.75,13.625,12.75,13.125,614700
1992-02-05,OI,13.25,13.375,12.75,13.375,305000
1992-02-06,OI,13.375,13.625,13.25,13.625,494300
1992-02-07,OI,13.625,13.75,13.25,13.375,555100
1992-02-10,OI,13.5,13.625,13.125,13.25,163300
1992-02-11,OI,13.125,13.625,13.125,13.5,163300
1992-02-12,OI,13.25,13.375,12.625,13.0,218100
1992-02-13,OI,12.875,13.25,12.875,13.125,320900
1992-02-14,OI,12.875,13.125,12.625,12.875,165200
1992-02-18,OI,12.875,13.25,12.75,13.125,210700
1992-02-19,OI,13.0,13.125,12.75,13.125,278800
