date,symbol,open,high,low,close,volume
1980-03-17,OXM,1.25,1.25,1.25,1.25,10400
1980-03-18,OXM,1.21875,1.21875,1.203125,1.203125,8000
1980-03-19,OXM,1.171875,1.171875,1.140625,1.15625,12800
1980-03-20,OXM,1.15625,1.1875,1.15625,1.15625,5600
1980-03-21,OXM,1.15625,1.15625,1.15625,1.15625,0
1980-03-24,OXM,1.15625,1.15625,1.125,1.140625,22400
1980-03-25,OXM,1.140625,1.140625,1.125,1.125,14400
1980-03-26,OXM,1.140625,1.171875,1.140625,1.171875,16800
1980-03-27,OXM,1.140625,1.140625,1.125,1.125,77600
1980-03-28,OXM,1.125,1.15625,1.125,1.15625,8000
1980-03-31,OXM,1.125,1.125,1.125,1.125,8800
1980-04-01,OXM,1.125,1.140625,1.125,1.125,6400
1980-04-02,OXM,1.125,1.125,1.125,1.125,0
1980-04-03,OXM,1.109375,1.109375,1.0625,1.0625,26400
1980-04-07,OXM,1.078125,1.078125,1.078125,1.078125,2400
1980-04-08,OXM,1.078125,1.078125,1.078125,1.078125,3200
1980-04-09,OXM,1.078125,1.078125,1.078125,1.078125,3200
1980-04-10,OXM,1.078125,1.078125,1.078125,1.078125,0
1980-04-11,OXM,1.078125,1.078125,1.078125,1.078125,800
1980-04-14,OXM,1.078125,1.078125,1.078125,1.078125,800
1980-04-15,OXM,1.078125,1.078125,1.078125,1.078125,12800
1980-04-16,OXM,1.078125,1.078125,1.078125,1.078125,0
1980-04-17,OXM,1.078125,1.109375,1.078125,1.109375,93600
1980-04-18,OXM,1.09375,1.09375,1.09375,1.09375,800
1980-04-21,OXM,1.109375,1.109375,1.109375,1.109375,4000
1980-04-22,OXM,1.109375,1.125,1.09375,1.125,3200
1980-04-23,OXM,1.15625,1.15625,1.15625,1.15625,1600
1980-04-24,OXM,1.125,1.125,1.109375,1.109375,8800
1980-04-25,OXM,1.109375,1.109375,1.109375,1.109375,0
1980-04-28,OXM,1.125,1.140625,1.125,1.140625,3200
1980-04-29,OXM,1.125,1.125,1.125,1.125,800
1980-04-30,OXM,1.125,1.125,1.125,1.125,0
1980-05-01,OXM,1.125,1.125,1.125,1.125,0
1980-05-02,OXM,1.125,1.125,1.125,1.125,0
1980-05-05,OXM,1.125,1.125,1.125,1.125,0
1980-05-06,OXM,1.125,1.125,1.125,1.125,0
1980-05-07,OXM,1.125,1.15625,1.125,1.125,24000
1980-05-08,OXM,1.125,1.140625,1.125,1.140625,12800
1980-05-09,OXM,1.125,1.125,1.109375,1.109375,4800
1980-05-12,OXM,1.109375,1.140625,1.09375,1.09375,4800
1980-05-13,OXM,1.09375,1.109375,1.09375,1.109375,2400
1980-05-14,OXM,1.125,1.125,1.125,1.125,1600
1980-05-15,OXM,1.125,1.125,1.125,1.125,0
1980-05-16,OXM,1.125,1.125,1.125,1.125,0
1980-05-19,OXM,1.109375,1.109375,1.109375,1.109375,8000
1980-05-20,OXM,1.125,1.140625,1.125,1.125,2400
1980-05-21,OXM,1.109375,1.109375,1.109375,1.109375,1600
1980-05-22,OXM,1.125,1.125,1.125,1.125,16000
1980-05-23,OXM,1.125,1.140625,1.125,1.140625,13600
1980-05-27,OXM,1.140625,1.15625,1.140625,1.140625,4000
1980-05-28,OXM,1.140625,1.140625,1.140625,1.140625,0
1980-05-29,OXM,1.140625,1.140625,1.140625,1.140625,0
1980-05-30,OXM,1.125,1.125,1.125,1.125,3200
1980-06-02,OXM,1.125,1.125,1.109375,1.125,4000
1980-06-03,OXM,1.15625,1.15625,1.15625,1.15625,1600
1980-06-04,OXM,1.140625,1.140625,1.140625,1.140625,3200
1980-06-05,OXM,1.15625,1.15625,1.15625,1.15625,12000
1980-06-06,OXM,1.15625,1.15625,1.15625,1.15625,8800
1980-06-09,OXM,1.15625,1.171875,1.140625,1.15625,9600
1980-06-10,OXM,1.140625,1.140625,1.140625,1.140625,4000
1980-06-11,OXM,1.140625,1.140625,1.125,1.125,2400
1980-06-12,OXM,1.125,1.15625,1.125,1.15625,3200
1980-06-13,OXM,1.15625,1.171875,1.15625,1.15625,2400
1980-06-16,OXM,1.15625,1.171875,1.15625,1.15625,1600
1980-06-17,OXM,1.1875,1.1875,1.1875,1.1875,4000
1980-06-18,OXM,1.1875,1.203125,1.1875,1.203125,1600
1980-06-19,OXM,1.1875,1.1875,1.1875,1.1875,1600
1980-06-20,OXM,1.1875,1.1875,1.15625,1.1875,2400
1980-06-23,OXM,1.1875,1.1875,1.1875,1.1875,8800
1980-06-24,OXM,1.203125,1.21875,1.203125,1.21875,2400
1980-06-25,OXM,1.21875,1.21875,1.21875,1.21875,4800
1980-06-26,OXM,1.21875,1.21875,1.21875,1.21875,0
1980-06-27,OXM,1.21875,1.21875,1.21875,1.21875,0
1980-06-30,OXM,1.234375,1.234375,1.234375,1.234375,3200
1980-07-01,OXM,1.21875,1.21875,1.203125,1.203125,2400
1980-07-02,OXM,1.21875,1.25,1.21875,1.25,16000
1980-07-03,OXM,1.25,1.25,1.234375,1.25,1600
1980-07-07,OXM,1.25,1.265625,1.25,1.25,5600
1980-07-08,OXM,1.265625,1.28125,1.265625,1.28125,19200
1980-07-09,OXM,1.28125,1.328125,1.28125,1.328125,19200
1980-07-10,OXM,1.328125,1.359375,1.328125,1.359375,34400
1980-07-11,OXM,1.375,1.390625,1.375,1.390625,16000
1980-07-14,OXM,1.390625,1.46875,1.390625,1.46875,42400
1980-07-15,OXM,1.46875,1.5625,1.453125,1.515625,84000
1980-07-16,OXM,1.515625,1.5625,1.515625,1.5625,34400
1980-07-17,OXM,1.5625,1.5625,1.53125,1.5625,37600
1980-07-18,OXM,1.5625,1.578125,1.546875,1.578125,6400
1980-07-21,OXM,1.578125,1.578125,1.546875,1.5625,9600
1980-07-22,OXM,1.5625,1.609375,1.546875,1.609375,20000
1980-07-23,OXM,1.625,1.6875,1.625,1.671875,41600
1980-07-24,OXM,1.671875,1.671875,1.640625,1.640625,31200
1980-07-25,OXM,1.640625,1.65625,1.578125,1.65625,40800
1980-07-28,OXM,1.625,1.625,1.609375,1.625,28800
1980-07-29,OXM,1.625,1.65625,1.625,1.65625,18400
1980-07-30,OXM,1.65625,1.65625,1.625,1.65625,5600
1980-07-31,OXM,1.65625,1.671875,1.640625,1.671875,15200
1980-08-01,OXM,1.65625,1.65625,1.640625,1.65625,5600
1980-08-04,OXM,1.65625,1.671875,1.640625,1.640625,10400
1980-08-05,OXM,1.671875,1.71875,1.671875,1.71875,48000
1980-08-06,OXM,1.6875,1.6875,1.65625,1.65625,24800
1980-08-07,OXM,1.65625,1.671875,1.640625,1.671875,16800
1980-08-08,OXM,1.671875,1.6875,1.65625,1.65625,8000
1980-08-11,OXM,1.640625,1.640625,1.609375,1.609375,27200
1980-08-12,OXM,1.609375,1.625,1.609375,1.609375,6400
1980-08-13,OXM,1.609375,1.625,1.609375,1.609375,4000
1980-08-14,OXM,1.609375,1.609375,1.609375,1.609375,28800
1980-08-15,OXM,1.609375,1.609375,1.609375,1.609375,0
1980-08-18,OXM,1.59375,1.59375,1.546875,1.546875,32800
1980-08-19,OXM,1.53125,1.53125,1.515625,1.53125,2400
1980-08-20,OXM,1.53125,1.5625,1.53125,1.546875,4000
1980-08-21,OXM,1.53125,1.53125,1.53125,1.53125,1600
1980-08-22,OXM,1.53125,1.5625,1.53125,1.5625,2400
1980-08-25,OXM,1.53125,1.53125,1.53125,1.53125,10400
1980-08-26,OXM,1.515625,1.515625,1.515625,1.515625,3200
1980-08-27,OXM,1.53125,1.546875,1.53125,1.546875,2400
1980-08-28,OXM,1.53125,1.53125,1.515625,1.515625,7200
1980-08-29,OXM,1.515625,1.515625,1.515625,1.515625,1600
1980-09-02,OXM,1.515625,1.53125,1.515625,1.53125,10400
1980-09-03,OXM,1.5625,1.578125,1.5625,1.578125,8800
1980-09-04,OXM,1.578125,1.609375,1.5625,1.609375,46400
