date,symbol,open,high,low,close,volume
1993-11-02,PTEN,0.921875,0.96875,0.90625,0.921875,1780000
1993-11-03,PTEN,0.921875,0.96875,0.84375,0.890625,1123200
1993-11-04,PTEN,0.84375,0.890625,0.84375,0.84375,225600
1993-11-05,PTEN,0.84375,0.890625,0.84375,0.875,96000
1993-11-08,PTEN,0.84375,0.890625,0.84375,0.84375,329600
1993-11-09,PTEN,0.890625,0.890625,0.84375,0.890625,380800
1993-11-10,PTEN,0.90625,0.90625,0.859375,0.890625,309600
1993-11-11,PTEN,0.890625,0.90625,0.859375,0.859375,126400
1993-11-12,PTEN,0.84375,0.90625,0.84375,0.90625,76000
1993-11-15,PTEN,0.84375,0.90625,0.84375,0.84375,19200
1993-11-16,PTEN,0.84375,0.84375,0.84375,0.84375,72000
1993-11-17,PTEN,0.84375,0.90625,0.84375,0.84375,56000
1993-11-18,PTEN,0.84375,0.875,0.84375,0.84375,200000
1993-11-19,PTEN,0.84375,0.90625,0.84375,0.84375,193600
1993-11-22,PTEN,0.84375,0.90625,0.84375,0.90625,111200
1993-11-23,PTEN,0.875,0.875,0.84375,0.84375,124000
1993-11-24,PTEN,0.84375,0.84375,0.84375,0.84375,4000
1993-11-26,PTEN,0.84375,0.84375,0.84375,0.84375,25600
1993-11-29,PTEN,0.84375,0.84375,0.84375,0.84375,97600
1993-11-30,PTEN,0.84375,0.90625,0.84375,0.84375,147200
1993-12-01,PTEN,0.84375,0.8984379768371582,0.84375,0.8984379768371582,84000
1993-12-02,PTEN,0.90625,0.90625,0.84375,0.84375,365600
1993-12-03,PTEN,0.90625,0.90625,0.84375,0.84375,416800
1993-12-06,PTEN,0.90625,0.90625,0.84375,0.84375,150400
1993-12-07,PTEN,0.84375,0.875,0.84375,0.875,112000
1993-12-08,PTEN,0.84375,0.90625,0.84375,0.90625,732000
1993-12-09,PTEN,0.859375,0.90625,0.84375,0.90625,128000
1993-12-10,PTEN,0.875,0.875,0.84375,0.84375,167200
1993-12-13,PTEN,0.84375,0.84375,0.84375,0.84375,104000
1993-12-14,PTEN,0.84375,0.84375,0.84375,0.84375,24000
1993-12-15,PTEN,0.84375,0.90625,0.84375,0.84375,563200
1993-12-16,PTEN,0.84375,0.84375,0.84375,0.84375,138400
1993-12-17,PTEN,0.84375,0.875,0.84375,0.84375,39200
