date,symbol,open,high,low,close,volume
1983-12-14,RAMP,1.53125,1.625,1.53125,1.53125,857600
1983-12-15,RAMP,1.53125,1.59375,1.5,1.5,193600
1983-12-16,RAMP,1.5,1.5625,1.5,1.5,151200
1983-12-19,RAMP,1.5,1.59375,1.5,1.5,351200
1983-12-20,RAMP,1.53125,1.625,1.53125,1.53125,261600
1983-12-21,RAMP,1.53125,1.625,1.53125,1.53125,18400
1983-12-22,RAMP,1.53125,1.625,1.53125,1.53125,52000
1983-12-23,RAMP,1.5625,1.625,1.5625,1.5625,8800
1983-12-27,RAMP,1.5625,1.65625,1.5625,1.5625,12800
1983-12-28,RAMP,1.5625,1.65625,1.5625,1.5625,16800
1983-12-29,RAMP,1.5625,1.65625,1.5625,1.5625,26400
1983-12-30,RAMP,1.625,1.65625,1.625,1.625,14400
1984-01-03,RAMP,1.625,1.65625,1.59375,1.59375,17600
1984-01-04,RAMP,1.59375,1.65625,1.5625,1.5625,67200
1984-01-05,RAMP,1.5625,1.65625,1.5625,1.5625,51200
1984-01-06,RAMP,1.5625,1.65625,1.5625,1.5625,53600
1984-01-09,RAMP,1.5625,1.65625,1.5625,1.5625,32800
1984-01-10,RAMP,1.5625,1.65625,1.5625,1.5625,49600
1984-01-11,RAMP,1.5625,1.65625,1.5625,1.5625,8000
1984-01-12,RAMP,1.5625,1.625,1.5625,1.5625,81600
1984-01-13,RAMP,1.5625,1.65625,1.5625,1.5625,25600
1984-01-16,RAMP,1.5625,1.65625,1.5625,1.5625,68000
1984-01-17,RAMP,1.59375,1.65625,1.59375,1.59375,47200
1984-01-18,RAMP,1.625,1.71875,1.625,1.625,84800
1984-01-19,RAMP,1.65625,1.75,1.65625,1.65625,34400
1984-01-20,RAMP,1.65625,1.71875,1.625,1.625,28000
1984-01-23,RAMP,1.625,1.6875,1.625,1.625,16000
1984-01-24,RAMP,1.625,1.71875,1.625,1.625,28000
1984-01-25,RAMP,1.6875,1.75,1.6875,1.6875,25600
1984-01-26,RAMP,1.71875,1.78125,1.71875,1.71875,72800
1984-01-27,RAMP,1.71875,1.78125,1.71875,1.71875,114400
1984-01-30,RAMP,1.71875,1.8125,1.71875,1.71875,62400
1984-01-31,RAMP,1.78125,1.8125,1.78125,1.78125,40800
1984-02-01,RAMP,1.8125,1.875,1.8125,1.8125,46400
