date,symbol,open,high,low,close,volume
2002-11-22,SAFT,12.050000190734863,13.399999618530273,12.0,12.899999618530273,1722100
2002-11-25,SAFT,12.989999771118164,13.029999732971191,12.5,12.65999984741211,149800
2002-11-26,SAFT,12.609999656677246,12.75,12.460000038146973,12.5,147600
2002-11-27,SAFT,12.5,13.0,12.5,12.899999618530273,95100
2002-11-29,SAFT,12.899999618530273,13.0,12.800000190734863,12.850000381469727,145900
2002-12-02,SAFT,12.779999732971191,13.239999771118164,12.779999732971191,13.239999771118164,105900
2002-12-03,SAFT,13.239999771118164,13.399999618530273,13.050000190734863,13.25,58600
2002-12-04,SAFT,13.210000038146973,13.9399995803833,13.210000038146973,13.649999618530273,158100
2002-12-05,SAFT,13.710000038146973,13.960000038146973,13.149999618530273,13.470000267028809,64200
2002-12-06,SAFT,13.210000038146973,13.779999732971191,13.210000038146973,13.399999618530273,28500
2002-12-09,SAFT,13.25,13.5,13.239999771118164,13.239999771118164,23200
2002-12-10,SAFT,13.5,13.829999923706055,13.300000190734863,13.699999809265137,34300
2002-12-11,SAFT,13.729999542236328,13.800000190734863,13.420000076293945,13.680000305175781,4800
2002-12-12,SAFT,13.6899995803833,13.930000305175781,13.5,13.920000076293945,108100
2002-12-13,SAFT,13.920000076293945,14.180000305175781,13.550000190734863,14.119999885559082,193000
2002-12-16,SAFT,14.140000343322754,14.380000114440918,14.109999656677246,14.109999656677246,34400
2002-12-17,SAFT,14.199999809265137,14.289999961853027,14.039999961853027,14.220000267028809,13200
2002-12-18,SAFT,13.880000114440918,14.100000381469727,13.649999618530273,13.84000015258789,36800
2002-12-19,SAFT,13.760000228881836,14.079999923706055,13.75,13.869999885559082,18700
2002-12-20,SAFT,13.859999656677246,14.319999694824219,13.800000190734863,13.899999618530273,12200
2002-12-23,SAFT,13.920000076293945,14.050000190734863,13.899999618530273,13.899999618530273,14000
2002-12-24,SAFT,14.0,14.0,13.850000381469727,13.979999542236328,15000
2002-12-26,SAFT,14.300000190734863,14.300000190734863,14.100000381469727,14.300000190734863,3400
2002-12-27,SAFT,14.039999961853027,14.75,13.899999618530273,14.729999542236328,28500
2002-12-30,SAFT,14.59000015258789,15.119999885559082,14.520000457763672,15.069999694824219,72200
2002-12-31,SAFT,14.899999618530273,15.399999618530273,14.380000114440918,14.380000114440918,72900
2003-01-02,SAFT,14.75,14.75,14.119999885559082,14.25,62300
2003-01-03,SAFT,14.199999809265137,14.25,13.90999984741211,14.020000457763672,38700
2003-01-06,SAFT,14.0,14.1899995803833,13.800000190734863,14.100000381469727,6500
2003-01-07,SAFT,13.800000190734863,14.100000381469727,13.760000228881836,14.050000190734863,4000
2003-01-08,SAFT,13.760000228881836,14.0,13.489999771118164,13.890000343322754,18200
2003-01-09,SAFT,13.899999618530273,13.899999618530273,13.420000076293945,13.710000038146973,46700
2003-01-10,SAFT,13.699999809265137,13.8100004196167,13.600000381469727,13.8100004196167,17700
2003-01-13,SAFT,13.600000381469727,14.0,13.600000381469727,13.859999656677246,6900
2003-01-14,SAFT,13.949999809265137,13.949999809265137,13.710000038146973,13.949999809265137,3200
2003-01-15,SAFT,13.850000381469727,13.850000381469727,13.600000381469727,13.600000381469727,5800
2003-01-16,SAFT,13.600000381469727,14.069999694824219,13.600000381469727,13.600000381469727,8000
2003-01-17,SAFT,13.609999656677246,13.609999656677246,13.449999809265137,13.600000381469727,5800
2003-01-21,SAFT,13.479999542236328,13.5,13.25,13.479999542236328,22500
2003-01-22,SAFT,13.239999771118164,13.5,13.229999542236328,13.489999771118164,10500
2003-01-23,SAFT,13.5,13.539999961853027,13.09000015258789,13.539999961853027,21500
2003-01-24,SAFT,13.420000076293945,13.600000381469727,13.239999771118164,13.4399995803833,29600
2003-01-27,SAFT,13.050000190734863,13.350000381469727,13.0,13.300000190734863,22500
2003-01-28,SAFT,13.5,13.600000381469727,13.039999961853027,13.199999809265137,31000
2003-01-29,SAFT,13.100000381469727,13.300000190734863,13.100000381469727,13.289999961853027,5100
2003-01-30,SAFT,13.300000190734863,13.319999694824219,13.25,13.300000190734863,9800
2003-01-31,SAFT,13.199999809265137,13.239999771118164,13.140000343322754,13.149999618530273,31000
2003-02-03,SAFT,13.199999809265137,13.449999809265137,13.170000076293945,13.350000381469727,20100
2003-02-04,SAFT,13.359999656677246,13.579999923706055,13.25,13.420000076293945,22200
2003-02-05,SAFT,13.3100004196167,13.449999809265137,13.260000228881836,13.399999618530273,22900
2003-02-06,SAFT,13.399999618530273,13.739999771118164,13.399999618530273,13.569999694824219,11500
2003-02-07,SAFT,13.59000015258789,13.59000015258789,13.300000190734863,13.329999923706055,19500
2003-02-10,SAFT,13.3100004196167,13.399999618530273,13.300000190734863,13.399999618530273,1400
2003-02-11,SAFT,13.300000190734863,13.390000343322754,13.300000190734863,13.350000381469727,3900
2003-02-12,SAFT,13.289999961853027,13.289999961853027,13.170000076293945,13.229999542236328,26300
2003-02-13,SAFT,13.300000190734863,13.489999771118164,13.15999984741211,13.25,28100
2003-02-14,SAFT,13.260000228881836,13.5,13.25,13.289999961853027,21200
2003-02-18,SAFT,13.3100004196167,13.3100004196167,13.130000114440918,13.300000190734863,7900
2003-02-19,SAFT,13.300000190734863,13.600000381469727,13.25,13.380000114440918,34500
2003-02-20,SAFT,13.359999656677246,13.470000267028809,13.25,13.300000190734863,19700
2003-02-21,SAFT,13.3100004196167,13.4399995803833,13.25,13.420000076293945,14400
2003-02-24,SAFT,13.300000190734863,13.699999809265137,13.25,13.25,48900
2003-02-25,SAFT,13.25,13.34000015258789,13.25,13.329999923706055,5800
2003-02-26,SAFT,13.329999923706055,13.399999618530273,13.25,13.260000228881836,14800
2003-02-27,SAFT,13.199999809265137,13.399999618530273,13.199999809265137,13.289999961853027,12800
2003-02-28,SAFT,13.34000015258789,13.34000015258789,13.3100004196167,13.329999923706055,2200
2003-03-03,SAFT,13.260000228881836,13.3100004196167,13.039999961853027,13.069999694824219,46700
2003-03-04,SAFT,13.029999732971191,13.130000114440918,12.899999618530273,13.130000114440918,28600
2003-03-05,SAFT,13.229999542236328,13.300000190734863,13.0,13.220000267028809,17500
2003-03-06,SAFT,13.109999656677246,13.470000267028809,12.989999771118164,13.470000267028809,15500
2003-03-07,SAFT,13.460000038146973,13.880000114440918,13.3100004196167,13.600000381469727,19200
2003-03-10,SAFT,13.619999885559082,13.890000343322754,13.130000114440918,13.239999771118164,25500
2003-03-11,SAFT,13.40999984741211,13.420000076293945,13.010000228881836,13.069999694824219,12900
2003-03-12,SAFT,13.239999771118164,13.239999771118164,12.899999618530273,12.899999618530273,47200
2003-03-13,SAFT,13.010000228881836,13.109999656677246,12.880000114440918,13.100000381469727,16300
2003-03-14,SAFT,13.199999809265137,13.199999809265137,12.979999542236328,13.050000190734863,21400
2003-03-17,SAFT,13.050000190734863,13.25,12.899999618530273,12.949999809265137,19800
2003-03-18,SAFT,12.989999771118164,12.989999771118164,12.920000076293945,12.979999542236328,3200
2003-03-19,SAFT,13.010000228881836,13.119999885559082,12.970000267028809,13.010000228881836,3100
2003-03-20,SAFT,13.149999618530273,13.239999771118164,13.100000381469727,13.130000114440918,2400
2003-03-21,SAFT,13.350000381469727,13.489999771118164,13.180000305175781,13.1899995803833,20500
2003-03-24,SAFT,13.300000190734863,13.300000190734863,13.0,13.140000343322754,15100
2003-03-25,SAFT,13.539999961853027,13.539999961853027,13.0,13.130000114440918,7300
2003-03-26,SAFT,13.130000114440918,13.140000343322754,13.100000381469727,13.140000343322754,12000
2003-03-27,SAFT,13.130000114440918,13.130000114440918,13.0,13.0,25200
2003-03-28,SAFT,13.069999694824219,13.140000343322754,13.0,13.0,34100
2003-03-31,SAFT,13.100000381469727,13.100000381469727,13.010000228881836,13.029999732971191,11000
2003-04-01,SAFT,13.0,13.420000076293945,13.0,13.050000190734863,21700
2003-04-02,SAFT,13.3100004196167,13.3100004196167,13.09000015258789,13.100000381469727,26000
2003-04-03,SAFT,13.0,13.390000343322754,13.0,13.380000114440918,39300
2003-04-04,SAFT,13.430000305175781,13.539999961853027,13.369999885559082,13.520000457763672,16900
2003-04-07,SAFT,13.65999984741211,13.90999984741211,13.5,13.880000114440918,24700
2003-04-08,SAFT,13.949999809265137,14.199999809265137,13.899999618530273,14.199999809265137,40900
2003-04-09,SAFT,14.199999809265137,14.199999809265137,13.699999809265137,14.0600004196167,13100
2003-04-10,SAFT,13.9399995803833,14.0,13.579999923706055,14.0,8500
2003-04-11,SAFT,14.0,14.0,13.979999542236328,13.979999542236328,500
2003-04-14,SAFT,13.569999694824219,13.989999771118164,13.569999694824219,13.800000190734863,4800
2003-04-15,SAFT,13.760000228881836,13.970000267028809,13.760000228881836,13.930000305175781,5700
2003-04-16,SAFT,13.539999961853027,13.930000305175781,13.539999961853027,13.930000305175781,2400
2003-04-17,SAFT,13.979999542236328,14.0,13.949999809265137,14.0,10200
2003-04-21,SAFT,14.0,14.0,13.90999984741211,13.970000267028809,3100
2003-04-22,SAFT,13.8100004196167,14.0,13.800000190734863,13.979999542236328,7500
2003-04-23,SAFT,14.0,14.0,13.960000038146973,14.0,7400
2003-04-24,SAFT,13.970000267028809,13.970000267028809,13.869999885559082,13.949999809265137,4200
2003-04-25,SAFT,13.960000038146973,13.960000038146973,13.829999923706055,13.930000305175781,8500
2003-04-28,SAFT,13.899999618530273,14.0,13.899999618530273,14.0,24100
2003-04-29,SAFT,13.920000076293945,14.0,13.920000076293945,13.989999771118164,14500
2003-04-30,SAFT,13.989999771118164,13.989999771118164,13.949999809265137,13.949999809265137,4300
2003-05-01,SAFT,13.989999771118164,13.989999771118164,13.9399995803833,13.979999542236328,7100
2003-05-02,SAFT,13.979999542236328,14.0,13.9399995803833,14.0,29000
2003-05-05,SAFT,13.989999771118164,14.149999618530273,13.859999656677246,14.09000015258789,30400
2003-05-06,SAFT,14.180000305175781,14.1899995803833,13.890000343322754,14.149999618530273,21400
2003-05-07,SAFT,13.859999656677246,14.890000343322754,13.859999656677246,14.680000305175781,62600
2003-05-08,SAFT,14.680000305175781,14.699999809265137,14.300000190734863,14.5,62000
2003-05-09,SAFT,14.180000305175781,14.619999885559082,14.180000305175781,14.4399995803833,6300
2003-05-12,SAFT,14.300000190734863,14.600000381469727,14.300000190734863,14.479999542236328,14100
2003-05-13,SAFT,14.0600004196167,14.350000381469727,13.800000190734863,13.949999809265137,35000
2003-05-14,SAFT,14.010000228881836,14.399999618530273,13.850000381469727,14.130000114440918,19300
2003-05-15,SAFT,14.100000381469727,14.289999961853027,14.100000381469727,14.25,4900
2003-05-16,SAFT,14.170000076293945,14.270000457763672,13.890000343322754,14.199999809265137,12400
2003-05-19,SAFT,14.149999618530273,14.199999809265137,13.850000381469727,13.850000381469727,27900
2003-05-20,SAFT,13.770000457763672,13.770000457763672,13.479999542236328,13.5600004196167,19100
2003-05-21,SAFT,13.449999809265137,14.390000343322754,13.449999809265137,13.9399995803833,20800
2003-05-22,SAFT,14.119999885559082,14.369999885559082,13.970000267028809,14.149999618530273,9700
2003-05-23,SAFT,13.789999961853027,14.390000343322754,13.760000228881836,14.0,38500
2003-05-27,SAFT,13.720000267028809,14.390000343322754,13.720000267028809,14.300000190734863,9100
2003-05-28,SAFT,14.149999618530273,14.300000190734863,13.800000190734863,13.899999618530273,33400
