date,symbol,open,high,low,close,volume
1997-11-12,SAH,5.8125,5.8125,5.59375,5.78125,893200
1997-11-13,SAH,5.78125,6.1875,5.78125,5.90625,507600
1997-11-14,SAH,5.875,6.03125,5.8125,5.96875,500400
1997-11-17,SAH,6.0,6.0,5.78125,5.78125,106600
1997-11-18,SAH,5.8125,5.8125,5.5625,5.625,91600
1997-11-19,SAH,5.65625,5.65625,5.0625,5.375,281400
1997-11-20,SAH,5.4375,5.53125,5.375,5.5,147000
1997-11-21,SAH,5.5,5.5625,5.46875,5.5,61600
1997-11-24,SAH,5.5,5.5625,5.4375,5.46875,29200
1997-11-25,SAH,5.5625,5.5625,5.125,5.125,95400
1997-11-26,SAH,5.03125,5.3125,4.78125,5.28125,144400
1997-11-28,SAH,5.21875,5.25,5.15625,5.25,19800
1997-12-01,SAH,5.21875,5.21875,5.15625,5.15625,20200
1997-12-02,SAH,5.15625,5.25,5.09375,5.09375,55400
1997-12-03,SAH,5.0625,5.125,5.0,5.0625,77400
1997-12-04,SAH,5.125,5.4375,5.125,5.3125,51200
1997-12-05,SAH,5.28125,5.375,5.21875,5.28125,60600
1997-12-08,SAH,5.28125,5.71875,5.25,5.5625,57400
1997-12-09,SAH,5.3125,5.4375,5.3125,5.40625,39000
1997-12-10,SAH,5.375,5.5,5.375,5.5,141600
1997-12-11,SAH,5.5,5.5,5.34375,5.40625,140600
1997-12-12,SAH,5.4375,5.46875,5.40625,5.4375,61200
1997-12-15,SAH,5.625,5.71875,5.375,5.4375,129200
1997-12-16,SAH,5.46875,5.46875,5.25,5.375,58200
1997-12-17,SAH,5.375,5.4375,5.34375,5.375,53600
1997-12-18,SAH,5.3125,5.3125,5.1875,5.1875,27000
1997-12-19,SAH,5.15625,5.1875,4.75,5.0625,173000
1997-12-22,SAH,5.0625,5.09375,5.03125,5.03125,23200
1997-12-23,SAH,5.0625,5.0625,4.6875,4.875,54200
1997-12-24,SAH,4.84375,4.875,4.6875,4.75,123000
1997-12-26,SAH,4.75,4.75,4.75,4.75,13600
1997-12-29,SAH,4.75,4.875,4.75,4.875,103800
1997-12-30,SAH,4.875,4.96875,4.8125,4.875,83000
