date,symbol,open,high,low,close,volume
1992-02-25,SCHL,13.0,14.5,12.875,14.125,11254000
1992-02-26,SCHL,14.0,14.25,13.625,13.625,1696400
1992-02-27,SCHL,13.625,13.875,13.625,13.75,638600
1992-02-28,SCHL,13.625,14.125,13.625,14.0625,367000
1992-03-02,SCHL,14.0,14.75,14.0,14.375,267200
1992-03-03,SCHL,14.625,14.625,14.0,14.0,553200
1992-03-04,SCHL,14.25,14.25,13.875,13.875,242000
1992-03-05,SCHL,13.875,14.0,13.75,13.75,640400
1992-03-06,SCHL,13.75,13.875,13.625,13.625,701200
1992-03-09,SCHL,13.625,14.25,13.625,14.25,272400
1992-03-10,SCHL,14.125,14.375,13.875,14.125,98800
1992-03-11,SCHL,14.25,14.25,13.875,14.25,289400
1992-03-12,SCHL,14.25,14.375,13.875,14.375,483000
1992-03-13,SCHL,14.5,15.125,14.125,15.125,223200
1992-03-16,SCHL,15.125,15.875,14.875,15.875,378400
1992-03-17,SCHL,15.625,16.25,15.625,15.9375,561400
1992-03-18,SCHL,15.75,16.375,15.75,16.0,146600
1992-03-19,SCHL,16.375,16.5,15.625,16.0,277200
1992-03-20,SCHL,15.625,15.875,15.5,15.625,69800
1992-03-23,SCHL,15.5,15.5,14.75,15.125,356400
1992-03-24,SCHL,15.0,15.25,14.875,15.125,159600
1992-03-25,SCHL,14.875,15.125,14.875,15.125,154200
1992-03-26,SCHL,15.125,15.25,14.875,15.0,120400
1992-03-27,SCHL,14.875,15.125,14.875,14.875,12400
1992-03-30,SCHL,14.875,15.125,14.875,15.125,27800
1992-03-31,SCHL,15.125,15.375,14.875,15.125,208000
1992-04-01,SCHL,15.125,15.5,15.0,15.5,114800
1992-04-02,SCHL,15.5,15.5,15.0,15.0,81800
1992-04-03,SCHL,15.5,15.5,14.75,14.9375,208200
1992-04-06,SCHL,14.75,15.0,14.75,15.0,101600
1992-04-07,SCHL,14.875,15.25,14.75,14.75,156000
1992-04-08,SCHL,14.75,14.875,14.125,14.375,309200
1992-04-09,SCHL,14.125,14.5,14.125,14.25,39600
1992-04-10,SCHL,14.5,14.75,14.375,14.5,42400
