date,symbol,open,high,low,close,volume
1993-05-28,SKT,5.90625,6.28125,5.875,6.25,8848000
1993-06-01,SKT,6.25,6.375,6.15625,6.1875,1505200
1993-06-02,SKT,6.1875,6.46875,6.1875,6.375,483600
1993-06-03,SKT,6.375,6.5625,6.375,6.375,266400
1993-06-04,SKT,6.34375,6.40625,6.1875,6.34375,420800
1993-06-07,SKT,6.3125,6.34375,6.1875,6.1875,321600
1993-06-08,SKT,6.1875,6.1875,6.0625,6.09375,322000
1993-06-09,SKT,6.0625,6.125,5.96875,5.96875,176400
1993-06-10,SKT,6.0,6.09375,6.0,6.03125,101200
1993-06-11,SKT,6.09375,6.15625,6.03125,6.125,97200
1993-06-14,SKT,6.125,6.21875,6.125,6.1875,92400
1993-06-15,SKT,6.15625,6.1875,6.09375,6.125,99600
1993-06-16,SKT,6.1875,6.21875,6.15625,6.1875,152800
1993-06-17,SKT,6.15625,6.25,6.15625,6.1875,208400
1993-06-18,SKT,6.1875,6.28125,6.1875,6.1875,102800
1993-06-21,SKT,6.1875,6.28125,6.15625,6.25,101600
1993-06-22,SKT,6.25,6.40625,6.25,6.3125,75600
1993-06-23,SKT,6.3125,6.3125,6.28125,6.28125,75600
1993-06-24,SKT,6.3125,6.34375,6.21875,6.21875,84000
1993-06-25,SKT,6.28125,6.28125,6.21875,6.21875,80400
1993-06-28,SKT,6.28125,6.28125,6.25,6.28125,39200
1993-06-29,SKT,6.25,6.28125,6.1875,6.21875,134000
1993-06-30,SKT,6.25,6.375,6.21875,6.375,64800
1993-07-01,SKT,6.4375,6.59375,6.4375,6.59375,366400
1993-07-02,SKT,6.5625,6.59375,6.53125,6.5625,130800
1993-07-06,SKT,6.53125,6.65625,6.53125,6.65625,63200
1993-07-07,SKT,6.65625,6.75,6.625,6.75,79600
1993-07-08,SKT,6.6875,7.0,6.6875,6.96875,226000
1993-07-09,SKT,7.03125,7.1875,7.0,7.0,100000
1993-07-12,SKT,6.96875,7.0,6.90625,6.96875,71600
1993-07-13,SKT,7.0,7.125,7.0,7.0625,68400
1993-07-14,SKT,7.09375,7.1875,7.03125,7.09375,53600
1993-07-15,SKT,7.0625,7.09375,7.03125,7.03125,82000
1993-07-16,SKT,7.0625,7.0625,6.59375,6.65625,320000
1993-07-19,SKT,6.65625,6.65625,6.65625,6.65625,113200
1993-07-20,SKT,6.59375,6.625,6.59375,6.59375,206800
1993-07-21,SKT,6.625,6.6875,6.625,6.65625,52800
1993-07-22,SKT,6.71875,6.71875,6.65625,6.65625,111600
1993-07-23,SKT,6.71875,6.78125,6.71875,6.75,52400
1993-07-26,SKT,6.78125,6.78125,6.6875,6.6875,14000
1993-07-27,SKT,6.6875,6.71875,6.59375,6.59375,77200
1993-07-28,SKT,6.625,6.75,6.59375,6.75,99200
1993-07-29,SKT,6.75,6.90625,6.75,6.90625,58800
1993-07-30,SKT,7.0,7.0,6.9375,6.96875,24800
1993-08-02,SKT,6.96875,6.96875,6.875,6.90625,66000
1993-08-03,SKT,6.90625,6.96875,6.90625,6.96875,34000
1993-08-04,SKT,6.9375,6.9375,6.90625,6.90625,8800
1993-08-05,SKT,6.875,6.90625,6.875,6.875,29600
1993-08-06,SKT,6.875,6.9375,6.875,6.90625,8400
1993-08-09,SKT,6.875,6.90625,6.875,6.875,16800
1993-08-10,SKT,6.875,6.875,6.875,6.875,13200
1993-08-11,SKT,6.875,6.9375,6.78125,6.78125,347200
1993-08-12,SKT,6.75,6.75,6.6875,6.75,24400
1993-08-13,SKT,6.6875,6.8125,6.6875,6.78125,116000
1993-08-16,SKT,6.78125,6.78125,6.71875,6.71875,30400
1993-08-17,SKT,6.6875,6.78125,6.6875,6.75,96000
1993-08-18,SKT,6.75,6.75,6.71875,6.75,51600
1993-08-19,SKT,6.75,6.75,6.6875,6.6875,17600
1993-08-20,SKT,6.71875,6.71875,6.65625,6.65625,171600
1993-08-23,SKT,6.65625,6.6875,6.65625,6.65625,9600
1993-08-24,SKT,6.65625,6.65625,6.625,6.625,14000
1993-08-25,SKT,6.5625,6.5625,6.5,6.5,298400
1993-08-26,SKT,6.5,6.59375,6.5,6.5625,154000
1993-08-27,SKT,6.59375,6.65625,6.59375,6.625,14800
1993-08-30,SKT,6.6875,6.71875,6.65625,6.65625,22800
1993-08-31,SKT,6.6875,6.8125,6.6875,6.8125,72800
1993-09-01,SKT,6.9375,7.0,6.90625,6.96875,62400
1993-09-02,SKT,6.96875,7.0,6.90625,7.0,44800
1993-09-03,SKT,6.9375,7.0625,6.90625,7.0625,50400
1993-09-07,SKT,7.0,7.0,7.0,7.0,8400
1993-09-08,SKT,6.9375,6.9375,6.8125,6.8125,76400
1993-09-09,SKT,6.8125,7.03125,6.8125,7.03125,58000
1993-09-10,SKT,6.96875,7.25,6.96875,7.125,130800
1993-09-13,SKT,7.125,7.21875,7.125,7.21875,251200
1993-09-14,SKT,7.21875,7.21875,7.15625,7.21875,157600
1993-09-15,SKT,7.15625,7.28125,7.15625,7.1875,39200
1993-09-16,SKT,7.21875,7.25,7.1875,7.25,68000
1993-09-17,SKT,7.25,7.4375,7.25,7.375,70800
1993-09-20,SKT,7.375,7.375,7.3125,7.3125,118400
1993-09-21,SKT,7.3125,7.34375,7.125,7.125,22400
1993-09-22,SKT,7.21875,7.25,7.1875,7.21875,65600
1993-09-23,SKT,7.125,7.125,7.0,7.0,129600
1993-09-24,SKT,7.03125,7.15625,7.03125,7.15625,30000
1993-09-27,SKT,7.15625,7.21875,7.15625,7.1875,13600
1993-09-28,SKT,7.15625,7.1875,7.125,7.125,30400
1993-09-29,SKT,7.125,7.125,6.9375,6.9375,115200
1993-09-30,SKT,6.9375,7.1875,6.9375,7.15625,104400
1993-10-01,SKT,7.09375,7.15625,7.03125,7.09375,22400
1993-10-04,SKT,7.09375,7.125,7.09375,7.125,22000
1993-10-05,SKT,7.1875,7.28125,7.15625,7.25,164400
1993-10-06,SKT,7.3125,7.3125,7.125,7.125,84000
1993-10-07,SKT,7.125,7.125,7.0625,7.0625,13200
1993-10-08,SKT,7.0,7.03125,6.96875,6.96875,51200
1993-10-11,SKT,6.96875,7.0,6.96875,6.96875,68800
1993-10-12,SKT,7.03125,7.03125,6.96875,6.96875,59200
1993-10-13,SKT,7.0,7.0,6.875,6.875,161600
1993-10-14,SKT,6.875,7.0625,6.875,7.0625,60000
1993-10-15,SKT,7.0625,7.1875,7.0625,7.1875,236800
1993-10-18,SKT,7.1875,7.1875,7.09375,7.09375,10000
1993-10-19,SKT,7.03125,7.09375,7.0,7.0,54000
1993-10-20,SKT,7.0,7.0,7.0,7.0,103600
1993-10-21,SKT,6.96875,7.21875,6.96875,7.21875,73200
1993-10-22,SKT,7.21875,7.21875,7.15625,7.15625,16000
1993-10-25,SKT,7.15625,7.1875,7.125,7.125,73200
1993-10-26,SKT,7.0625,7.0625,7.0,7.0625,102000
1993-10-27,SKT,7.09375,7.125,7.0625,7.0625,223600
1993-10-28,SKT,7.0625,7.09375,7.0625,7.0625,200400
1993-10-29,SKT,7.125,7.15625,7.09375,7.15625,94800
1993-11-01,SKT,7.125,7.125,7.09375,7.125,170000
1993-11-02,SKT,7.125,7.1875,7.09375,7.1875,325600
