date,symbol,open,high,low,close,volume
1973-05-03,SKY,14.875,17.5,14.875,17.5,29900
1973-05-04,SKY,17.5,17.625,15.125,15.75,29400
1973-05-07,SKY,15.625,15.625,14.625,15.0,26900
1973-05-08,SKY,15.0,15.375,14.875,15.25,22700
1973-05-09,SKY,15.625,16.625,15.625,16.0,27500
1973-05-10,SKY,16.125,17.375,16.125,17.125,26500
1973-05-11,SKY,17.0,17.0,15.875,15.875,23800
1973-05-14,SKY,15.625,15.625,15.0,15.125,17200
1973-05-15,SKY,15.125,16.0,14.875,15.75,28500
1973-05-16,SKY,15.625,15.625,15.0,15.5,11700
1973-05-17,SKY,15.25,15.25,15.0,15.0,13500
1973-05-18,SKY,14.75,14.75,13.875,14.25,29900
1973-05-21,SKY,14.125,14.125,13.5,14.0,21400
1973-05-22,SKY,14.0,14.5,13.875,14.375,25000
1973-05-23,SKY,14.375,15.0,14.0,14.25,12600
1973-05-24,SKY,14.25,15.625,14.125,15.625,19700
1973-05-25,SKY,15.625,16.625,15.25,15.875,29300
1973-05-29,SKY,15.875,15.875,15.5,15.75,8400
1973-05-30,SKY,15.625,15.625,15.125,15.25,9300
1973-05-31,SKY,15.25,15.375,14.625,15.0,20900
1973-06-01,SKY,14.75,14.75,14.625,14.625,6500
1973-06-04,SKY,14.5,14.5,13.625,14.125,17300
1973-06-05,SKY,14.125,14.875,13.875,14.5,12100
1973-06-06,SKY,14.5,14.625,13.625,13.625,15500
1973-06-07,SKY,13.75,14.25,13.75,14.0,11500
1973-06-08,SKY,14.0,14.5,14.0,14.375,11400
1973-06-11,SKY,14.625,15.75,14.625,15.0,16900
1973-06-12,SKY,15.0,15.625,14.875,15.375,30700
1973-06-13,SKY,15.625,16.25,15.625,15.75,36100
1973-06-14,SKY,15.75,15.875,15.0,15.0,22700
1973-06-15,SKY,14.75,14.75,14.125,14.125,26200
1973-06-18,SKY,14.125,14.5,14.125,14.375,11700
1973-06-19,SKY,14.375,14.875,14.125,14.625,11000
1973-06-20,SKY,14.625,15.25,14.5,15.0,13200
1973-06-21,SKY,15.0,15.0,14.5,14.5,9500
1973-06-22,SKY,14.5,14.875,14.25,14.375,10200
1973-06-25,SKY,14.375,14.875,14.125,14.625,23900
1973-06-26,SKY,14.625,15.5,14.25,15.5,27300
1973-06-27,SKY,15.5,16.75,15.5,16.25,29000
1973-06-28,SKY,16.25,16.625,15.75,16.125,13700
1973-06-29,SKY,16.125,16.25,15.875,16.125,9500
1973-07-02,SKY,15.875,15.875,15.5,15.625,14400
1973-07-03,SKY,15.875,16.25,15.875,16.25,40900
1973-07-05,SKY,16.25,16.5,16.125,16.5,10800
1973-07-06,SKY,16.5,16.75,16.25,16.5,10100
1973-07-09,SKY,16.5,18.875,16.375,18.875,33100
1973-07-10,SKY,18.875,19.25,17.625,18.125,28300
1973-07-11,SKY,18.25,19.25,18.25,19.125,22400
1973-07-12,SKY,19.125,19.375,18.5,18.875,20900
1973-07-13,SKY,18.75,18.75,18.5,18.75,6300
1973-07-16,SKY,19.0,21.0,19.0,20.625,39900
1973-07-17,SKY,21.0,22.25,21.0,21.375,89500
1973-07-18,SKY,21.375,21.875,20.375,21.5,30800
1973-07-19,SKY,21.5,23.375,20.5,22.625,40200
1973-07-20,SKY,22.625,23.75,22.125,23.25,40100
1973-07-23,SKY,23.25,23.75,23.25,23.75,30600
1973-07-24,SKY,23.75,23.75,22.625,23.5,43200
1973-07-25,SKY,23.5,23.875,22.5,22.5,17600
1973-07-26,SKY,22.5,22.75,20.625,20.875,25700
1973-07-27,SKY,20.875,21.625,20.125,21.0,22000
1973-07-30,SKY,21.0,22.5,20.875,22.5,11600
1973-07-31,SKY,22.5,22.5,21.25,21.25,12900
1973-08-01,SKY,21.25,21.5,20.625,21.0,11100
1973-08-02,SKY,21.0,21.75,20.875,21.5,15300
1973-08-03,SKY,21.875,22.375,21.875,22.25,11700
1973-08-06,SKY,22.25,23.375,22.25,23.0,28300
