date,symbol,open,high,low,close,volume
1992-04-21,STBA,4.9375,4.9375,4.875,4.875,11200
1992-04-22,STBA,5.234375,5.234375,5.234375,5.234375,800
1992-04-23,STBA,5.234375,5.234375,5.234375,5.234375,0
1992-04-24,STBA,5.3125,5.3125,5.0625,5.0625,5600
1992-04-27,STBA,5.5,5.5,5.0625,5.125,4800
1992-04-28,STBA,5.125,5.125,5.125,5.125,0
1992-04-29,STBA,5.125,5.125,5.125,5.125,0
1992-04-30,STBA,5.5,5.5,5.5,5.5,10400
1992-05-01,STBA,5.3125,5.3125,5.3125,5.3125,3200
1992-05-04,STBA,5.5,5.5625,5.5,5.5625,4000
1992-05-05,STBA,5.5625,5.5625,5.5625,5.5625,0
1992-05-06,STBA,5.625,5.625,5.625,5.625,800
1992-05-07,STBA,5.625,5.625,5.625,5.625,0
1992-05-08,STBA,5.625,5.625,5.5,5.5,3200
1992-05-11,STBA,5.5,5.5,5.5,5.5,0
1992-05-12,STBA,5.6875,5.6875,5.375,5.4375,8000
1992-05-13,STBA,5.4375,5.4375,5.4375,5.4375,0
1992-05-14,STBA,5.4375,5.4375,5.4375,5.4375,0
1992-05-15,STBA,5.4375,5.4375,5.4375,5.4375,0
1992-05-18,STBA,5.5,5.5,5.375,5.375,16000
1992-05-19,STBA,5.40625,5.4375,5.375,5.4375,30400
1992-05-20,STBA,5.4375,5.4375,5.4375,5.4375,0
1992-05-21,STBA,5.6875,5.6875,5.3125,5.625,7200
1992-05-22,STBA,5.75,5.75,5.75,5.75,1600
1992-05-26,STBA,5.75,5.75,5.75,5.75,0
1992-05-27,STBA,5.75,5.75,5.75,5.75,0
1992-05-28,STBA,5.625,5.625,5.625,5.625,800
1992-05-29,STBA,5.75,5.75,5.75,5.75,800
1992-06-01,STBA,5.75,5.75,5.75,5.75,0
1992-06-02,STBA,5.625,5.625,5.375,5.375,18400
1992-06-03,STBA,5.5,5.5,5.5,5.5,4000
1992-06-04,STBA,5.5,5.5,5.5,5.5,0
1992-06-05,STBA,5.46875,5.6875,5.46875,5.6875,10400
1992-06-08,STBA,5.875,5.875,5.8125,5.8125,4000
1992-06-09,STBA,6.0,6.0,6.0,6.0,800
1992-06-10,STBA,6.0,6.0,6.0,6.0,0
1992-06-11,STBA,6.0625,6.25,6.0625,6.25,12000
1992-06-12,STBA,6.25,6.25,6.25,6.25,0
1992-06-15,STBA,6.5,6.5,6.1875,6.5,12400
1992-06-16,STBA,6.625,6.625,6.625,6.625,1200
1992-06-17,STBA,6.5625,6.75,6.28125,6.375,32000
1992-06-18,STBA,6.25,6.75,6.25,6.75,6800
1992-06-19,STBA,6.3125,6.75,6.3125,6.75,4000
1992-06-22,STBA,6.75,6.75,6.75,6.75,0
1992-06-23,STBA,6.75,6.75,6.75,6.75,0
1992-06-24,STBA,6.75,6.75,6.75,6.75,0
1992-06-25,STBA,6.625,6.625,6.5,6.5625,6400
1992-06-26,STBA,6.5625,6.75,6.4375,6.75,21600
1992-06-29,STBA,6.375,6.5,6.375,6.5,3600
1992-06-30,STBA,6.5,6.5,6.5,6.5,0
1992-07-01,STBA,6.5,6.5,6.5,6.5,0
1992-07-02,STBA,6.75,6.75,6.375,6.375,1600
1992-07-06,STBA,6.75,6.75,6.3125,6.3125,10400
1992-07-07,STBA,6.125,6.5,6.0625,6.375,17200
1992-07-08,STBA,6.0,6.25,6.0,6.25,5600
1992-07-09,STBA,6.25,6.25,6.25,6.25,0
1992-07-10,STBA,6.25,6.25,5.875,6.25,6800
1992-07-13,STBA,6.25,6.25,6.0,6.0,1200
1992-07-14,STBA,6.0,6.0,6.0,6.0,0
1992-07-15,STBA,6.25,6.25,6.0625,6.0625,1600
1992-07-16,STBA,6.25,6.25,6.0,6.25,9200
1992-07-17,STBA,6.25,6.25,6.25,6.25,0
1992-07-20,STBA,6.25,6.25,6.25,6.25,0
1992-07-21,STBA,6.375,6.375,6.375,6.375,1600
1992-07-22,STBA,6.0625,6.3125,6.0625,6.3125,4400
1992-07-23,STBA,6.03125,6.3125,6.03125,6.3125,7200
1992-07-24,STBA,6.3125,6.3125,6.0,6.0,14400
1992-07-27,STBA,6.3125,6.3125,6.3125,6.3125,5200
1992-07-28,STBA,6.125,6.1875,6.03125,6.03125,7200
1992-07-29,STBA,6.3125,6.3125,6.3125,6.3125,400
1992-07-30,STBA,6.3125,6.3125,6.3125,6.3125,0
1992-07-31,STBA,6.0,6.3125,6.0,6.3125,2800
1992-08-03,STBA,6.3125,6.3125,6.0,6.0,1200
1992-08-04,STBA,6.0,6.0,6.0,6.0,1600
1992-08-05,STBA,6.3125,6.3125,6.1875,6.3125,26000
1992-08-06,STBA,6.0,6.25,6.0,6.25,4000
1992-08-07,STBA,6.375,6.375,6.375,6.375,2400
1992-08-10,STBA,6.375,6.375,6.375,6.375,0
1992-08-11,STBA,6.375,6.375,6.375,6.375,400
1992-08-12,STBA,6.125,6.125,6.125,6.125,1200
1992-08-13,STBA,6.125,6.125,6.125,6.125,0
1992-08-14,STBA,6.375,6.375,6.375,6.375,4400
1992-08-17,STBA,6.25,6.25,6.0,6.0,5600
1992-08-18,STBA,6.375,6.375,6.375,6.375,800
1992-08-19,STBA,6.125,6.125,6.125,6.125,2000
1992-08-20,STBA,6.375,6.375,6.375,6.375,4400
1992-08-21,STBA,6.375,6.375,6.375,6.375,0
1992-08-24,STBA,6.375,6.375,6.375,6.375,0
1992-08-25,STBA,6.375,6.375,6.0,6.1875,36400
1992-08-26,STBA,6.15625,6.25,6.15625,6.1875,6400
1992-08-27,STBA,6.25,6.375,6.15625,6.1875,11200
1992-08-28,STBA,6.375,6.375,6.0625,6.0625,5600
1992-08-31,STBA,6.0625,6.1875,6.0625,6.1875,12000
1992-09-01,STBA,6.25,6.375,6.25,6.375,8800
1992-09-02,STBA,6.375,6.375,6.125,6.125,3600
1992-09-03,STBA,6.375,6.375,6.375,6.375,2800
1992-09-04,STBA,6.375,6.4375,6.125,6.28125,27600
1992-09-08,STBA,6.125,6.375,6.125,6.375,9600
1992-09-09,STBA,6.25,6.4375,6.125,6.375,23600
1992-09-10,STBA,6.375,6.375,6.25,6.25,4800
1992-09-11,STBA,6.4375,6.4375,6.375,6.375,3200
1992-09-14,STBA,6.125,6.375,6.125,6.25,16400
1992-09-15,STBA,6.375,6.375,6.03125,6.125,17600
1992-09-16,STBA,6.25,6.25,6.25,6.25,2000
1992-09-17,STBA,6.375,6.375,6.375,6.375,1600
1992-09-18,STBA,6.375,6.375,6.375,6.375,0
1992-09-21,STBA,6.3125,6.3125,6.0,6.0,7200
1992-09-22,STBA,6.375,6.375,6.0,6.375,10000
1992-09-23,STBA,6.4375,6.4375,6.0,6.0,18400
1992-09-24,STBA,6.0,6.1875,6.0,6.125,17600
1992-09-25,STBA,6.0,6.0,6.0,6.0,400
1992-09-28,STBA,6.4375,6.4375,6.4375,6.4375,400
1992-09-29,STBA,6.4375,6.4375,6.125,6.125,3600
1992-09-30,STBA,6.4375,6.4375,6.0625,6.0625,6000
1992-10-01,STBA,6.125,6.1875,6.125,6.125,7600
1992-10-02,STBA,6.125,6.125,6.125,6.125,0
1992-10-05,STBA,6.125,6.125,6.125,6.125,0
1992-10-06,STBA,6.125,6.21875,6.125,6.21875,43200
1992-10-07,STBA,6.21875,6.21875,6.21875,6.21875,0
1992-10-08,STBA,6.0625,6.0625,6.0625,6.0625,400
1992-10-09,STBA,6.0625,6.0625,6.0625,6.0625,0
1992-10-12,STBA,6.0625,6.0625,6.0625,6.0625,0
1992-10-13,STBA,6.0625,6.0625,6.0625,6.0625,0
1992-10-14,STBA,6.0625,6.0625,6.0625,6.0625,0
1992-10-15,STBA,6.0625,6.0625,6.0625,6.0625,0
1992-10-16,STBA,6.0,6.0,6.0,6.0,800
1992-10-19,STBA,6.0,6.0,6.0,6.0,0
1992-10-20,STBA,6.4375,6.4375,6.4375,6.4375,400
1992-10-21,STBA,6.0,6.125,6.0,6.125,6400
1992-10-22,STBA,6.125,6.125,6.125,6.125,0
1992-10-23,STBA,6.125,6.125,6.125,6.125,0
1992-10-26,STBA,6.25,6.4375,6.25,6.4375,4000
1992-10-27,STBA,6.0625,6.0625,6.0625,6.0625,2000
1992-10-28,STBA,6.0625,6.3125,6.0625,6.125,20000
1992-10-29,STBA,6.3125,6.3125,6.125,6.3125,10400
1992-10-30,STBA,6.3125,6.3125,6.3125,6.3125,0
1992-11-02,STBA,6.125,6.375,6.125,6.375,8400
1992-11-03,STBA,6.375,6.375,6.25,6.25,4000
1992-11-04,STBA,6.125,6.1875,6.125,6.1875,3200
1992-11-05,STBA,6.1875,6.1875,6.1875,6.1875,0
1992-11-06,STBA,6.375,6.375,6.25,6.25,1600
1992-11-09,STBA,6.375,6.375,6.25,6.25,2400
1992-11-10,STBA,6.0625,6.0625,6.0625,6.0625,2400
1992-11-11,STBA,6.1875,6.1875,6.0625,6.125,7200
1992-11-12,STBA,6.125,6.125,6.125,6.125,0
1992-11-13,STBA,6.25,6.25,6.0625,6.0625,11200
1992-11-16,STBA,6.0625,6.0625,6.0625,6.0625,0
1992-11-17,STBA,6.0625,6.25,6.0625,6.0625,26000
1992-11-18,STBA,6.3125,6.3125,6.0625,6.0625,10400
1992-11-19,STBA,6.3125,6.3125,6.0625,6.0625,8800
1992-11-20,STBA,6.3125,6.3125,6.0625,6.0625,21200
1992-11-23,STBA,6.0625,6.125,6.0625,6.125,4000
1992-11-24,STBA,6.1875,6.3125,6.1875,6.25,6800
1992-11-25,STBA,6.3125,6.5625,6.21875,6.5625,25600
1992-11-27,STBA,6.25,6.25,6.25,6.25,1200
1992-11-30,STBA,6.4375,6.5,6.3125,6.375,22400
1992-12-01,STBA,6.375,6.375,6.375,6.375,0
1992-12-02,STBA,6.5,6.5,6.5,6.5,4000
1992-12-03,STBA,6.5,6.5,6.5,6.5,0
1992-12-04,STBA,6.375,6.375,6.375,6.375,1200
1992-12-07,STBA,6.375,6.46875,6.25,6.375,12000
1992-12-08,STBA,6.625,6.75,6.375,6.75,23200
1992-12-09,STBA,6.75,6.75,6.59375,6.75,10000
1992-12-10,STBA,6.75,6.75,6.75,6.75,0
1992-12-11,STBA,6.375,6.375,6.375,6.375,1200
1992-12-14,STBA,6.75,6.75,6.4375,6.625,5600
1992-12-15,STBA,6.5,6.75,6.5,6.6875,14800
1992-12-16,STBA,6.625,6.8125,6.625,6.8125,14400
1992-12-17,STBA,6.875,6.875,6.5625,6.625,6000
1992-12-18,STBA,6.625,6.8125,6.625,6.8125,800
1992-12-21,STBA,7.0,7.0,6.625,6.625,20400
1992-12-22,STBA,6.5625,7.0,6.5625,7.0,2800
1992-12-23,STBA,7.0,7.0,7.0,7.0,800
1992-12-24,STBA,6.625,6.75,6.5625,6.75,4000
1992-12-28,STBA,7.0,7.0,6.875,7.0,8400
1992-12-29,STBA,7.0,7.0,7.0,7.0,400
1992-12-30,STBA,6.75,7.0,6.75,7.0,2000
1992-12-31,STBA,7.0,7.0,7.0,7.0,0
1993-01-04,STBA,6.5625,7.0,6.5625,7.0,33200
1993-01-05,STBA,6.75,6.75,6.5625,6.5625,4400
1993-01-06,STBA,6.8125,6.8125,6.8125,6.8125,400
1993-01-07,STBA,7.0,7.0,6.625,6.625,2400
1993-01-08,STBA,7.0,7.0,6.75,6.8125,15200
1993-01-11,STBA,6.6875,7.0625,6.6875,6.75,201600
1993-01-12,STBA,6.75,7.0,6.6875,7.0,61200
1993-01-13,STBA,6.75,6.75,6.75,6.75,4000
1993-01-14,STBA,7.0625,7.25,7.0,7.25,29200
1993-01-15,STBA,7.09375,7.09375,7.0,7.0,36400
1993-01-18,STBA,7.25,7.3125,7.09375,7.3125,88000
1993-01-19,STBA,7.3125,7.3125,7.3125,7.3125,800
1993-01-20,STBA,7.3125,7.3125,6.9375,7.3125,54400
1993-01-21,STBA,7.15625,7.3125,7.15625,7.25,78800
1993-01-22,STBA,7.0,7.3125,7.0,7.3125,4400
1993-01-25,STBA,7.0,7.125,7.0,7.125,6800
1993-01-26,STBA,7.1875,7.3125,7.1875,7.1875,84000
1993-01-27,STBA,7.3125,7.3125,7.3125,7.3125,800
1993-01-28,STBA,7.0625,7.3125,7.0625,7.0625,4000
1993-01-29,STBA,7.3125,7.3125,7.125,7.25,47600
1993-02-01,STBA,7.125,7.1875,7.125,7.1875,5600
1993-02-02,STBA,7.375,7.375,7.15625,7.375,90400
1993-02-03,STBA,7.375,7.375,7.25,7.375,3200
1993-02-04,STBA,7.375,7.375,7.375,7.375,1200
1993-02-05,STBA,7.375,7.375,7.375,7.375,1600
1993-02-08,STBA,7.375,7.375,7.125,7.375,4400
1993-02-09,STBA,7.125,7.125,7.125,7.125,400
1993-02-10,STBA,7.375,7.375,7.375,7.375,400
1993-02-11,STBA,7.125,7.375,7.125,7.375,5600
1993-02-12,STBA,7.125,7.375,7.125,7.375,6400
1993-02-16,STBA,7.25,7.375,7.125,7.375,2000
1993-02-17,STBA,7.125,7.375,7.125,7.375,9200
1993-02-18,STBA,7.375,7.375,7.375,7.375,10000
1993-02-19,STBA,7.375,7.375,7.375,7.375,3600
1993-02-22,STBA,7.375,7.375,7.25,7.3125,12800
1993-02-23,STBA,7.375,7.75,7.375,7.75,7600
1993-02-24,STBA,7.75,7.75,7.5,7.625,16400
1993-02-25,STBA,7.3125,7.75,7.3125,7.75,6000
1993-02-26,STBA,7.75,7.75,7.75,7.75,3600
1993-03-01,STBA,7.5625,7.5625,7.3125,7.3125,2800
1993-03-02,STBA,7.75,7.75,7.3125,7.3125,7600
1993-03-03,STBA,7.75,7.75,7.5,7.75,9600
1993-03-04,STBA,7.75,7.75,7.5,7.6875,19200
1993-03-05,STBA,7.8125,7.875,7.5,7.75,30800
1993-03-08,STBA,8.0,8.0,7.5625,7.75,40000
1993-03-09,STBA,7.75,7.75,7.75,7.75,0
1993-03-10,STBA,8.0,8.0,7.625,7.6875,4800
1993-03-11,STBA,8.0,8.0,7.625,7.8125,3200
1993-03-12,STBA,7.90625,7.90625,7.75,7.75,17200
1993-03-15,STBA,7.625,8.0,7.625,7.875,1600
1993-03-16,STBA,7.875,7.875,7.875,7.875,0
1993-03-17,STBA,8.0,8.0,8.0,8.0,8800
1993-03-18,STBA,7.875,8.0,7.75,7.9375,21600
1993-03-19,STBA,8.0,8.0,8.0,8.0,21200
1993-03-22,STBA,7.875,8.25,7.875,8.25,8000
1993-03-23,STBA,8.5,8.5,8.25,8.28125,10800
1993-03-24,STBA,8.25,8.625,8.25,8.625,14400
1993-03-25,STBA,8.125,8.625,8.125,8.25,9600
1993-03-26,STBA,8.625,8.625,8.625,8.625,400
1993-03-29,STBA,8.625,8.625,8.125,8.125,3600
1993-03-30,STBA,8.625,8.625,8.625,8.625,2000
1993-03-31,STBA,8.625,8.625,8.46875,8.5,6800
1993-04-01,STBA,8.5,8.5,8.5,8.5,0
1993-04-02,STBA,8.5,8.5,8.5,8.5,8000
1993-04-05,STBA,8.375,8.375,8.375,8.375,4000
1993-04-06,STBA,8.25,8.5,8.125,8.25,19600
1993-04-07,STBA,8.0,8.0,8.0,8.0,1200
1993-04-08,STBA,8.25,8.5,8.0,8.5,9600
1993-04-12,STBA,8.0,8.5,8.0,8.5,6000
1993-04-13,STBA,8.25,8.4375,8.0,8.15625,38800
1993-04-14,STBA,8.5,8.5,8.5,8.5,1200
1993-04-15,STBA,8.5,8.5,8.0,8.0,800
1993-04-16,STBA,8.0,8.5,8.0,8.5,19200
1993-04-19,STBA,8.5,8.5,8.5,8.5,400
1993-04-20,STBA,8.5,8.5,8.125,8.5,10000
1993-04-21,STBA,8.5,8.5,8.5,8.5,400
1993-04-22,STBA,8.5,8.5,8.125,8.125,5200
1993-04-23,STBA,8.0,8.1875,8.0,8.1875,6800
1993-04-26,STBA,8.0,8.25,8.0,8.25,4800
1993-04-27,STBA,8.0,8.125,7.875,8.125,7600
1993-04-28,STBA,8.125,8.25,8.0,8.0,13600
1993-04-29,STBA,8.125,8.125,7.75,7.75,2400
1993-04-30,STBA,8.125,8.125,7.75,8.0625,9600
1993-05-03,STBA,8.0625,8.0625,8.0625,8.0625,0
1993-05-04,STBA,8.0625,8.0625,8.0625,8.0625,0
1993-05-05,STBA,7.75,8.0,7.75,8.0,2400
1993-05-06,STBA,8.0,8.0,8.0,8.0,0
1993-05-07,STBA,8.125,8.125,8.0,8.125,14000
1993-05-10,STBA,7.875,8.125,7.875,8.125,4400
1993-05-11,STBA,8.125,8.125,8.125,8.125,4000
1993-05-12,STBA,7.9375,7.9375,7.9375,7.9375,400
1993-05-13,STBA,7.9375,7.9375,7.9375,7.9375,0
1993-05-14,STBA,7.75,7.75,7.75,7.75,12800
1993-05-17,STBA,8.0,8.0,7.75,7.75,8400
1993-05-18,STBA,7.75,7.75,7.75,7.75,0
1993-05-19,STBA,7.9375,7.9375,7.8125,7.8125,9600
1993-05-20,STBA,7.9375,7.9375,7.625,7.625,8400
1993-05-21,STBA,7.625,7.625,7.625,7.625,3200
1993-05-24,STBA,7.625,7.625,7.625,7.625,1600
