date,symbol,open,high,low,close,volume
1973-02-22,TNC,4.25,4.25,4.25,4.25,800
1973-02-23,TNC,4.25,4.25,4.25,4.25,800
1973-02-26,TNC,4.25,4.25,4.25,4.25,800
1973-02-27,TNC,4.25,4.25,4.25,4.25,0
1973-02-28,TNC,4.25,4.25,4.25,4.25,0
1973-03-01,TNC,4.25,4.25,4.25,4.25,4000
1973-03-02,TNC,4.25,4.25,4.25,4.25,0
1973-03-05,TNC,4.25,4.25,4.25,4.25,800
1973-03-06,TNC,4.375,4.375,4.375,4.375,4800
1973-03-07,TNC,4.375,4.375,4.375,4.375,800
1973-03-08,TNC,4.375,4.375,4.375,4.375,23200
1973-03-09,TNC,4.375,4.375,4.375,4.375,0
1973-03-12,TNC,4.375,4.375,4.375,4.375,0
1973-03-13,TNC,4.375,4.375,4.375,4.375,4800
1973-03-14,TNC,4.375,4.375,4.375,4.375,2400
1973-03-15,TNC,4.375,4.375,4.375,4.375,1600
1973-03-16,TNC,4.375,4.375,4.375,4.375,8000
1973-03-19,TNC,4.375,4.375,4.375,4.375,0
1973-03-20,TNC,4.375,4.375,4.375,4.375,0
1973-03-21,TNC,4.25,4.25,4.25,4.25,6400
1973-03-22,TNC,4.0625,4.0625,4.0625,4.0625,6400
1973-03-23,TNC,4.0625,4.0625,4.0625,4.0625,0
1973-03-26,TNC,4.125,4.125,4.125,4.125,4000
1973-03-27,TNC,4.125,4.125,4.125,4.125,0
1973-03-28,TNC,4.1875,4.1875,4.1875,4.1875,1600
1973-03-29,TNC,4.1875,4.1875,4.1875,4.1875,0
1973-03-30,TNC,4.1875,4.1875,4.1875,4.1875,800
1973-04-02,TNC,4.125,4.125,4.125,4.125,2400
1973-04-03,TNC,3.8125,3.8125,3.8125,3.8125,8800
1973-04-04,TNC,3.625,3.625,3.625,3.625,8800
1973-04-05,TNC,3.625,3.625,3.625,3.625,800
1973-04-06,TNC,3.75,3.75,3.75,3.75,7200
1973-04-09,TNC,3.75,3.75,3.75,3.75,0
1973-04-10,TNC,3.8125,3.8125,3.8125,3.8125,11200
1973-04-11,TNC,3.8125,3.8125,3.8125,3.8125,800
1973-04-12,TNC,4.25,4.25,4.25,4.25,85600
1973-04-13,TNC,3.9375,3.9375,3.9375,3.9375,8000
1973-04-16,TNC,3.9375,3.9375,3.9375,3.9375,800
1973-04-17,TNC,3.9375,3.9375,3.9375,3.9375,4000
1973-04-18,TNC,3.9375,3.9375,3.9375,3.9375,0
1973-04-19,TNC,3.9375,3.9375,3.9375,3.9375,0
1973-04-23,TNC,3.9375,3.9375,3.9375,3.9375,42400
