date,symbol,open,high,low,close,volume
1986-12-26,UHT,10.75,10.75,10.75,10.75,5500
1986-12-29,UHT,10.5,10.5,10.5,10.5,27000
1986-12-30,UHT,10.375,10.375,10.125,10.375,73500
1986-12-31,UHT,10.375,10.5,10.25,10.5,10300
1987-01-02,UHT,10.5,10.5,10.5,10.5,2900
1987-01-05,UHT,10.5,10.75,10.25,10.625,17600
1987-01-06,UHT,10.625,10.75,10.625,10.75,16500
1987-01-07,UHT,10.875,11.125,10.875,11.125,256400
1987-01-08,UHT,11.125,11.25,11.125,11.25,28200
1987-01-09,UHT,11.25,11.625,11.25,11.5,197300
1987-01-12,UHT,11.5,11.625,11.5,11.5,104800
1987-01-13,UHT,11.5,11.5,11.5,11.5,300
1987-01-14,UHT,11.5,11.5,11.5,11.5,1000
1987-01-15,UHT,11.5,11.5,11.5,11.5,13700
1987-01-16,UHT,11.5,11.5,11.375,11.5,19600
1987-01-19,UHT,11.5,11.5,11.5,11.5,16400
1987-01-20,UHT,11.5,11.5,11.25,11.25,23400
1987-01-21,UHT,11.25,11.25,11.0,11.25,138900
1987-01-22,UHT,11.25,11.5,11.25,11.5,31900
1987-01-23,UHT,11.375,11.375,11.125,11.375,28500
1987-01-26,UHT,11.375,11.375,11.375,11.375,1200
1987-01-27,UHT,11.375,11.375,11.25,11.375,13700
1987-01-28,UHT,11.375,11.375,11.25,11.25,37400
1987-01-29,UHT,11.25,11.375,11.25,11.375,7400
1987-01-30,UHT,11.375,11.375,11.25,11.375,17700
1987-02-02,UHT,11.375,11.5,11.375,11.5,27800
1987-02-03,UHT,11.375,11.375,11.25,11.25,203500
1987-02-04,UHT,11.25,11.375,11.25,11.25,2000
1987-02-05,UHT,11.25,11.375,11.125,11.25,31300
1987-02-06,UHT,11.25,11.25,11.0,11.125,89700
1987-02-09,UHT,11.125,11.25,11.125,11.25,6600
1987-02-10,UHT,11.25,11.25,10.875,11.125,69900
1987-02-11,UHT,11.125,11.25,10.875,10.875,76900
1987-02-12,UHT,10.875,11.0,10.875,10.875,36100
1987-02-13,UHT,10.875,11.0,10.875,10.875,11200
1987-02-17,UHT,10.875,11.0,10.875,11.0,3600
1987-02-18,UHT,11.0,11.0,10.875,10.875,5600
1987-02-19,UHT,10.875,11.0,10.875,11.0,37800
1987-02-20,UHT,11.0,11.0,10.875,11.0,5300
1987-02-23,UHT,11.0,11.0,10.875,10.875,28100
1987-02-24,UHT,11.0,11.125,11.0,11.125,48700
1987-02-25,UHT,11.125,11.125,10.875,11.0,29700
1987-02-26,UHT,11.0,11.0,10.875,10.875,77200
1987-02-27,UHT,10.875,10.875,10.75,10.75,35800
1987-03-02,UHT,10.75,11.0,10.75,11.0,28500
1987-03-03,UHT,11.0,11.125,11.0,11.125,28900
1987-03-04,UHT,11.125,11.125,11.0,11.125,3400
1987-03-05,UHT,11.125,11.25,11.0,11.25,101500
1987-03-06,UHT,11.25,11.25,11.125,11.25,51600
1987-03-09,UHT,11.25,11.25,11.0,11.125,35500
1987-03-10,UHT,11.0,11.0,10.75,11.0,127900
1987-03-11,UHT,11.0,11.0,10.875,11.0,12300
1987-03-12,UHT,11.0,11.125,11.0,11.125,4900
1987-03-13,UHT,11.125,11.125,11.0,11.125,18100
1987-03-16,UHT,11.125,11.125,11.0,11.125,7700
1987-03-17,UHT,11.125,11.125,11.0,11.125,46700
1987-03-18,UHT,11.125,11.125,11.125,11.125,12300
1987-03-19,UHT,11.125,11.125,10.875,11.0,74400
1987-03-20,UHT,11.0,11.0,10.875,10.875,22800
1987-03-23,UHT,10.875,11.0,10.875,11.0,14800
1987-03-24,UHT,11.0,11.0,10.875,11.0,13400
1987-03-25,UHT,11.0,11.125,10.875,11.125,67500
1987-03-26,UHT,11.0,11.0,10.875,11.0,34200
1987-03-27,UHT,11.0,11.125,11.0,11.0,76000
1987-03-30,UHT,11.0,11.25,11.0,11.25,16400
1987-03-31,UHT,11.25,11.25,11.125,11.25,34400
1987-04-01,UHT,11.125,11.125,11.0,11.125,27800
1987-04-02,UHT,11.125,11.25,11.0,11.125,138400
1987-04-03,UHT,11.125,11.25,11.125,11.125,7100
1987-04-06,UHT,11.125,11.125,11.0,11.125,15900
1987-04-07,UHT,11.125,11.25,11.0,11.0,30500
1987-04-08,UHT,11.0,11.0,10.75,10.75,21500
1987-04-09,UHT,10.75,10.875,10.75,10.75,8300
1987-04-10,UHT,10.75,10.875,10.375,10.625,55000
1987-04-13,UHT,10.625,10.625,10.375,10.625,8300
1987-04-14,UHT,10.625,10.625,10.375,10.375,4500
1987-04-15,UHT,10.375,10.625,10.25,10.5,15300
1987-04-16,UHT,10.5,10.625,10.375,10.625,46400
1987-04-20,UHT,10.625,10.75,10.375,10.5,32000
1987-04-21,UHT,10.5,10.5,10.375,10.5,58700
1987-04-22,UHT,10.5,10.5,10.375,10.375,41500
1987-04-23,UHT,10.375,10.5,10.375,10.5,8200
1987-04-24,UHT,10.5,10.5,10.375,10.5,25700
1987-04-27,UHT,10.25,10.25,10.125,10.25,8000
1987-04-28,UHT,10.25,10.25,10.125,10.25,15000
1987-04-29,UHT,10.25,10.25,10.125,10.25,7500
1987-04-30,UHT,10.25,10.5,10.125,10.5,13000
1987-05-01,UHT,10.5,10.5,10.375,10.375,5700
1987-05-04,UHT,10.375,10.5,10.375,10.5,12000
1987-05-05,UHT,10.5,10.5,10.5,10.5,9600
1987-05-06,UHT,10.5,10.625,10.5,10.5,9200
1987-05-07,UHT,10.5,10.5,10.375,10.375,7000
1987-05-08,UHT,10.375,10.5,10.25,10.25,12600
1987-05-11,UHT,10.25,10.375,10.125,10.125,12800
1987-05-12,UHT,10.125,10.25,10.0,10.25,36300
1987-05-13,UHT,10.25,10.25,10.125,10.125,3200
1987-05-14,UHT,10.125,10.25,10.0,10.125,28100
1987-05-15,UHT,10.125,10.125,10.0,10.125,1100
1987-05-18,UHT,10.0,10.0,9.75,9.75,3600
1987-05-19,UHT,9.75,10.0,9.5,9.5,42700
1987-05-20,UHT,9.5,9.625,9.125,9.5,57100
1987-05-21,UHT,9.5,9.75,9.5,9.625,23900
1987-05-22,UHT,9.625,9.75,9.625,9.625,31300
1987-05-26,UHT,9.875,9.875,9.875,9.875,1300
1987-05-27,UHT,9.875,10.0,9.875,9.875,24200
1987-05-28,UHT,9.875,9.875,9.875,9.875,3100
1987-05-29,UHT,9.875,9.875,9.75,9.875,6500
1987-06-01,UHT,9.875,9.875,9.875,9.875,900
1987-06-02,UHT,9.875,9.875,9.75,9.875,10300
1987-06-03,UHT,9.875,9.875,9.875,9.875,21900
1987-06-04,UHT,9.875,10.125,9.75,10.0,181900
1987-06-05,UHT,10.0,10.25,10.0,10.25,124600
1987-06-08,UHT,10.25,10.375,10.125,10.375,64200
1987-06-09,UHT,10.25,10.25,10.0,10.25,2200
1987-06-10,UHT,10.25,10.25,10.25,10.25,4000
1987-06-11,UHT,10.25,10.25,10.0,10.125,8900
1987-06-12,UHT,10.125,10.25,10.0,10.125,5500
1987-06-15,UHT,10.125,10.25,10.125,10.125,18900
