date,symbol,open,high,low,close,volume
1984-01-16,UNF,5.0,5.09375,5.0,5.03125,24000
1984-01-17,UNF,5.03125,5.03125,5.0,5.03125,4800
1984-01-18,UNF,5.03125,5.03125,4.9375,4.96875,6000
1984-01-19,UNF,4.9375,4.9375,4.8125,4.8125,27600
1984-01-20,UNF,4.8125,4.90625,4.8125,4.84375,12800
1984-01-23,UNF,4.84375,4.90625,4.75,4.90625,16400
1984-01-24,UNF,4.90625,4.9375,4.875,4.9375,4800
1984-01-25,UNF,4.9375,4.9375,4.875,4.90625,3200
1984-01-26,UNF,4.90625,4.90625,4.8125,4.8125,4000
1984-01-27,UNF,4.8125,4.875,4.75,4.75,36800
1984-01-30,UNF,4.75,4.78125,4.75,4.78125,10800
1984-01-31,UNF,4.6875,4.6875,4.625,4.625,3200
1984-02-01,UNF,4.59375,4.59375,4.59375,4.59375,2400
1984-02-02,UNF,4.59375,4.71875,4.59375,4.6875,12800
1984-02-03,UNF,4.6875,4.75,4.6875,4.75,5600
1984-02-06,UNF,4.75,4.75,4.625,4.625,12800
1984-02-07,UNF,4.59375,4.59375,4.5625,4.5625,9600
1984-02-08,UNF,4.5625,4.625,4.53125,4.5625,8800
1984-02-09,UNF,4.5625,4.59375,4.53125,4.5625,3600
1984-02-10,UNF,4.5,4.5,4.34375,4.34375,21600
1984-02-13,UNF,4.34375,4.4375,4.34375,4.375,29600
1984-02-14,UNF,4.375,4.40625,4.25,4.3125,52800
1984-02-15,UNF,4.34375,4.53125,4.34375,4.46875,28400
1984-02-16,UNF,4.46875,4.5,4.40625,4.5,5600
1984-02-17,UNF,4.4375,4.4375,4.4375,4.4375,1600
1984-02-21,UNF,4.4375,4.46875,4.40625,4.40625,2400
1984-02-22,UNF,4.40625,4.4375,4.375,4.375,3200
1984-02-23,UNF,4.375,4.40625,4.34375,4.375,10000
1984-02-24,UNF,4.375,4.375,4.375,4.375,2000
1984-02-27,UNF,4.4375,4.46875,4.4375,4.46875,8800
1984-02-28,UNF,4.46875,4.46875,4.46875,4.46875,0
1984-02-29,UNF,4.46875,4.46875,4.46875,4.46875,400
1984-03-01,UNF,4.40625,4.40625,4.34375,4.34375,14400
1984-03-02,UNF,4.375,4.4375,4.375,4.375,9200
1984-03-05,UNF,4.34375,4.34375,4.3125,4.34375,5200
1984-03-06,UNF,4.34375,4.34375,4.34375,4.34375,0
1984-03-07,UNF,4.34375,4.34375,4.3125,4.3125,1200
1984-03-08,UNF,4.3125,4.375,4.3125,4.375,4400
1984-03-09,UNF,4.3125,4.3125,4.21875,4.25,28800
1984-03-12,UNF,4.25,4.3125,4.25,4.25,2400
1984-03-13,UNF,4.28125,4.28125,4.28125,4.28125,6000
1984-03-14,UNF,4.21875,4.21875,4.15625,4.21875,9200
1984-03-15,UNF,4.15625,4.15625,4.15625,4.15625,1200
1984-03-16,UNF,4.15625,4.21875,4.15625,4.21875,18000
1984-03-19,UNF,4.15625,4.15625,4.125,4.125,3200
1984-03-20,UNF,4.1875,4.1875,4.1875,4.1875,800
1984-03-21,UNF,4.1875,4.1875,4.125,4.125,1200
1984-03-22,UNF,4.125,4.125,4.09375,4.09375,2000
1984-03-23,UNF,4.09375,4.125,4.09375,4.125,1200
1984-03-26,UNF,4.125,4.125,4.125,4.125,0
1984-03-27,UNF,4.09375,4.09375,4.09375,4.09375,400
1984-03-28,UNF,4.09375,4.125,4.0625,4.125,6800
1984-03-29,UNF,4.125,4.15625,4.09375,4.125,1600
1984-03-30,UNF,4.125,4.125,4.0625,4.125,3200
1984-04-02,UNF,4.0625,4.0625,4.0625,4.0625,400
1984-04-03,UNF,4.03125,4.03125,4.03125,4.03125,2000
1984-04-04,UNF,4.03125,4.03125,4.03125,4.03125,2400
1984-04-05,UNF,4.03125,4.0625,3.96875,3.96875,11200
1984-04-06,UNF,3.96875,4.0,3.9375,3.9375,1200
1984-04-09,UNF,3.90625,3.90625,3.8125,3.8125,5600
1984-04-10,UNF,3.75,3.75,3.6875,3.6875,11600
1984-04-11,UNF,3.6875,3.6875,3.59375,3.65625,12000
1984-04-12,UNF,3.65625,3.6875,3.625,3.65625,2400
1984-04-13,UNF,3.71875,3.78125,3.71875,3.75,15200
1984-04-16,UNF,3.75,3.78125,3.71875,3.78125,6000
1984-04-17,UNF,3.75,3.75,3.6875,3.71875,5600
1984-04-18,UNF,3.71875,3.71875,3.65625,3.6875,6400
1984-04-19,UNF,3.6875,3.71875,3.6875,3.71875,14000
1984-04-23,UNF,3.71875,3.75,3.6875,3.75,2000
1984-04-24,UNF,3.75,3.75,3.6875,3.75,26800
1984-04-25,UNF,3.75,3.84375,3.75,3.84375,2800
1984-04-26,UNF,3.84375,3.875,3.8125,3.8125,7600
1984-04-27,UNF,3.84375,3.84375,3.84375,3.84375,400
1984-04-30,UNF,3.84375,3.84375,3.84375,3.84375,0
1984-05-01,UNF,3.8125,3.8125,3.6875,3.6875,3600
1984-05-02,UNF,3.65625,3.65625,3.65625,3.65625,800
1984-05-03,UNF,3.65625,3.71875,3.625,3.65625,5600
1984-05-04,UNF,3.65625,3.71875,3.65625,3.71875,1600
1984-05-07,UNF,3.6875,3.6875,3.65625,3.65625,1600
1984-05-08,UNF,3.65625,3.71875,3.625,3.6875,14800
1984-05-09,UNF,3.65625,3.65625,3.625,3.65625,1600
1984-05-10,UNF,3.6875,3.71875,3.6875,3.71875,800
1984-05-11,UNF,3.6875,3.6875,3.65625,3.6875,1200
1984-05-14,UNF,3.75,3.78125,3.75,3.75,3600
1984-05-15,UNF,3.75,3.75,3.75,3.75,57200
1984-05-16,UNF,3.75,3.75,3.6875,3.75,1200
1984-05-17,UNF,3.75,3.75,3.625,3.625,6000
1984-05-18,UNF,3.65625,3.6875,3.65625,3.65625,3200
1984-05-21,UNF,3.65625,3.6875,3.625,3.6875,2400
1984-05-22,UNF,3.625,3.625,3.625,3.625,800
1984-05-23,UNF,3.625,3.625,3.59375,3.625,8400
1984-05-24,UNF,3.625,3.6875,3.59375,3.6875,18000
1984-05-25,UNF,3.65625,3.65625,3.59375,3.59375,4000
1984-05-29,UNF,3.59375,3.59375,3.5625,3.59375,4800
1984-05-30,UNF,3.59375,3.59375,3.4375,3.46875,11600
1984-05-31,UNF,3.46875,3.46875,3.46875,3.46875,400
1984-06-01,UNF,3.46875,3.46875,3.46875,3.46875,9200
1984-06-04,UNF,3.5,3.5625,3.5,3.5,8800
1984-06-05,UNF,3.59375,3.59375,3.59375,3.59375,40000
1984-06-06,UNF,3.5625,3.5625,3.53125,3.53125,800
