date,symbol,open,high,low,close,volume
1973-02-21,UVV,4.0625,4.0625,4.0625,4.0625,5600
1973-02-22,UVV,4.0,4.0,4.0,4.0,12800
1973-02-23,UVV,4.0,4.0,4.0,4.0,800
1973-02-26,UVV,3.9375,3.9375,3.9375,3.9375,1600
1973-02-27,UVV,3.96875,3.96875,3.96875,3.96875,8000
1973-02-28,UVV,3.90625,3.90625,3.90625,3.90625,6400
1973-03-01,UVV,3.9375,3.9375,3.9375,3.9375,8000
1973-03-02,UVV,4.0,4.0,4.0,4.0,6400
1973-03-05,UVV,3.96875,3.96875,3.96875,3.96875,4000
1973-03-06,UVV,3.96875,3.96875,3.96875,3.96875,6400
1973-03-07,UVV,3.96875,3.96875,3.96875,3.96875,4000
1973-03-08,UVV,4.0,4.0,4.0,4.0,2400
1973-03-09,UVV,4.0,4.0,4.0,4.0,1600
1973-03-12,UVV,4.0,4.0,4.0,4.0,2400
1973-03-13,UVV,4.0,4.0,4.0,4.0,8000
1973-03-14,UVV,4.0,4.0,4.0,4.0,2400
1973-03-15,UVV,4.0,4.0,4.0,4.0,9600
1973-03-16,UVV,3.90625,3.90625,3.90625,3.90625,4800
1973-03-19,UVV,3.8125,3.8125,3.8125,3.8125,26400
1973-03-20,UVV,3.84375,3.84375,3.84375,3.84375,8000
1973-03-21,UVV,3.84375,3.84375,3.84375,3.84375,5600
1973-03-22,UVV,3.84375,3.84375,3.84375,3.84375,11200
1973-03-23,UVV,3.8125,3.8125,3.8125,3.8125,8000
1973-03-26,UVV,3.8125,3.8125,3.8125,3.8125,12800
1973-03-27,UVV,3.84375,3.84375,3.84375,3.84375,8000
1973-03-28,UVV,3.78125,3.78125,3.78125,3.78125,9600
1973-03-29,UVV,3.78125,3.78125,3.78125,3.78125,800
1973-03-30,UVV,3.84375,3.84375,3.84375,3.84375,8800
1973-04-02,UVV,3.8125,3.8125,3.8125,3.8125,2400
1973-04-03,UVV,3.78125,3.78125,3.78125,3.78125,8000
1973-04-04,UVV,3.8125,3.8125,3.8125,3.8125,800
1973-04-05,UVV,3.78125,3.78125,3.78125,3.78125,4800
1973-04-06,UVV,3.78125,3.78125,3.78125,3.78125,19200
1973-04-09,UVV,3.78125,3.78125,3.78125,3.78125,4000
1973-04-10,UVV,3.78125,3.78125,3.78125,3.78125,7200
1973-04-11,UVV,3.8125,3.8125,3.8125,3.8125,12800
1973-04-12,UVV,3.8125,3.8125,3.8125,3.8125,4000
1973-04-13,UVV,3.84375,3.84375,3.84375,3.84375,10400
1973-04-16,UVV,3.84375,3.84375,3.84375,3.84375,4000
1973-04-17,UVV,3.78125,3.78125,3.78125,3.78125,5600
1973-04-18,UVV,3.8125,3.8125,3.8125,3.8125,4800
1973-04-19,UVV,3.8125,3.8125,3.8125,3.8125,2400
1973-04-23,UVV,3.78125,3.78125,3.78125,3.78125,5600
1973-04-24,UVV,3.90625,3.90625,3.90625,3.90625,10400
1973-04-25,UVV,3.84375,3.84375,3.84375,3.84375,7200
1973-04-26,UVV,3.84375,3.84375,3.84375,3.84375,4000
1973-04-27,UVV,3.84375,3.84375,3.84375,3.84375,5600
1973-04-30,UVV,3.75,3.75,3.75,3.75,19200
1973-05-01,UVV,3.6875,3.6875,3.6875,3.6875,12800
1973-05-02,UVV,3.75,3.75,3.75,3.75,6400
1973-05-03,UVV,3.71875,3.71875,3.6875,3.71875,8800
1973-05-04,UVV,3.6875,3.6875,3.6875,3.6875,4800
1973-05-07,UVV,3.6875,3.71875,3.6875,3.71875,2400
1973-05-08,UVV,3.71875,3.71875,3.6875,3.6875,7200
1973-05-09,UVV,3.6875,3.6875,3.625,3.625,16000
1973-05-10,UVV,3.625,3.65625,3.59375,3.65625,11200
1973-05-11,UVV,3.625,3.625,3.625,3.625,6400
1973-05-14,UVV,3.59375,3.59375,3.53125,3.53125,9600
1973-05-15,UVV,3.5625,3.59375,3.5625,3.59375,1600
1973-05-16,UVV,3.59375,3.65625,3.59375,3.65625,10400
1973-05-17,UVV,3.625,3.625,3.625,3.625,8000
1973-05-18,UVV,3.59375,3.59375,3.46875,3.46875,19200
1973-05-21,UVV,3.46875,3.46875,3.375,3.375,13600
1973-05-22,UVV,3.375,3.40625,3.34375,3.375,6400
1973-05-23,UVV,3.375,3.375,3.3125,3.3125,8000
1973-05-24,UVV,3.3125,3.375,3.3125,3.34375,11200
1973-05-25,UVV,3.375,3.46875,3.375,3.375,19200
1973-05-29,UVV,3.375,3.375,3.375,3.375,0
1973-05-30,UVV,3.375,3.40625,3.34375,3.40625,10400
1973-05-31,UVV,3.375,3.375,3.34375,3.34375,8800
1973-06-01,UVV,3.34375,3.375,3.3125,3.375,16000
1973-06-04,UVV,3.34375,3.34375,3.34375,3.34375,2400
1973-06-05,UVV,3.34375,3.375,3.3125,3.34375,5600
1973-06-06,UVV,3.34375,3.34375,3.28125,3.28125,11200
