date,symbol,open,high,low,close,volume
1995-06-19,USDC,90.0,115.0,55.0,90.0,51800
1995-06-20,USDC,100.0,103.75,88.75,100.0,15160
1995-06-21,USDC,105.0,110.0,100.0,105.0,10540
1995-06-22,USDC,102.5,110.0,102.5,102.5,3020
1995-06-23,USDC,100.0,107.5,97.5,100.0,6560
1995-06-26,USDC,95.625,102.5,95.625,95.625,1260
1995-06-27,USDC,95.625,98.75,95.0,95.625,6320
1995-06-28,USDC,100.0,100.0,95.0,100.0,3760
1995-06-29,USDC,97.5,105.0,97.5,97.5,2600
1995-06-30,USDC,99.375,105.0,97.5,99.375,1180
1995-07-03,USDC,100.0,105.0,100.0,100.0,280
1995-07-05,USDC,105.0,105.0,97.5,105.0,2300
1995-07-06,USDC,105.0,105.0,97.5,105.0,5400
1995-07-07,USDC,100.625,105.0,100.0,100.625,11640
1995-07-10,USDC,100.0,102.5,100.0,100.0,1580
1995-07-11,USDC,101.25,101.25,97.5,101.25,2040
1995-07-12,USDC,100.0,101.25,97.5,100.0,520
1995-07-13,USDC,92.5,100.0,92.5,92.5,1780
1995-07-14,USDC,95.0,97.5,90.0,95.0,1420
1995-07-17,USDC,75.0,75.0,75.0,75.0,14880
1995-07-18,USDC,90.625,93.75,90.0,90.625,12200
1995-07-19,USDC,85.0,92.5,85.0,85.0,2780
1995-07-20,USDC,87.5,90.0,85.0,87.5,2240
1995-07-21,USDC,85.625,88.75,83.75,85.625,3580
1995-07-24,USDC,92.5,92.5,88.75,92.5,2040
1995-07-25,USDC,100.0,100.0,93.75,100.0,6220
1995-07-26,USDC,95.0,100.0,95.0,95.0,2540
1995-07-27,USDC,98.75,100.0,98.75,98.75,540
1995-07-28,USDC,95.0,100.0,95.0,95.0,280
1995-07-31,USDC,95.0,97.5,95.0,95.0,740
1995-08-01,USDC,95.0,100.0,95.0,95.0,3260
1995-08-02,USDC,95.0,100.0,95.0,95.0,3340
1995-08-03,USDC,91.25,97.5,91.25,91.25,2900
1995-08-04,USDC,90.0,95.0,90.0,90.0,1220
1995-08-07,USDC,90.0,93.75,90.0,90.0,1900
1995-08-08,USDC,92.5,93.75,88.75,92.5,5120
1995-08-09,USDC,90.0,92.5,88.75,90.0,1300
1995-08-10,USDC,87.5,92.5,86.25,87.5,2160
1995-08-11,USDC,82.5,90.0,82.5,82.5,5300
1995-08-14,USDC,77.5,85.0,77.5,77.5,4820
1995-08-15,USDC,70.0,77.5,70.0,70.0,9820
1995-08-16,USDC,75.0,77.5,70.0,75.0,14740
1995-08-17,USDC,86.25,90.0,75.0,86.25,8420
1995-08-18,USDC,86.25,90.0,83.75,86.25,5000
1995-08-21,USDC,83.75,87.5,83.75,83.75,2300
1995-08-22,USDC,87.5,87.5,83.75,87.5,1380
1995-08-23,USDC,91.25,91.25,83.75,91.25,2840
1995-08-24,USDC,91.25,93.75,90.0,91.25,8540
1995-08-25,USDC,85.0,91.25,82.5,85.0,7580
1995-08-28,USDC,84.375,86.25,82.5,84.375,4860
1995-08-29,USDC,83.75,84.375,80.0,83.75,7860
1995-08-30,USDC,80.0,83.75,78.125,80.0,4980
1995-08-31,USDC,83.75,83.75,80.0,83.75,2240
1995-09-01,USDC,82.5,85.0,80.0,82.5,180
1995-09-05,USDC,78.75,83.75,78.75,78.75,1280
1995-09-06,USDC,80.0,82.5,78.75,80.0,780
1995-09-07,USDC,82.5,82.5,80.0,82.5,2580
1995-09-08,USDC,85.0,85.0,81.25,85.0,13520
1995-09-11,USDC,86.25,90.0,82.5,86.25,10140
1995-09-12,USDC,90.0,90.0,86.25,90.0,1280
