date,symbol,open,high,low,close,volume
2000-05-19,IWB,75.40625,75.40625,74.3125,74.3125,8100
2000-05-22,IWB,74.609375,74.609375,72.078125,74.09375,751300
2000-05-23,IWB,74.125,74.125,72.84375,72.84375,271200
2000-05-24,IWB,72.890625,73.46875,72.0,73.46875,17900
2000-05-25,IWB,74.265625,74.359375,72.921875,72.921875,2100
2000-05-26,IWB,73.125,73.125,72.484375,72.484375,1800
2000-05-30,IWB,73.578125,73.953125,73.578125,73.953125,600
2000-05-31,IWB,73.953125,73.953125,73.953125,73.953125,0
2000-06-01,IWB,75.65625,76.6875,75.65625,76.265625,400
2000-06-02,IWB,78.59375,78.703125,78.375,78.375,5700
2000-06-05,IWB,78.078125,78.34375,78.0,78.0,21000
2000-06-06,IWB,77.953125,78.046875,77.53125,77.53125,3200
2000-06-07,IWB,77.5,78.28125,77.5,78.09375,2700
2000-06-08,IWB,78.03125,78.03125,77.5,77.5,600
2000-06-09,IWB,78.078125,78.078125,77.75,77.765625,1300
2000-06-12,IWB,77.828125,77.84375,77.453125,77.453125,1100
2000-06-13,IWB,76.578125,77.90625,76.578125,77.90625,1100
2000-06-14,IWB,78.703125,78.703125,78.015625,78.015625,1000
2000-06-15,IWB,78.015625,78.015625,78.015625,78.015625,0
2000-06-16,IWB,78.3125,78.3125,78.15625,78.15625,20200
2000-06-19,IWB,78.71875,78.71875,77.921875,77.921875,500
2000-06-20,IWB,78.609375,78.890625,78.4375,78.4375,500
2000-06-21,IWB,78.34375,78.59375,78.3125,78.59375,1900
2000-06-22,IWB,78.328125,78.328125,77.0,77.0,13600
2000-06-23,IWB,77.25,77.25,76.46875,76.46875,13500
2000-06-26,IWB,77.109375,77.109375,76.9375,76.9375,12400
2000-06-27,IWB,77.296875,77.375,77.265625,77.265625,300
2000-06-28,IWB,77.09375,77.75,77.09375,77.46875,18000
2000-06-29,IWB,76.390625,76.390625,76.390625,76.390625,5000
2000-06-30,IWB,76.6875,76.6875,76.6875,76.6875,100
2000-07-03,IWB,77.0625,77.53125,77.0625,77.53125,1500
2000-07-05,IWB,77.46875,77.46875,76.53125,76.53125,6200
2000-07-06,IWB,76.5,77.171875,76.21875,77.171875,2100
2000-07-07,IWB,77.78125,78.5,77.78125,78.40625,1200
2000-07-10,IWB,78.453125,78.53125,78.234375,78.421875,2100
2000-07-11,IWB,78.828125,78.859375,78.828125,78.859375,1400
2000-07-12,IWB,79.0625,79.28125,79.0625,79.28125,700
2000-07-13,IWB,79.5625,79.6875,79.5625,79.671875,29700
