date,symbol,open,high,low,close,volume
1988-07-01,BP.L,126.0,126.0,126.0,126.0,0
1988-07-04,BP.L,126.0,126.0,126.0,126.0,0
1988-07-05,BP.L,128.0,128.0,128.0,128.0,0
1988-07-06,BP.L,131.5,131.5,131.5,131.5,0
1988-07-07,BP.L,130.5,130.5,130.5,130.5,0
1988-07-08,BP.L,132.5,132.5,132.5,132.5,0
1988-07-11,BP.L,132.5,132.5,132.5,132.5,0
1988-07-12,BP.L,130.0,130.0,130.0,130.0,0
1988-07-13,BP.L,130.0,130.0,130.0,130.0,0
1988-07-14,BP.L,129.0,129.0,129.0,129.0,0
1988-07-15,BP.L,129.0,129.0,129.0,129.0,0
1988-07-18,BP.L,130.0,130.0,130.0,130.0,0
1988-07-19,BP.L,129.0,129.0,129.0,129.0,0
1988-07-20,BP.L,132.5,132.5,132.5,132.5,0
1988-07-21,BP.L,131.0,131.0,131.0,131.0,0
1988-07-22,BP.L,128.5,128.5,128.5,128.5,0
1988-07-25,BP.L,129.0,129.0,129.0,129.0,0
1988-07-26,BP.L,128.5,128.5,128.5,128.5,0
1988-07-27,BP.L,129.0,129.0,129.0,129.0,0
1988-07-28,BP.L,128.75,128.75,128.75,128.75,0
1988-07-29,BP.L,129.75,129.75,129.75,129.75,0
1988-08-01,BP.L,130.0,130.0,130.0,130.0,0
1988-08-02,BP.L,129.5,129.5,129.5,129.5,0
1988-08-03,BP.L,129.75,129.75,129.75,129.75,0
1988-08-04,BP.L,129.5,129.5,129.5,129.5,0
1988-08-05,BP.L,129.0,129.0,129.0,129.0,0
1988-08-08,BP.L,128.5,128.5,128.5,128.5,0
1988-08-09,BP.L,130.0,130.0,130.0,130.0,0
1988-08-10,BP.L,127.75,127.75,127.75,127.75,0
1988-08-11,BP.L,129.5,129.5,129.5,129.5,0
1988-08-12,BP.L,129.5,129.5,129.5,129.5,0
1988-08-15,BP.L,123.5,123.5,123.5,123.5,0
1988-08-16,BP.L,123.5,123.5,123.5,123.5,0
1988-08-17,BP.L,123.5,123.5,123.5,123.5,0
1988-08-18,BP.L,123.5,123.5,123.5,123.5,0
1988-08-19,BP.L,125.0,125.0,125.0,125.0,0
1988-08-22,BP.L,124.75,124.75,124.75,124.75,0
1988-08-23,BP.L,124.0,124.0,124.0,124.0,0
1988-08-24,BP.L,123.0,123.0,123.0,123.0,0
1988-08-25,BP.L,120.25,120.25,120.25,120.25,0
1988-08-26,BP.L,119.5,119.5,119.5,119.5,0
1988-08-29,BP.L,119.5,119.5,119.5,119.5,0
1988-08-30,BP.L,119.25,119.25,119.25,119.25,0
1988-08-31,BP.L,119.25,119.25,119.25,119.25,0
1988-09-01,BP.L,119.0,119.0,119.0,119.0,0
1988-09-02,BP.L,121.25,121.25,121.25,121.25,0
1988-09-05,BP.L,122.75,122.75,122.75,122.75,0
1988-09-06,BP.L,122.75,122.75,122.75,122.75,0
1988-09-07,BP.L,119.5,119.5,119.5,119.5,0
1988-09-08,BP.L,118.75,118.75,118.75,118.75,0
1988-09-09,BP.L,118.25,118.25,118.25,118.25,0
1988-09-12,BP.L,119.25,119.25,119.25,119.25,0
1988-09-13,BP.L,120.25,120.25,120.25,120.25,0
1988-09-14,BP.L,120.25,120.25,120.25,120.25,0
1988-09-15,BP.L,123.0,123.0,123.0,123.0,0
1988-09-16,BP.L,123.5,123.5,123.5,123.5,0
1988-09-19,BP.L,123.0,123.0,123.0,123.0,0
1988-09-20,BP.L,123.25,123.25,123.25,123.25,0
1988-09-21,BP.L,124.25,124.25,124.25,124.25,0
1988-09-22,BP.L,124.0,124.0,124.0,124.0,0
1988-09-23,BP.L,123.5,123.5,123.5,123.5,0
1988-09-26,BP.L,123.5,123.5,123.5,123.5,0
1988-09-27,BP.L,124.0,124.0,124.0,124.0,0
1988-09-28,BP.L,121.0,121.0,121.0,121.0,0
1988-09-29,BP.L,123.0,123.0,123.0,123.0,0
1988-09-30,BP.L,121.25,121.25,121.25,121.25,0
1988-10-03,BP.L,118.5,118.5,118.5,118.5,0
1988-10-04,BP.L,118.5,118.5,118.5,118.5,0
1988-10-05,BP.L,119.25,119.25,119.25,119.25,0
